DC0000000	Ostl, Inc. [SEP] Glaxo Canada Inc [SEP] Xuchang Zhende Surgical Dressing Co.,Ltd. [SEP] McKenzie Sports Products, LLC [SEP] Upsher-Smith Laboratories, Inc. [SEP] PurKlenz Formulations Inc. [SEP] Pfizer Manufacturing Belgium NV [SEP] The Kroger Co [SEP] Creations Garden Natural Products [SEP] i3 Pharmaceuticals, LLC [SEP] Spector Scientific Laboratory, Inc [SEP] ONCODERM LABS, LLC [SEP] ZapVir, Inc. [SEP] Zydus Pharmaceuticals (USA) Inc. [SEP] Deljine Cosmetics corporation [SEP] Beauty Architects, LLC [SEP] Round Bridge Inc [SEP] Guangzhou Cangty Biotechnology Co., Ltd. [SEP] Medtech Products Inc. [SEP] Skylark Cmc	drug company	drug company	drugbank
DC0000001	Glaxosmithkline consumer healthcare [SEP] Skylake [SEP] DermaPharm A/S [SEP] Taw Pharma (Ireland) Limited [SEP] Praxair Mexico, S. De R.L. De C.V [SEP] Deviation Distilling LLC [SEP] Value Products Inc [SEP] Protective Suppliers LLC [SEP] Binotec Co., Ltd. [SEP] Ingenus Pharmaceuticals Llc [SEP] Make Up For Ever S.A. [SEP] Valley Medical Products, LLC [SEP] Ningbo Rejoice International [SEP] WEST COAST PAPER COMPANY [SEP] B-Pharm, Inc dba Remedies Medical Equipment [SEP] Giant Eagle [SEP] Mantra Pharma Inc [SEP] BERTEK PHARMACEUTICALS INC. [SEP] ComStar International Inc. [SEP] Naro, Inc.	drug company	drug company	drugbank
DC0000002	Eco Lips. Inc. [SEP] Shanghai Hajian Pharmaceutical Technology Co., Ltd. [SEP] Yuyao Jessie Commodity Co.,Ltd. [SEP] Nature4 Co., Ltd. [SEP] Southern Gas and Supply LLC [SEP] Vitruvias Therapeutics, Inc. [SEP] Skinfood Co., Ltd. [SEP] Wasserburger Arzneimittelwerk GmbH [SEP] Enterprises Importfab Inc. [SEP] Ningbo Youcheng Trade Developing Co., Ltd. [SEP] Xiamen Haida Co., Ltd [SEP] Project Reef LLC [SEP] Rising Pharmaceuticals, Inc [SEP] APEX Sanitation, LLC [SEP] Hollister-Stier Laboratories LLC [SEP] Sejin E&P Co., Ltd. [SEP] Ecocation Co., Ltd. [SEP] Jiangsu Hengrui Medicine Co., Ltd. [SEP] Multaler & Cie [SEP] Ibsa Institut Biochimique Sa	drug company	drug company	drugbank
DC0000003	Unither Manufacturing, LLC [SEP] Bexel Internacional, S.A. de C.V. [SEP] Columbia Pharmaceuticals (Pty) Ltd [SEP] Diamante Distillers INC [SEP] Salix Pharmaceuticals, Inc [SEP] California Tool And Welding Supply, Llc [SEP] Aphena Pharma Solutions - Tennessee, Inc. [SEP] Avaria Health & Beauty Corp. [SEP] Fujian Shuangfei Daily Chemicals Co.,Ltd. [SEP] Nsc Pharma Gmbh & Co.Kg [SEP] Avmor Ltd [SEP] Shanghai Centro Network Technology Co., Ltd. [SEP] Mk laboratories inc [SEP] Kama Sutra [SEP] CERGOMEX IMPORTS LLC [SEP] Chain Drug [SEP] Journey Medical Corporation [SEP] Betone, S.A. de C.V. [SEP] Etex Pharm Co., Ltd [SEP] IBSA Pharma Inc.	drug company	drug company	drugbank
DC0000004	PT. GALENIUM PHARMASIA LABORATORIES [SEP] L.N.K. International, Inc. [SEP] Khrysos Industries Inc. [SEP] Aspen Air U.S., LLC [SEP] Pharmaceutics Corporation [SEP] Southern Chem Industries LLC [SEP] Pliva hrvatska doo [SEP] Custom HBC Corporation [SEP] Swabplus Inc. [SEP] Newacme LLC [SEP] Aldi,inc [SEP] SafetyPlus, Inc. [SEP] Direct_Rx [SEP] High Vision Corporation [SEP] Laboratoires Trianon Inc [SEP] Rece International Corp [SEP] Rhodia ltd [SEP] ALVOGEN [SEP] G. R. Lane Health Products Limited [SEP] Tekboard Innovations Inc	drug company	drug company	drugbank
DC0000005	Carver Korea Co.,Ltd [SEP] Produits Cadillac (1984) Ltee [SEP] Akorn - Strides LLC [SEP] Mad Beauty USA LLC [SEP] Acella Pharmaceutical [SEP] Coway Co., Ltd. [SEP] Prism Technology [SEP] Premier Ocher Llc [SEP] Le Groupe M. Vachon Inc. [SEP] AmerisourceBergen [SEP] Adria Laboratories Of Canada Ltd. [SEP] Nutraceutical Corporation [SEP] Pharmalucence, Inc. [SEP] Camstar Paper Inc. [SEP] MSP CO., LTD. [SEP] Qilu Pharmaceutical Co. Ltd [SEP] Roxane Labs [SEP] Golden Moor [SEP] Mutual Pharmaceutical Company, Inc. [SEP] Huizhou Huihuachang Chemical Co., Ltd.	drug company	drug company	drugbank
DC0000006	Actelion Pharmaceuticals Inc. [SEP] Bonita Pharmaceuticals LLC [SEP] GTx Inc. [SEP] Viva Global Brands LLC [SEP] AJ Co., Ltd. [SEP] Lake Erie Medical Quality Care Products LLC [SEP] NOVADORE USA LLC [SEP] Irisys Inc. [SEP] Case Mason Filling [SEP] Pharmacal-International Co., Ltd [SEP] MAKE-UP ART COSMETICS [SEP] HBB INTERNATIONAL INC [SEP] Hamsoa Pharmaceutical Co., Ltd. [SEP] WINNOVA Co., Ltd. [SEP] EGX Chemical Inc [SEP] Helsinn Birex Pharmaceuticals Ltd. [SEP] Istk3 [SEP] NORTH CAROLINA STATE UNIVERSITY [SEP] Vitals Cosmetics International [SEP] Valley of the Sun Cosmetics	drug company	drug company	drugbank
DC0000007	Alza corp [SEP] Mid Valley Pharmaceuticals Llc [SEP] SUKHTIAN-HTM ( HOUSEHOLDS & TOILETRIES MFG.CO) [SEP] CunningPac [SEP] Saol Therapeutics Inc. [SEP] Brigham And Women`s Hospital, Inc., The [SEP] Sanall Enterprises, LLC [SEP] S Solutions, Inc [SEP] Todds bbi international inc [SEP] Golden State Medical Supply Inc. [SEP] Moore Medical [SEP] Rachel Perry Inc. [SEP] Ada Quim, S.A. de C.V. [SEP] Rouses Point Pharmaceuticals LLC [SEP] Protox Inc. [SEP] Medical Development Int Ltd. [SEP] Bigfoot Inc [SEP] Williams Bros Health Care Pharmacy, Inc. [SEP] HEBEI JIATING HEALTH PRODUCT CO.,LTD [SEP] Alza	drug company	drug company	drugbank
DC0000008	Sca Personal Care Inc. [SEP] Laboratorios Grifols s.a. [SEP] Jubilant Hollisterstier Llc [SEP] Apothecon inc div bristol myers squibb [SEP] Dr Reddy's Laboratories Limited [SEP] Mallinckrodt medical inc [SEP] Ozan Vineyard and Cellars [SEP] Elorac, Inc. [SEP] D&A USA, LLC [SEP] Alliant Pharmaceuticals, Inc. [SEP] Goedecke GmbH [SEP] Icon Health Science [SEP] Medique Products/Unifirst First Aid Division [SEP] Pecos Pharmaceutical Inc. [SEP] New Milani Group, LLC [SEP] Rainbow Beauty Cosmetic [SEP] Peer Pharm Ltd. [SEP] Selgel Mexico, S.A. De C.V. [SEP] INTERKOS CO., LTD. [SEP] Fuller Brush/Les Brosses Fuller	drug company	drug company	drugbank
DC0000009	Altergon Italia Srl [SEP] WHARNEY DAILY CHEMICAL CO.,LTD [SEP] Martinni Beauty Inc [SEP] Marquis Extraction Technology [SEP] Takeda pharmaceuticals north america inc [SEP] Miracle Balance, LLC [SEP] Industria La Popular Sa [SEP] Regime Industries Ltd. [SEP] Bigfoot Incorporated [SEP] South Ridge Packing Company Ltd. [SEP] J&J Tamez LLC [SEP] Product Quest Mfg, Llc [SEP] Nutrix Iternational, LLC. [SEP] Truezyme Co., Ltd. [SEP] RemeVerse [SEP] Lubdeco S.A. de C.V. [SEP] Skin n Skin Co Ltd [SEP] MAKYAJ KOZMETIK INSAAT SANAYI VE TICARET LIMITED SIRKETI [SEP] Mucos Emulsion GmbH [SEP] Edgemont Pharmaceuticals, Llc	drug company	drug company	drugbank
