DC0000000	['Ostl, Inc.', 'Glaxo Canada Inc', 'Xuchang Zhende Surgical Dressing Co.,Ltd.', 'McKenzie Sports Products, LLC', 'Upsher-Smith Laboratories, Inc.', 'PurKlenz Formulations Inc.', 'Pfizer Manufacturing Belgium NV', 'The Kroger Co', 'Creations Garden Natural Products', 'i3 Pharmaceuticals, LLC', 'Spector Scientific Laboratory, Inc', 'ONCODERM LABS, LLC', 'ZapVir, Inc.', 'Zydus Pharmaceuticals (USA) Inc.', 'Deljine Cosmetics corporation', 'Beauty Architects, LLC', 'Round Bridge Inc', 'Guangzhou Cangty Biotechnology Co., Ltd.', 'Medtech Products Inc.', 'Skylark Cmc']
DC0000001	['Glaxosmithkline consumer healthcare', 'Skylake', 'DermaPharm A/S', 'Taw Pharma (Ireland) Limited', 'Praxair Mexico, S. De R.L. De C.V', 'Deviation Distilling LLC', 'Value Products Inc', 'Protective Suppliers LLC', 'Binotec Co., Ltd.', 'Ingenus Pharmaceuticals Llc', 'Make Up For Ever S.A.', 'Valley Medical Products, LLC', 'Ningbo Rejoice International', 'WEST COAST PAPER COMPANY', 'B-Pharm, Inc dba Remedies Medical Equipment', 'Giant Eagle', 'Mantra Pharma Inc', 'BERTEK PHARMACEUTICALS INC.', 'ComStar International Inc.', 'Naro, Inc.']
DC0000002	['Eco Lips. Inc.', 'Shanghai Hajian Pharmaceutical Technology Co., Ltd.', 'Yuyao Jessie Commodity Co.,Ltd.', 'Nature4 Co., Ltd.', 'Southern Gas and Supply LLC', 'Vitruvias Therapeutics, Inc.', 'Skinfood Co., Ltd.', 'Wasserburger Arzneimittelwerk GmbH', 'Enterprises Importfab Inc.', 'Ningbo Youcheng Trade Developing Co., Ltd.', 'Xiamen Haida Co., Ltd', 'Project Reef LLC', 'Rising Pharmaceuticals, Inc', 'APEX Sanitation, LLC', 'Hollister-Stier Laboratories LLC', 'Sejin E&P Co., Ltd.', 'Ecocation Co., Ltd.', 'Jiangsu Hengrui Medicine Co., Ltd.', 'Multaler & Cie', 'Ibsa Institut Biochimique Sa']
DC0000003	['Unither Manufacturing, LLC', 'Bexel Internacional, S.A. de C.V.', 'Columbia Pharmaceuticals (Pty) Ltd', 'Diamante Distillers INC', 'Salix Pharmaceuticals, Inc', 'California Tool And Welding Supply, Llc', 'Aphena Pharma Solutions - Tennessee, Inc.', 'Avaria Health & Beauty Corp.', 'Fujian Shuangfei Daily Chemicals Co.,Ltd.', 'Nsc Pharma Gmbh & Co.Kg', 'Avmor Ltd', 'Shanghai Centro Network Technology Co., Ltd.', 'Mk laboratories inc', 'Kama Sutra', 'CERGOMEX IMPORTS LLC', 'Chain Drug', 'Journey Medical Corporation', 'Betone, S.A. de C.V.', 'Etex Pharm Co., Ltd', 'IBSA Pharma Inc.']
DC0000004	['PT. GALENIUM PHARMASIA LABORATORIES', 'L.N.K. International, Inc.', 'Khrysos Industries Inc.', 'Aspen Air U.S., LLC', 'Pharmaceutics Corporation', 'Southern Chem Industries LLC', 'Pliva hrvatska doo', 'Custom HBC Corporation', 'Swabplus Inc.', 'Newacme LLC', 'Aldi,inc', 'SafetyPlus, Inc.', 'Direct_Rx', 'High Vision Corporation', 'Laboratoires Trianon Inc', 'Rece International Corp', 'Rhodia ltd', 'ALVOGEN', 'G. R. Lane Health Products Limited', 'Tekboard Innovations Inc']
DC0000005	['Carver Korea Co.,Ltd', 'Produits Cadillac (1984) Ltee', 'Akorn - Strides LLC', 'Mad Beauty USA LLC', 'Acella Pharmaceutical', 'Coway Co., Ltd.', 'Prism Technology', 'Premier Ocher Llc', 'Le Groupe M. Vachon Inc.', 'AmerisourceBergen', 'Adria Laboratories Of Canada Ltd.', 'Nutraceutical Corporation', 'Pharmalucence, Inc.', 'Camstar Paper Inc.', 'MSP CO., LTD.', 'Qilu Pharmaceutical Co. Ltd', 'Roxane Labs', 'Golden Moor', 'Mutual Pharmaceutical Company, Inc.', 'Huizhou Huihuachang Chemical Co., Ltd.']
DC0000006	['Actelion Pharmaceuticals Inc.', 'Bonita Pharmaceuticals LLC', 'GTx Inc.', 'Viva Global Brands LLC', 'AJ Co., Ltd.', 'Lake Erie Medical Quality Care Products LLC', 'NOVADORE USA LLC', 'Irisys Inc.', 'Case Mason Filling', 'Pharmacal-International Co., Ltd', 'MAKE-UP ART COSMETICS', 'HBB INTERNATIONAL INC', 'Hamsoa Pharmaceutical Co., Ltd.', 'WINNOVA Co., Ltd.', 'EGX Chemical Inc', 'Helsinn Birex Pharmaceuticals Ltd.', 'Istk3', 'NORTH CAROLINA STATE UNIVERSITY', 'Vitals Cosmetics International', 'Valley of the Sun Cosmetics']
DC0000007	['Alza corp', 'Mid Valley Pharmaceuticals Llc', 'SUKHTIAN-HTM ( HOUSEHOLDS & TOILETRIES MFG.CO)', 'CunningPac', 'Saol Therapeutics Inc.', 'Brigham And Women`s Hospital, Inc., The', 'Sanall Enterprises, LLC', 'S Solutions, Inc', 'Todds bbi international inc', 'Golden State Medical Supply Inc.', 'Moore Medical', 'Rachel Perry Inc.', 'Ada Quim, S.A. de C.V.', 'Rouses Point Pharmaceuticals LLC', 'Protox Inc.', 'Medical Development Int Ltd.', 'Bigfoot Inc', 'Williams Bros Health Care Pharmacy, Inc.', 'HEBEI JIATING HEALTH PRODUCT CO.,LTD', 'Alza']
DC0000008	['Sca Personal Care Inc.', 'Laboratorios Grifols s.a.', 'Jubilant Hollisterstier Llc', 'Apothecon inc div bristol myers squibb', "Dr Reddy's Laboratories Limited", 'Mallinckrodt medical inc', 'Ozan Vineyard and Cellars', 'Elorac, Inc.', 'D&A USA, LLC', 'Alliant Pharmaceuticals, Inc.', 'Goedecke GmbH', 'Icon Health Science', 'Medique Products/Unifirst First Aid Division', 'Pecos Pharmaceutical Inc.', 'New Milani Group, LLC', 'Rainbow Beauty Cosmetic', 'Peer Pharm Ltd.', 'Selgel Mexico, S.A. De C.V.', 'INTERKOS CO., LTD.', 'Fuller Brush/Les Brosses Fuller']
DC0000009	['Altergon Italia Srl', 'WHARNEY DAILY CHEMICAL CO.,LTD', 'Martinni Beauty Inc', 'Marquis Extraction Technology', 'Takeda pharmaceuticals north america inc', 'Miracle Balance, LLC', 'Industria La Popular Sa', 'Regime Industries Ltd.', 'Bigfoot Incorporated', 'South Ridge Packing Company Ltd.', 'J&J Tamez LLC', 'Product Quest Mfg, Llc', 'Nutrix Iternational, LLC.', 'Truezyme Co., Ltd.', 'RemeVerse', 'Lubdeco S.A. de C.V.', 'Skin n Skin Co Ltd', 'MAKYAJ KOZMETIK INSAAT SANAYI VE TICARET LIMITED SIRKETI', 'Mucos Emulsion GmbH', 'Edgemont Pharmaceuticals, Llc']
