DC0000000	['奥斯特公司。', '葛兰素史克加拿大公司', '许昌振德外科敷料有限公司。', '麦肯齐体育用品有限责任公司', '厄普舍史密斯实验室公司。', '普克伦斯配方公司。', '辉瑞制药比利时公司', '克罗格', '创意花园天然产品', 'i3制药有限责任公司', '斯派克特科学实验室公司', 'ONCODERM实验室有限责任公司', 'ZapVir公司。', 'Zydus制药（美国）有限公司。', '德尔金化妆品公司', '美丽建筑师有限责任公司', '圆桥公司', '广州市苍天生物科技有限公司。', '医疗科技产品公司。', '云雀Cmc']
DC0000001	['葛兰素史克消费者保健公司', '天湖', '皮肤药剂师A\\/S', 'Taw制药（爱尔兰）有限公司', '墨西哥普拉克斯航空公司', '偏差蒸馏有限责任公司', '价值产品公司', '保护供应商有限责任公司', '比诺泰克有限公司。', 'Ingenus制药有限公司', '永远弥补S.A。', '硅谷医疗产品有限责任公司', '宁波欢乐国际酒店', '西海岸纸业公司', 'B-Pharm公司dba医疗设备', '巨鹰', '曼特拉制药公司', '伯泰克制药公司。', '康星国际公司。', '奈罗公司。']
DC0000002	['生态嘴唇。股份有限公司。', '上海哈健制药科技有限公司。', '余姚市杰西日用品有限公司。', '自然4有限公司。', '南方天然气供应有限责任公司', '维特鲁维亚斯治疗公司。', 'Skinfood有限公司。', '瓦塞伯格阿尔兹尼米特尔韦克有限公司', '企业进出口公司。', '宁波友诚贸易发展有限公司。', '厦门海达有限公司', '珊瑚礁项目有限责任公司', '瑞星制药公司', 'APEX环卫有限责任公司', '霍利斯特施蒂尔实验室有限责任公司', '世进勘探与生产有限公司。', '生态阳离子有限公司。', '江苏恒瑞医药有限公司。', 'Multaler&Cie', 'Ibsa生物芯片研究所']
DC0000003	['联合制造有限责任公司', '贝塞尔国际公司。', '哥伦比亚制药（私人）有限公司', '迪亚曼特蒸馏公司', '萨利克斯制药公司', '加利福尼亚工具和焊接供应有限责任公司', 'Aphena Pharma Solutions-田纳西州公司。', 'Avaria健康美容公司。', '福建双飞日化有限公司。', 'Nsc制药股份有限公司', '阿夫莫有限公司', '上海森特罗网络技术有限公司。', 'Mk实验室公司', '卡玛经', 'CERGOMEX进口有限责任公司', '连锁毒品', '旅程医疗公司', '贝通，S.A.de C.V。', '埃特斯制药有限公司', 'IBSA制药公司。']
DC0000004	['PT。方铅矿制药实验室', 'L.N.K.国际公司。', '赫里索斯工业公司。', '阿斯彭航空美国有限责任公司', '制药公司', '南方化学工业有限责任公司', '普利瓦·赫瓦茨卡·杜', '海关HBC公司', '斯瓦布卢斯公司。', '纽瓦克姆有限责任公司', '阿尔迪公司', 'SafetyPlus公司。', '直接接收', '高视野公司', '特里亚农实验室公司', '瑞奇国际公司', '罗地亚有限公司', '阿尔沃根', '瑞安健康用品有限公司', 'Tekboard创新公司']
DC0000005	['卡弗韩国有限公司', '生产卡迪拉克（1984）Ltee', 'Akorn-Stripdes有限责任公司', '疯狂美女美国有限公司', 'Acella制药公司', '科威有限公司。', '棱镜技术', '普莱米尔奥赫有限责任公司', '乐团M.瓦肯公司。', '美源伯根', '加拿大阿德里亚实验室有限公司。', '营养食品公司', '制药朗讯公司。', 'Camstar纸业公司。', 'MSP有限公司。', '齐鲁制药有限公司', '罗克珊实验室', '黄金沼地', '共同制药公司。', '惠州汇华昌化工有限公司。']
DC0000006	['Actelion制药公司。', '博尼塔制药有限公司', 'GTx公司。', 'Viva全球品牌有限责任公司', 'AJ股份有限公司。', '伊利湖医疗质量保健产品有限责任公司', '诺瓦多尔美国有限责任公司', 'Irisys公司。', '木箱填充', '医药国际有限公司', '化妆艺术化妆品', 'HBB国际公司', '哈姆索制药有限公司。', '威诺瓦有限公司。', 'EGX化学公司', '赫尔辛比雷斯制药有限公司。', 'Istk3', '北卡罗来纳州立大学', 'Vitals化妆品国际', '太阳谷化妆品']
DC0000007	['阿尔扎公司', '中谷制药有限责任公司', 'SUKHTIAN-HTM（家庭和洗漱用品制造公司）', '坎宁帕克', '索尔治疗公司。', '布里格姆女子医院有限公司', 'Sanall企业有限责任公司', 'S解决方案公司', '托德bbi国际公司', '金州医疗供应公司。', '摩尔医学院', '瑞秋佩里公司。', 'Ada Quim，S.A.de C.V。', '罗斯点制药有限责任公司', 'Protox公司。', '医疗发展国际有限公司。', '大脚怪公司', '威廉姆斯兄弟保健药房有限公司。', '河北佳廷保健品有限公司', '阿尔扎']
DC0000008	['Sca个人护理公司。', '格里弗斯实验室。', '喜气洋洋的Hollisterstier有限责任公司', 'Apochecon inc.部门百时美施贵宝', '雷迪博士实验室有限公司', '马林克洛特医疗公司', '奥赞葡萄园和酒窖', '埃洛拉克公司。', 'D&A美国有限责任公司', '联合制药公司。', '戈德克股份有限公司', '图标健康科学', 'Medique Products\\/Unifirst急救部', '佩科斯制药公司。', '新米兰集团有限责任公司', '彩虹美容化妆品', 'Peer Pharm有限公司。', '塞尔格尔墨西哥公司。', 'INTERKOS有限公司。', 'Fuller Brush\\/Les Brosses Fuller']
DC0000009	['Altergon Italia Srl', '华尼日化有限公司', '马丁尼美容公司', '侯爵萃取技术', '武田制药北美公司', '奇迹平衡有限责任公司', '大众工业公司', '政体工业有限公司。', '大脚公司', '南岭包装有限公司。', '强生塔梅兹有限责任公司', '产品探索制造有限责任公司', 'Nutrix Iternational有限责任公司。', 'Truezyme有限公司。', '诗句记忆', '卢布德科公司。', '斯金皮肤有限公司', '锡尔凯蒂萨纳伊维特卡雷特有限公司的MAKYAJ KOZMETIK INSAAT SANAYI VE TICARET LIMITED', '穆科斯乳液有限公司', '埃杰蒙特制药有限责任公司']
DC0000010	['谢勒药物输送系统有限公司。', 'Euroclydon Laboratories USA LLC', '黛西美甲产品有限公司。', 'Ultratab实验室公司。', '首选医疗用品', '河源佳宝盛健康日用品有限公司。', '行动制药有限公司。', '上海诺邦生物科技有限公司。', '国有工业产品', '家庭美元商店公司。', '阿尔杰尼斯有限责任公司', '枢机主教健康（领袖）37205', 'HF收购有限责任公司，DBA健康第一', 'Emd Serono是加拿大Emd公司的一个部门', '德明化妆品有限公司', '苍鹭疗法', 'DermDeal，LLC dba Cheryl Lee，敏感皮肤护理医学博士', '最佳消毒剂公司。', '米德尔布鲁克制药公司', '中尺度系统']
