C0000789	堕胎中心###PM###MSH [SEP] 堕胎中心###PEP###MSH [SEP] 堕胎诊所###PM###MSH [SEP] 堕胎诊所###ET###MSH [SEP] 堕胎中心###PM###MSH [SEP] 堕胎中心###PM###MSH [SEP] 堕胎诊所###PM###MSH [SEP] 诊所，堕胎###PM###MSH
C0000872	医学学术中心###SY###CHV [SEP] 学术医疗中心（环境）###FN###SNOMEDCT_US [SEP] 学术医疗中心###ET###MSH [SEP] 学术医疗中心###PT###SNOMEDCT_US [SEP] 学术医疗中心###MH###MSH [SEP] 学术医疗中心###PN###MTH [SEP] 学术医疗中心###PT###LCH_NW [SEP] 学术医疗中心###PTGB###SNOMEDCT_US [SEP] 医学学术中心###ET###MSH [SEP] 大学医学中心###ET###MSH [SEP] 学术医学中心###ET###MSH [SEP] 大学医学中心###ET###MSH [SEP] 环境医院学术医疗中心###SY###MEDCIN [SEP] 环境：学术医疗中心（治疗）###FN###MEDCIN [SEP] 环境：学术医疗中心###PT###MEDCIN [SEP] 医院教学###SY###CHV [SEP] 医学中心###ET###MSH [SEP] 大学医学中心###ET###MSH [SEP] 医学中心、学术机构###ET###MSH [SEP] 大学医学中心###ET###MSH [SEP] 教学医院###PT###CHV [SEP] 教学医院###SY###SNOMEDCT_US [SEP] 大学医学中心###ET###MSH [SEP] 大学医学中心###SY###CHV [SEP] 大学医疗中心###ET###MSH
C0001572	住院部###PEP###MSH [SEP] 录取部门###PM###MSH [SEP] 部门，承认###PM###MSH [SEP] 部门，承认###PM###MSH
C0001573	医院入院处###PM###MSH [SEP] 医院招生办公室###PM###MSH [SEP] 住院部，医院###MH###MSH [SEP] 住院部、医院###PM###MSH [SEP] 住院部###PM###MSH [SEP] 科室，住院###PM###MSH [SEP] 住院办公室###ET###MSH [SEP] 医院入院处###PM###MSH [SEP] 住院部###ET###MSH [SEP] 住院部###PM###MSH [SEP] 办公室，住院###PM###MSH [SEP] 办公室、住院###PM###MSH
C0002424	AMB###SY###NCI_caDSR [SEP] 门诊护理设施###MH###MSH [SEP] 门诊护理设施###PN###MTH [SEP] 门诊护理设施###SY###NCI [SEP] 门诊护理设施###PM###MSH [SEP] 门诊护理设施###PT###NCI [SEP] 门诊护理设施###PT###NCI_FDA [SEP] 门诊护理设施###SY###CHV [SEP] 非卧床护理场所（环境）###FN###SNOMEDCT_US [SEP] 门诊护理点###PT###SNOMEDCT_US [SEP] 门诊治疗中心###SY###SNOMEDCT_US [SEP] 流动的###SY###NCI_caDSR [SEP] 门诊###SY###CHV [SEP] 诊所###SY###NCI [SEP] 门诊###PM###MSH [SEP] 门诊部###SY###CHV [SEP] 诊所门诊病人###SY###CHV [SEP] 诊所、门诊###PM###MSH [SEP] 设施、门诊护理###PM###MSH [SEP] 设施、门诊护理###PM###MSH [SEP] 门诊护理设施###SY###NCI [SEP] 门诊部###ET###MSH [SEP] 门诊部###PT###NCI_CDISC [SEP] 门诊部###SY###CHV [SEP] 门诊部###ET###MSH [SEP] 门诊部###LA###LNC [SEP] 门诊部###PT###CHV
C0002426	非医院门诊护理设施###ET###MSH [SEP] 非医院门诊护理设施###ET###MSH [SEP] 非医院门诊护理设施###ET###MSH [SEP] 独立诊所###PM###MSH [SEP] 独立诊所###PM###MSH [SEP] 独立诊所###PEP###MSH [SEP] 独立诊所（环境）###FN###SNOMEDCT_US [SEP] 独立诊所###PM###MSH [SEP] 独立诊所###PT###NCI [SEP] 独立诊所###PT###SNOMEDCT_US [SEP] 独立诊所###PM###MSH [SEP] 独立健康中心###SY###SNOMEDCT_US [SEP] 独立健康中心###SYGB###SNOMEDCT_US
C0002458	美国心脏协会###SY###CHV [SEP] 美国心脏协会###MH###MSH [SEP] 美国心脏协会###PT###CHV [SEP] 美国心脏协会###PM###MSH [SEP] 美国心脏协会###SY###CHV [SEP] 美国心脏协会###PM###MSH [SEP] 美国心脏协会###PM###MSH [SEP] 美国心脏协会###PM###MSH [SEP] 美国心脏协会###PM###MSH
C0002907	麻醉科###PTGB###SNOMEDCT_US [SEP] 麻醉科###SY###CHV [SEP] 麻醉科###ET###MSH [SEP] 麻醉科###PT###CHV [SEP] 医院麻醉科###MH###MSH [SEP] 麻醉科###PM###MSH [SEP] 麻醉科，医院###PM###MSH [SEP] 麻醉科（环境）###FN###SNOMEDCT_US [SEP] 麻醉科###PT###SNOMEDCT_US [SEP] 麻醉科###PM###MSH [SEP] 医院麻醉科###PM###MSH [SEP] 科室，麻醉###PM###MSH [SEP] 科室，医院麻醉###PM###MSH [SEP] 医院麻醉科###ET###MSH [SEP] 医院麻醉科###PM###MSH
C0003193	反堕胎团体###PM###MSH [SEP] 反堕胎组织###PM###MSH [SEP] 反堕胎团体###PEP###MSH [SEP] 反堕胎组织###PM###MSH [SEP] 反堕胎组织###PM###MSH
C0003746	地区健康教育中心###ET###MSH [SEP] 地区健康教育中心###MH###MSH
