BE0000048	凝血酶原
BE0000767	表皮生长因子受体
BE0000901	低亲和力免疫球蛋白γFc区受体III-B
BE0002094	补体C1q亚单位A
BE0002095	补体C1q亚单位B
BE0002096	补体C1q亚单位C
BE0002097	低亲和力免疫球蛋白γFc区受体III-A
BE0000710	高亲和力免疫球蛋白γFc受体I
BE0002098	低亲和力免疫球蛋白γFc区受体II-a
BE0004796	脱氧核糖核酸
BE0000658	白细胞介素-2受体亚单位α
BE0000651	白细胞介素-2受体β亚单位
BE0002102	细胞因子受体共同亚单位γ
BE0000704	肿瘤坏死因子
BE0002099	低亲和力免疫球蛋白γFc区受体II-b
BE0002100	低亲和力免疫球蛋白γFc区受体II-c
BE0001087	淋巴毒素α
BE0009995	补体成分1q（C1q）
BE0000203	促性腺激素释放激素受体
BE0000385	干扰素α\/β受体2
BE0000661	干扰素α\/β受体1
BE0000211	纤溶酶原
BE0000538	纤维蛋白原α链
BE0000717	尿激酶纤溶酶原激活物表面受体
BE0000240	纤溶酶原激活物抑制剂1
BE0000625	生长激素释放激素受体
BE0000654	促红细胞生成素受体
BE0000969	纤溶酶原激活物抑制剂2
BE0002112	血浆丝氨酸蛋白酶抑制剂
BE0000942	低密度脂蛋白受体相关蛋白2
BE0001656	致瘤抑制蛋白14
BE0002113	巢蛋白-1
BE0000134	促尿激素绒毛膜促性腺激素受体
BE0000431	降钙素受体
BE0000793	粒细胞集落刺激因子受体
BE0000628	粒细胞巨噬细胞集落刺激因子受体亚单位α
BE0001036	白细胞介素-3受体亚单位α
BE0002115	细胞因子受体共同亚单位β
BE0002116	Syndecan-2
BE0002114	骨髓蛋白多糖
BE0004798	L-天冬酰胺
BE0000490	促甲状腺激素受体
BE0000216	凝血因子X
BE0000364	凝血因子IX
BE0001043	血管性血友病因子
BE0002117	Phytanoyl CoA双加氧酶，过氧化物酶体
BE0002118	去唾液酸糖蛋白受体2
BE0001098	78kDa葡萄糖调节蛋白
BE0002109	钙网蛋白
BE0001011	卡尔尼克辛
BE0002119	麦角蛋白-53
BE0002110	低密度脂蛋白受体相关蛋白1
BE0002120	多凝血因子缺乏蛋白2
BE0000565	白细胞介素-1受体1型
BE0004684	高亲和力免疫球蛋白γFc受体IB
BE0003455	补体C3
BE0004685	补体C4-A
BE0004686	补体C4-B
BE0000855	补体C5
BE0000033	胰岛素受体
BE0000858	胰岛素样生长因子1受体
BE0001123	羧肽酶E
BE0001147	蛋白质NOV同系物
BE0002126	胰岛素样生长因子结合蛋白7
BE0002104	四联蛋白
BE0002105	角蛋白，II型细胞骨架蛋白8
BE0001170	膜联蛋白A2
BE0000387	促卵泡激素受体
BE0000711	干扰素γ受体1
BE0000467	干扰素γ受体2
BE0000293	加压素V2受体
BE0000165	加压素V1a受体
BE0000773	加压素V1b受体
BE0000967	组织因子途径抑制剂
BE0000403	维生素K依赖性γ羧化酶
BE0000333	凝血因子VII
BE0001178	组织因子
BE0000416	白细胞介素-11受体亚单位α
BE0000748	成纤维细胞生长因子受体2
BE0002131	成纤维细胞生长因子受体1
BE0001031	基底膜特异性硫酸乙酰肝素蛋白多糖核心蛋白
BE0000527	胰高血糖素受体
BE0002134	胰高血糖素样肽2受体
BE0000857	胰高血糖素样肽1受体
BE0002137	囊泡相关膜蛋白2
BE0002136	囊泡相关膜蛋白1
BE0002138	突触结合蛋白-2
BE0000015	高亲和力免疫球蛋白ε受体亚单位α
BE0002139	高亲和力β-免疫球蛋白受体
BE0001164	Toll样受体2
BE0000025	胶原α-1（I）链
BE0002140	胶原α-1（II）链
BE0002130	胶原α-1（III）链
BE0004823	尿酸
BE0000075	生长激素受体
BE0000345	催乳素受体
BE0004806	葡萄糖脑苷
BE0001155	整合素β-3
BE0000439	整合素αIIb
BE0001068	卵黄连蛋白
BE0000016	凝血因子VIII
BE0000041	凝血因子V
BE0001151	血栓调节蛋白
BE0000943	维生素K依赖性蛋白S
BE0001129	血小板因子4
BE0002142	Serpin B6
BE0001161	内皮蛋白C受体
BE0000674	髓样细胞表面抗原CD33
BE0004842	肿瘤相关糖蛋白72（TAG-72）
BE0000394	中性粒细胞弹性蛋白酶
BE0004828	腺苷
BE0000917	生长因子受体结合蛋白2
BE0009576	一氧化氮
BE0000844	催产素受体
BE0004821	透明质酸
BE0000984	转化生长因子β-1
BE0000511	受体酪氨酸蛋白激酶erbB-2
BE0000066	B淋巴细胞抗原CD20
BE0003456	T细胞表面糖蛋白CD3δ链
BE0000274	T细胞表面糖蛋白CD3ε链
BE0003457	T细胞表面糖蛋白CD3γ链
BE0003458	T细胞表面糖蛋白CD3 zeta链
BE0004837	地高辛
BE0010021	细胞质膜
BE0000390	突触体相关蛋白25
BE0003572	Rho相关GTP结合蛋白RhoB
BE0004834	膳食脂肪
BE0004835	膳食蛋白质
BE0004836	膳食淀粉
BE0000928	蛋白酶激活受体1
BE0000083	CAMPATH-1抗原
BE0000568	谷氨酸羧肽酶2
BE0004822	伊糖醛酸
BE0000379	钙信号调节亲环素配体
BE0002143	钙调神经磷酸酶B亚单位2型
BE0001014	肽基脯氨酰顺反异构酶A
BE0001399	肽基脯氨酰顺反异构酶F，线粒体
BE0000719	T细胞表面抗原CD2
BE0000516	整合素α-L
BE0009967	整合素α-X
BE0000598	T细胞表面糖蛋白CD1a
BE0003573	主要组织相容性复合体I类相关基因蛋白
BE0000846	T淋巴细胞活化抗原CD86
BE0003488	T细胞表面糖蛋白CD4
BE0003575	整合素β-1
BE0003576	整合素α-V
BE0001021	凝血因子席
BE0000205	血小板衍生生长因子受体β
BE0000852	血小板衍生生长因子受体α
BE0000910	α-2-巨球蛋白
BE0004830	球三糖神经酰胺
BE0010008	生长抑素受体
BE0000590	整合素α-4
BE0001085	胞间粘附分子1
BE0000398	包膜糖蛋白
BE0000686	融合糖蛋白F0
BE0002093	补码C1r子成分
BE0000163	血管内皮生长因子A
