C0000789	['PM', 'PEP', 'PM', 'ET', 'PM', 'PM', 'PM', 'PM']
C0000872	['SY', 'FN', 'ET', 'PT', 'MH', 'PN', 'PT', 'PTGB', 'ET', 'ET', 'ET', 'ET', 'SY', 'FN', 'PT', 'SY', 'ET', 'ET', 'ET', 'ET', 'PT', 'SY', 'ET', 'SY', 'ET']
C0001572	['PEP', 'PM', 'PM', 'PM']
C0001573	['PM', 'PM', 'MH', 'PM', 'PM', 'PM', 'ET', 'PM', 'ET', 'PM', 'PM', 'PM']
C0002424	['SY', 'MH', 'PN', 'SY', 'PM', 'PT', 'PT', 'SY', 'FN', 'PT', 'SY', 'SY', 'SY', 'SY', 'PM', 'SY', 'SY', 'PM', 'PM', 'PM', 'SY', 'ET', 'PT', 'SY', 'ET', 'LA', 'PT']
C0002426	['ET', 'ET', 'ET', 'PM', 'PM', 'PEP', 'FN', 'PM', 'PT', 'PT', 'PM', 'SY', 'SYGB']
C0002458	['SY', 'MH', 'PT', 'PM', 'SY', 'PM', 'PM', 'PM', 'PM']
C0002907	['PTGB', 'SY', 'ET', 'PT', 'MH', 'PM', 'PM', 'FN', 'PT', 'PM', 'PM', 'PM', 'PM', 'ET', 'PM']
C0003193	['PM', 'PM', 'PEP', 'PM', 'PM']
C0003746	['ET', 'MH']
C0005770	['PM', 'PM', 'HS', 'HC', 'LPDN', 'LPN', 'PM', 'PT', 'PT', 'PT', 'PT', 'MH', 'PN', 'PT', 'SY', 'PT']
C0005864	['PEP', 'PT', 'PM', 'PM', 'PM']
C0005865	['PEP', 'PT', 'PM', 'SY', 'PM', 'PM']
C0006418	['FN', 'LA', 'PM', 'PT', 'PT', 'PEP', 'SY', 'PTGB', 'SY', 'SY', 'SY', 'PM', 'PM', 'SY', 'FN', 'PT']
C0006425	['PM', 'PT', 'MH', 'SY', 'FN', 'PT', 'SY', 'SY', 'PM', 'PM']
C0006460	['PM', 'PM', 'PEP', 'ET', 'PM', 'PM', 'PM', 'PM']
C0006827	['MH', 'PM', 'PM', 'PM']
C0006828	['PM', 'PEP', 'PM', 'PM']
C0007151	['MH', 'PM', 'PM', 'PM']
C0007670	['ET', 'LA', 'SY', 'ET', 'ET', 'ET', 'ET', 'PT', 'ET', 'PN', 'ET', 'PT', 'MH', 'ET', 'ET', 'ET', 'ET']
C0007692	['PM', 'MH', 'ET', 'ET', 'ET', 'ET']
C0007951	['PM', 'PM', 'MH', 'PM', 'ET', 'PM', 'PM', 'PM', 'ET', 'ET', 'PM', 'PM']
C0008077	['PM', 'MH', 'PT', 'PT', 'PM', 'PM', 'PM', 'PM']
C0008968	['ET', 'PT', 'PM', 'PEP', 'PM', 'ET', 'PM']
C0009434	['MH', 'PN', 'ET']
C0009469	['SY', 'PM', 'PM', 'SY', 'PM', 'PM', 'PM', 'PT', 'SY', 'MH', 'PT', 'SY', 'LA', 'PM', 'PM', 'PM', 'ET']
C0009474	['ET', 'POS', 'MH', 'PT', 'SY', 'ET']
C0009478	['PEP', 'FN', 'PM', 'PT', 'PT', 'SY', 'PT', 'SY', 'PM', 'PM']
C0009589	['PEP']
C0010066	['SY', 'PM', 'PM', 'PM', 'PT', 'PT', 'MH', 'PT', 'SY', 'PT', 'PM', 'PM']
C0010089	['PEP', 'PM', 'PM', 'PM']
