C0000742	['MSH', 'CSP', 'NCBI', 'CSP', 'MSH', 'NCI', 'NCBI', 'CSP', 'MSH', 'MSH']
C0001417	['CSP', 'CHV', 'SNOMEDCT_US', 'CHV', 'SNOMEDCT_US', 'NCBI', 'NCBI', 'CSP', 'MSH', 'MTH', 'SNOMEDCT_US', 'NCBI', 'MSH', 'SNOMEDCT_US', 'SNOMEDCT_US']
C0001483	['CHV', 'NCI_CTRP', 'MSH', 'CSP', 'NCI', 'NCI_CDISC', 'SNOMEDCT_US', 'NCBI', 'CHV', 'SNOMEDCT_US', 'LNC', 'LNC', 'LNC', 'LNC', 'MSH', 'CHV', 'NCI_NCI-GLOSS', 'NCI_caDSR', 'MSH', 'MTH', 'LCH_NW', 'CHV', 'PDQ', 'SNOMEDCT_US', 'SNOMEDCT_US']
C0001489	['MSH', 'MSH', 'CSP', 'MSH', 'SNOMEDCT_US', 'NCBI', 'MSH', 'SNOMEDCT_US', 'LNC', 'LNC', 'MSH', 'MSH', 'SNOMEDCT_US', 'SNOMEDCT_US']
C0001490	['MSH', 'MSH', 'MSH', 'MSH', 'SNOMEDCT_US', 'NCBI', 'NCBI', 'MSH', 'SNOMEDCT_US', 'MSH']
C0001491	['MSH', 'MSH', 'SNOMEDCT_US', 'NCBI', 'MSH', 'SNOMEDCT_US', 'MSH', 'NCBI']
C0001749	['NCBI', 'NCBI', 'SNOMEDCT_US', 'NCBI', 'CSP', 'LNC', 'LNC', 'MSH', 'MTH', 'LCH_NW', 'SNOMEDCT_US', 'NCBI', 'NCBI']
C0001753	['SNOMEDCT_US', 'NCBI', 'NCBI', 'LNC', 'LNC', 'MSH', 'MTH', 'LCH_NW', 'SNOMEDCT_US', 'NCBI', 'NCBI', 'MSH', 'MSH', 'MSH']
C0001892	['MSH', 'MSH', 'MSH', 'MSH', 'MSH']
C0002017	['MSH', 'LNC', 'LNC', 'CSP', 'MSH', 'SNOMEDCT_US', 'MSH', 'SNOMEDCT_US']
C0002331	['MSH', 'CHV', 'MSH', 'NCBI', 'SNOMEDCT_US', 'LNC', 'LNC', 'MSH', 'CHV', 'CSP', 'NCI', 'NCI_CDISC', 'SNOMEDCT_US', 'NCBI', 'MSH', 'CHV', 'SNOMEDCT_US', 'CSP', 'SNOMEDCT_US', 'SNOMEDCT_US', 'MSH', 'NCI_CDISC', 'MSH', 'SNOMEDCT_US', 'CSP', 'MSH', 'MSH']
C0002405	['NCBI', 'NCBI', 'NCBI', 'SNOMEDCT_US', 'NCBI', 'CSP', 'MSH', 'SNOMEDCT_US', 'NCBI']
C0003060	['SNOMEDCT_US', 'MSH', 'NCI', 'SNOMEDCT_US', 'MSH', 'CHV', 'CHV', 'CHV', 'MSH', 'MSH', 'NCI']
C0003530	['SNOMEDCT_US', 'MSH', 'SNOMEDCT_US']
C0003725	['SNOMEDCT_US', 'LNC', 'LNC', 'CSP', 'MSH', 'LNC', 'LNC', 'CHV', 'NCI', 'NCI_CDISC', 'SNOMEDCT_US', 'MSH', 'MTH', 'LCH_NW', 'CHV', 'MSH', 'MSH', 'MSH', 'NCI_CDISC', 'MSH', 'MSH', 'MSH']
C0003755	['MSH', 'CHV', 'CSP', 'SNOMEDCT_US', 'NCBI', 'CSP', 'SNOMEDCT_US', 'SNOMEDCT_US']
C0004120	['LNC', 'LNC', 'LNC', 'MTH', 'CHV', 'CSP', 'CHV']
C0004418	['SNOMEDCT_US', 'MSH', 'NCBI', 'MSH', 'LNC', 'LNC', 'SNOMEDCT_US', 'MSH', 'MSH', 'SNOMEDCT_US', 'MSH', 'MSH', 'MSH', 'MSH', 'NCBI']
C0004419	['SNOMEDCT_US', 'CSP', 'MSH', 'SNOMEDCT_US', 'MSH', 'LNC', 'LNC', 'LNC', 'MSH', 'CHV', 'SNOMEDCT_US', 'MSH', 'MSH']
C0004420	['LNC', 'NCBI', 'MSH', 'LNC', 'LNC', 'NCBI', 'SNOMEDCT_US', 'NCBI', 'MSH', 'SNOMEDCT_US', 'NCBI', 'MSH', 'MSH', 'MTH', 'NCBI', 'SNOMEDCT_US', 'MSH', 'NCBI']
C0004422	['CSP', 'LNC', 'LNC', 'MSH', 'MTH', 'CSP', 'NCBI', 'SNOMEDCT_US', 'NCBI', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH']
C0004423	['MSH', 'CSP', 'NCI', 'NCBI', 'SNOMEDCT_US', 'MSH', 'CSP', 'MSH', 'MSH', 'NCBI', 'MSH', 'MSH', 'MSH', 'NCI', 'NCBI', 'NCBI', 'CSP', 'NCBI', 'SNOMEDCT_US', 'MTH', 'SNOMEDCT_US', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'NCI', 'NCI', 'MSH', 'MSH', 'MSH']
C0004425	['NCBI', 'CSP', 'NCBI', 'NCBI', 'CSP', 'LNC', 'LNC', 'MSH', 'MTH', 'NCBI']
C0004429	['CSP', 'CHV', 'SNOMEDCT_US', 'MSH', 'CSP', 'SNOMEDCT_US', 'NCBI', 'CHV', 'NCBI', 'MSH', 'MTH', 'CHV', 'MSH', 'MSH', 'MSH', 'MSH']
C0004651	['SNOMEDCT_US', 'CSP', 'SNOMEDCT_US', 'CHV', 'CHV', 'NCBI', 'NCBI', 'CSP', 'MSH', 'CHV', 'NCI', 'NCBI', 'NDDF', 'MSH', 'MTH', 'LCH_NW', 'CHV', 'NCBI', 'CSP', 'MSH', 'CHV', 'NCI', 'SNOMEDCT_US', 'MSH', 'CHV', 'NCBI', 'NCBI', 'NCI']
C0005670	['SNOMEDCT_US', 'NCBI', 'MSH', 'NCI_CDISC', 'CHV', 'NCI', 'SNOMEDCT_US', 'NCBI', 'NCI_CTRP', 'NCBI', 'CSP', 'LNC', 'LNC', 'MSH', 'CHV', 'NCI', 'SNOMEDCT_US', 'NCI_CDISC', 'NCI', 'NCBI', 'NCBI', 'NCBI', 'MSH', 'SNOMEDCT_US', 'NCBI', 'NCBI', 'SNOMEDCT_US', 'NCBI', 'NCI', 'NCBI', 'CHV', 'NCI', 'SNOMEDCT_US', 'MSH', 'MSH', 'NCBI', 'SNOMEDCT_US', 'NCI', 'MSH']
C0005867	['MSH', 'MSH', 'SNOMEDCT_US', 'NCBI', 'NCBI', 'LNC', 'CSP', 'LNC', 'LNC', 'MSH', 'MTH', 'LCH_NW', 'SNOMEDCT_US', 'NCBI', 'MSH', 'CSP', 'MSH']
C0006024	['SNOMEDCT_US', 'NCBI', 'LNC', 'LNC', 'MSH', 'LCH_NW', 'SNOMEDCT_US', 'NCBI', 'MSH', 'MSH', 'MSH']
