C0002938	['SY', 'ET', 'PT', 'SY', 'PM', 'SY', 'PM', 'FN', 'LA', 'MH', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTCS']
C0004403	['PT', 'ET', 'PM', 'PEP', 'PM', 'PT']
C0008625	['SY', 'PM', 'PM', 'PM', 'PM', 'PM', 'PM', 'SY', 'SY', 'ET', 'ET', 'PM', 'PM', 'PM', 'PM', 'PM', 'SY', 'SY', 'ET', 'SY', 'PM', 'SD', 'SY', 'SY', 'PM', 'PT', 'SY', 'SY', 'SY', 'SY', 'PM', 'PT', 'SY', 'SY', 'MH', 'PN', 'SY', 'ET', 'PT', 'SY', 'PM', 'PT', 'SY', 'SY', 'SY', 'SY', 'PM', 'SY', 'ET', 'ET', 'PM', 'PT']
C0008628	['LLT', 'DN', 'LLT', 'PT', 'PT', 'PT', 'MH', 'PN', 'PT', 'PT', 'SY', 'SY', 'PT', 'SY', 'PM', 'PT', 'PM', 'SY', 'SY']
C0008629	['ET', 'MH', 'PN', 'PM', 'PM']
C0008631	['ET', 'PM', 'PEP', 'PN', 'PT', 'SY', 'SY', 'FN', 'HT', 'PT', 'PM', 'PM']
C0010827	['PT', 'SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'FN', 'CN', 'LPDN', 'LPN', 'PT', 'PT', 'SY', 'ET', 'SY', 'PM', 'SY', 'MH', 'PN', 'PM', 'PM', 'PM', 'PM', 'PM', 'SY', 'PM', 'PM', 'ET', 'PM', 'PT']
C0012860	['SY', 'PM', 'PM', 'FN', 'SY', 'DN', 'MH', 'PT', 'PT', 'PT', 'PT', 'PT', 'PM', 'PM', 'ET', 'SY', 'PM', 'ET']
C0021943	['DN', 'PM', 'PT', 'PM', 'FN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PM', 'PT', 'SY', 'FN', 'PT', 'SY', 'LA', 'SY', 'ET', 'ET', 'PM', 'PM', 'SY']
C0025568	['FN', 'ET', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PTN', 'SY', 'SY', 'SY']
