C0000742	['ET', 'PT', 'EQ', 'ET', 'MH', 'PT', 'SCN', 'ET', 'PM', 'PM']
C0001417	['PT', 'PT', 'SY', 'SY', 'SY', 'SCN', 'EQ', 'ET', 'MH', 'PN', 'SY', 'CMN', 'PM', 'FN', 'PT']
C0001483	['SY', 'DN', 'MH', 'PT', 'PT', 'PT', 'PT', 'SCN', 'SY', 'SY', 'CN', 'LA', 'LPDN', 'LPN', 'PM', 'PT', 'PT', 'SY', 'ET', 'PN', 'PT', 'SY', 'AB', 'FN', 'SY']
C0001489	['PM', 'ET', 'ET', 'MH', 'PT', 'SCN', 'PM', 'SY', 'LPDN', 'LPN', 'PM', 'ET', 'FN', 'SY']
C0001490	['PM', 'MH', 'PM', 'ET', 'FN', 'SCN', 'EQ', 'PM', 'PT', 'PM']
C0001491	['PM', 'MH', 'FN', 'EQ', 'PM', 'PT', 'ET', 'SCN']
C0001749	['EQ', 'EQ', 'FN', 'SY', 'ET', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'SCN', 'EQ']
C0001753	['FN', 'EQ', 'EQ', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'SCN', 'EQ', 'PM', 'PM', 'ET']
C0001892	['MH', 'ET', 'PM', 'PM', 'PM']
C0002017	['ET', 'LPDN', 'LPN', 'ET', 'ET', 'FN', 'MH', 'PT']
C0002331	['ET', 'SY', 'PM', 'EQ', 'FN', 'LPDN', 'LPN', 'MH', 'PT', 'PT', 'PT', 'PT', 'PT', 'SCN', 'ET', 'SY', 'SY', 'ET', 'SY', 'SY', 'PM', 'SY', 'ET', 'SY', 'ET', 'PM', 'PM']
C0002405	['EQ', 'EQ', 'EQ', 'FN', 'EQ', 'ET', 'PEP', 'PT', 'SCN']
C0003060	['FN', 'PM', 'PT', 'PT', 'PEP', 'SY', 'SY', 'PT', 'PM', 'PM', 'SY']
C0003530	['FN', 'PEP', 'PT']
C0003725	['FN', 'LPDN', 'LPN', 'ET', 'ET', 'LPDN', 'LPN', 'PT', 'PT', 'PT', 'PT', 'MH', 'PN', 'PT', 'SY', 'PM', 'PM', 'ET', 'SY', 'ET', 'PM', 'PM']
C0003755	['MH', 'PT', 'PT', 'PT', 'SCN', 'ET', 'FN', 'SY']
C0004120	['CN', 'LPDN', 'LPN', 'PN', 'PT', 'PT', 'SY']
C0004418	['FN', 'ET', 'EQ', 'ET', 'LPDN', 'LPN', 'PT', 'ET', 'PM', 'SY', 'MH', 'ET', 'ET', 'ET', 'SCN']
C0004419	['FN', 'ET', 'ET', 'PT', 'PM', 'CN', 'LPDN', 'LPN', 'MH', 'PT', 'SY', 'ET', 'PM']
C0004420	['CN', 'EQ', 'ET', 'LPDN', 'LPN', 'SCN', 'FN', 'EQ', 'ET', 'PT', 'EQ', 'ET', 'MH', 'PN', 'EQ', 'SY', 'ET', 'EQ']
C0004422	['ET', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'SCN', 'SY', 'EQ', 'PM', 'ET', 'PM', 'PM', 'PM']
C0004423	['MH', 'PT', 'PT', 'SCN', 'SY', 'PM', 'ET', 'PM', 'PM', 'EQ', 'PM', 'PM', 'ET', 'SY', 'EQ', 'EQ', 'ET', 'EQ', 'FN', 'PN', 'PT', 'PM', 'PM', 'PM', 'ET', 'PM', 'ET', 'SY', 'SY', 'ET', 'PM', 'PM']
C0004425	['EQ', 'ET', 'EQ', 'EQ', 'ET', 'LPDN', 'LPN', 'MH', 'PN', 'SCN']
C0004429	['ET', 'SY', 'FN', 'PM', 'PT', 'PT', 'SCN', 'SY', 'EQ', 'MH', 'PN', 'PT', 'PM', 'ET', 'PM', 'PM']
C0004651	['FN', 'PT', 'PT', 'SY', 'SY', 'SCN', 'EQ', 'ET', 'PM', 'PT', 'PT', 'EQ', 'IN', 'MH', 'PN', 'PT', 'SY', 'EQ', 'ET', 'PM', 'SY', 'SY', 'SY', 'ET', 'SY', 'EQ', 'EQ', 'SY']
C0005670	['FN', 'EQ', 'ET', 'PT', 'SY', 'SY', 'SY', 'EQ', 'DN', 'EQ', 'ET', 'LPDN', 'LPN', 'MH', 'PT', 'PT', 'PT', 'SY', 'SY', 'EQ', 'SCN', 'EQ', 'ET', 'SY', 'EQ', 'EQ', 'SY', 'EQ', 'SY', 'EQ', 'SY', 'SY', 'SY', 'PM', 'ET', 'SY', 'SY', 'SY', 'ET']
C0005867	['ET', 'PM', 'FN', 'EQ', 'EQ', 'CN', 'ET', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'SCN', 'PM', 'ET', 'ET']
C0006024	['FN', 'EQ', 'LPDN', 'LPN', 'MH', 'PT', 'PT', 'SCN', 'ET', 'ET', 'ET']
C0006063	['CN', 'ET', 'LPDN', 'LPN', 'SY', 'PM', 'SYGB', 'FN', 'PT', 'ET', 'PM', 'ET', 'PT', 'ET', 'PN', 'ET', 'PM', 'MH', 'PM', 'ET', 'PM', 'PM', 'PM']
C0006069	['ET', 'ET', 'SY', 'PT', 'EQ', 'CN', 'ET', 'LPDN', 'LPN', 'PT', 'PT', 'SCN', 'SY', 'EQ', 'ET', 'MH', 'PN', 'PM', 'PM', 'PM']
C0006072	['FN', 'PN', 'PT', 'PT', 'PT', 'SCN', 'SY']
C0006074	['EQ', 'ET', 'SY', 'ET', 'SY', 'SY', 'ET', 'SCN', 'ET', 'FN', 'EQ', 'ET', 'LPDN', 'LPN', 'PT', 'EQ', 'ET', 'PM', 'ET', 'SY', 'EQ', 'ET', 'ET', 'ET', 'MH', 'PM', 'PM', 'ET', 'PM', 'PM']
C0006322	['ET', 'FN', 'LA', 'PEP', 'PT', 'ET']
C0006394	['FN', 'ET', 'LPDN', 'LPN', 'MH', 'PN', 'PT']
C0006395	['MH', 'PN', 'PT', 'PT', 'SY', 'SY', 'ET', 'FN', 'PT']
