C0000005	['(131)I-MAA', '(131)I-Macroaggregated Albumin']
C0000103	['1 Naphthylisothiocyanate', '1-Naphthylisothiocyanate', 'alpha Naphthylisothiocyanate', 'alpha-Naphthylisothiocyanate', 'Naphthalene, 1-isothiocyanato-']
C0000176	['19 Iodocholesterol', '19-Iodocholesterol', 'Cholest-5-en-3-ol, 19-(iodo-125I)-, (3beta)-']
C0000194	['2,2 Bipyridine', '2,2 Bipyridyl', '2,2 Dipyridyl', "2,2' Bipyridine", "2,2' Dipyridyl", "2,2'-Bipyridine", "2,2'-Bipyridine", "2,2'-Dipyridyl", '2,2-Bipyridine', '2,2-Bipyridyl', '2,2-Dipyridyl', 'alpha,alpha Dipyridyl', 'alpha,alpha-Dipyridyl', 'Dipyridyl, 2,2', "Dipyridyl, 2,2'"]
C0000232	['2,5-Cyclohexadien-1-one, 2,6-dichloro-4-((4-hydroxyphenyl)imino)-', '2,6 Dichlorobenzenoneindophenol Dye', '2,6 Dichloroindophenol', '2,6 Dichlorophenolindophenol', '2,6-Dichlorobenzenoneindophenol Dye', '2,6-Dichloroindophenol', '2,6-Dichlorophenolindophenol', 'Dichloroindophenol, 2,6', 'Dichlorophenol Indophenol', 'Dichlorophenolindophenol', 'Dye, 2,6-Dichlorobenzenoneindophenol', 'Indophenol, Dichlorophenol']
C0000248	['2 Acetamidofluorene', '2 Acetylaminofluorene', '2 Fluorenylacetamide', '2-AAF', '2-acetamidofluorene (substance)', '2-Acetamidofluorene', '2-acetamidofluorene', '2-Acetylaminofluorene', '2-Acetylaminofluorene', '2-Acetylaminofluorene', '2-Acetylaminofluorene', '2-Acetylaminofluorene', '2-ACETYLAMINOFLUORENE', '2-acetylaminofluorene', '2-Fluorenylacetamide', 'AAF, Aminofluorene', 'Acetamide, N-9H-fluoren-2-yl-', 'Aminofluorene AAF', 'Fluoren 2 ylacetamide', 'Fluoren-2-ylacetamide', 'N 2 Fluorenylacetamide', 'N Acetyl 2 Aminofluorene', 'N-2-Fluorenylacetamide', 'N-2-fluorenylacetamide', 'N-9h-fluoren-2-ylacetamide', 'N-Acetyl-2-Aminofluorene']
C0000287	['2 Hydroxy 5 nitrobenzyl Bromide', '2-Hydroxy-5-nitrobenzyl Bromide', 'Koshland Reagent I', 'Koshland Reagent', "Koshland's Reagent I", 'Koshlands Reagent I', 'Koshlands Reagent', 'Phenol, 2-(bromomethyl)-4-nitro-', "Reagent I, Koshland's", 'Reagent, Koshland', 'Reagent, Koshlands']
C0000368	["(1,1'-Biphenyl)-3,3',4,4'-tetramine", '3,3 Diaminobenzidine', "3,3' Diaminobenzidine", "3,3'-Diaminobenzidine", '3,3-Diaminobenzidine', 'Diaminobenzidine, 3,3', "Diaminobenzidine, 3,3'"]
C0000665	['8 Hydroxyquinoline', '8 hydroxyquinoline', '8 Oxyquinoline', '8 Quinolinol', '8-Hydroxyquinoline', '8-hydroxyquinoline', '8-Hydroxyquinoline', '8-hydroxyquinoline', '8-oxyquinol', '8-Oxyquinoline', '8-oxyquinoline', '8-Quinolinol', '8-Quinolinol', 'hydroxybenzopyridine', 'Hydroxyquinoline', 'Hydroxyquinoline', 'Oxine', 'oxine', 'oxine', 'Oxyquinol', 'Oxyquinol', 'Oxyquinoline (substance)', 'oxyquinoline', 'Oxyquinoline', 'Oxyquinoline', 'oxyquinoline', 'oxyquinoline', 'OXYQUINOLINE', 'Oxyquinoline', 'oxyquinoline', 'Oxyquinoline', 'OXYQUINOLINE', 'Oxyquinoline', 'OXYQUINOLINE', 'oxyquinoline', 'Oxyquinoline-containing product', 'Phenopyridine', 'Product containing oxyquinoline (medicinal product)']
C0000666	['Quinosol']
C0000954	['Acenaphthenes']
