C0000052	['1,4-alpha-Glucan Branching Enzyme']
C0000084	[]
C0000119	[]
C0000132	[]
C0000137	[]
C0000152	[]
C0000163	['17-Hydroxycorticosteroids']
C0000165	['17-Hydroxysteroid Dehydrogenases']
C0000167	[]
C0000184	[]
C0000189	['2-5A Synthetase']
C0000246	[]
C0000257	['2-Aminoadipic Acid']
C0000289	[]
C0000291	['2-Isopropylmalate Synthase']
C0000324	[]
C0000334	['24,25-Dihydroxyvitamin D 3']
C0000340	['Calcidiol 1-Monooxygenase']
C0000343	['25-Hydroxyvitamin D 2']
C0000353	[]
C0000359	["3',5'-Cyclic-Nucleotide Phosphodiesterase"]
C0000360	[]
C0000376	['3,4-Dihydroxyphenylacetic Acid']
C0000378	['droxidopa']
C0000392	['beta-alanine']
C0000404	['3-Hydroxyacyl CoA Dehydrogenases']
C0000407	[]
C0000412	[]
C0000413	[]
C0000427	[]
C0000435	[]
C0000464	['docosahexaenoate']
C0000473	['4-aminobenzoic acid']
C0000500	['4-Hydroxybenzoate 3-monooxygenase']
C0000507	['4-Hydroxyphenylpyruvate Dioxygenase']
C0000530	["5'-NUCLEOTIDASE"]
C0000545	['eicosapentaenoic acid']
C0000551	[]
C0000562	[]
C0000578	['5-hydroxytryptophan']
C0000588	[]
C0000601	[]
C0000610	[]
C0000644	[]
C0000656	[]
C0000657	['7SL RNA']
C0000678	[]
C0000697	[]
C0000702	[]
C0000779	[]
C0000829	[]
C0000830	[]
C0000831	[]
C0000843	[]
C0000977	['Acetate Kinase']
C0000995	[]
C0000996	[]
C0000997	['Acetoin Dehydrogenase']
C0000999	['Acetolactate Synthase']
C0001003	[]
C0001013	[]
C0001019	['Acetyl-CoA C-Acetyltransferase']
C0001021	['Acetyl-CoA C-Acyltransferase']
C0001022	['Acetyl-CoA Carboxylase']
C0001024	['Acetyl-CoA Hydrolase']
C0001026	['acetyl coenzyme A']
C0001028	['Acetate-CoA Ligase']
C0001037	[]
C0001040	['acetylcarnitine']
C0001041	['acetylcholine']
C0001044	['acetylcholinesterase']
C0001053	['Acetylesterase']
C0001055	[]
C0001057	['Beta-N-Acetylglucosaminidase']
C0001060	[]
C0001064	['Acetylserotonin N-Methyltransferase']
C0001067	[]
C0001068	['Acetyltransferase']
C0001097	[]
C0001098	[]
C0001102	[]
C0001103	[]
C0001104	[]
C0001105	[]
C0001106	[]
C0001109	['Acid Phosphatase']
C0001113	[]
C0001120	[]
C0001156	['Aconitate Hydratase']
C0001158	['aconitic acid']
C0001214	['ACROSIN']
C0001237	[]
C0001239	['Actin-Binding Protein']
C0001245	[]
C0001271	[]
C0001291	['Actomyosin']
C0001345	[]
C0001346	[]
C0001347	['Acute-Phase Proteins']
C0001369	['Acyl Carrier Protein']
C0001374	[]
C0001388	['Acylneuraminate Cytidylyltransferase']
C0001390	['Acyltransferase']
C0001407	['adenine']
C0001412	[]
C0001413	['Adenine Nucleotides']
C0001414	['Adenine Phosphoribosyltransferase']
C0001443	['adenosine']
C0001448	[]
C0001451	['Adenosine A1 Receptor']
C0001452	['Adenosine A2 Receptors']
C0001455	['cyclic AMP']
C0001457	['ADENOSINE DEAMINASE']
C0001459	['Adenosine Diphosphate']
C0001460	[]
C0001461	[]
C0001462	[]
C0001464	['Adenosine Kinase']
C0001465	['adenosine monophosphate']
C0001468	['Adenosine Phosphosulfate']
C0001471	[]
C0001473	['Adenosine Triphosphatases']
C0001475	['F1-ATPase']
C0001476	['Ca(2+)-Transporting ATPase']
C0001477	[]
C0001478	[]
C0001479	['Na(+)-K(+)-Exchanging ATPase']
C0001480	['adenosine triphosphate']
C0001484	[]
C0001492	['Adenylate Cyclase']
C0001497	['ADENYLATE KINASE']
C0001502	['ADENYLOSUCCINATE LYASE']
C0001503	['Adenylosuccinate Synthase']
C0001551	['Immunologic Adjuvants']
C0001601	[]
C0001617	['Adrenal Cortex Hormones']
C0001636	['epinephrine hydrochloride']
C0001638	[]
C0001639	[]
C0001642	['Receptors, Adrenergic, beta-1']
C0001643	['beta-2 Adrenergic Receptors']
C0001655	['corticotropin']
C0001657	['Adrenodoxin']
C0001694	[]
C0001695	[]
C0001697	[]
C0001804	[]
C0001805	[]
C0001814	[]
C0001898	['alanine']
C0001899	['Alanine Transaminase']
C0001900	['Alanine Racemase']
C0001904	['Alanine-tRNA Ligase']
C0001924	['Albumins']
C0001942	['Alcohol dehydrogenase']
C0001944	[]
C0001945	[]
C0001954	['Alcohol Oxidoreductases']
C0001985	['Aldehyde dehydrogenase (NAD+)']
C0001986	[]
C0001987	[]
C0001988	[]
C0001990	['Aldehyde-Lyases']
C0001998	['Aldolase A']
C0001999	['Aldolase B']
C0002000	[]
C0002003	['Aldehyde Reductase']
C0002004	[]
C0002005	[]
C0002006	['aldosterone']
C0002052	[]
C0002057	[]
C0002058	[]
C0002059	['Alkaline Phosphatase']
C0002061	[]
C0002092	['Allergens']
C0002129	[]
C0002131	[]
C0002139	['Alloisoleucine']
C0002142	['Allophanate Hydrolase']
C0002151	['alloxan']
C0002158	['allylestrenol']
C0002189	[]
