C0003074	['Anion Gap']
C0005516	['Biological Markers']
C0005798	['Blood Flow Velocity']
C0005850	['Blood Volume']
C0005938	['Bone Density']
C0007165	['Cardiac Output']
C0007809	['Cerebrospinal Fluid Pressure']
C0010419	['Deprecated Cryptosporidium sp Ag [Presence] in Unspecified specimen by Immunofluorescence']
C0011384	[]
C0012000	['Diastole']
C0012655	['Disease susceptibility']
C0018810	['heart rate']
C0024964	['Maximal Expiratory Flow Rate']
C0024966	['Maximal Midexpiratory Flow Rate']
C0025515	[]
C0026687	['Mucociliary Clearance']
C0029387	['Osmolarity']
C0030055	['Oxygen Consumption']
C0032127	['Blood Plasma Volume']
C0032930	['Precipitating Factors']
C0034094	['Pulmonary Wedge Pressure']
C0034944	['Reflex, Vestibulo-Ocular']
C0035190	['Residual volume']
C0035234	['Respiratory Sounds']
C0036785	['Serum Calcium Level']
C0038050	[]
C0038455	[]
C0040210	['Tidal Volume']
C0042812	['Visual Acuity']
C0042834	['Vital capacity']
C0080078	['Range of Motion, Articular']
C0085854	[]
C0086589	[]
C0086879	['Pulmonary Capillary Wedge Pressure']
C0162521	['Exercise Tolerance']
C0178519	[]
C0184544	['Medication Risk']
C0195700	[]
C0195702	['Delivery of shoulder presentation function']
C0200661	['White blood cell morphology observed']
C0205625	['Null cell origin']
C0221743	['Skin reaction']
C0230036	['Jaw angle']
C0231338	[]
C0231626	['Finger to floor distance - observable']
C0231729	['Thomas test response']
C0231741	['Apprehension test response']
C0231829	[]
C0231832	['Respiratory rate']
C0231958	[]
C0231959	['Airway closing volume']
C0231960	[]
C0231961	['Thoracic gas volume']
C0231966	[]
C0231969	['Regional tidal volume']
C0231971	['Diffusion capacity of lung, function']
C0231976	[]
C0231977	[]
C0231979	[]
C0231985	[]
C0231991	[]
C0231992	[]
C0231994	[]
C0231995	[]
C0231996	[]
C0231998	[]
C0232015	[]
C0232016	[]
C0232024	[]
C0232117	['Pulse Rate']
C0232175	[]
C0232337	[]
C0232420	[]
C0232680	[]
C0232856	['Urine volume function']
C0233130	[]
C0233131	[]
C0234171	[]
C0234172	[]
C0234688	[]
C0234690	[]
C0234691	[]
C0234692	[]
C0234723	[]
C0234724	[]
C0234742	['Speech reception threshold']
C0241596	[]
C0262499	['Head circumference']
C0277853	[]
C0278941	['prior anthracycline therapy']
C0282541	[]
C0311416	[]
C0311421	[]
C0344335	['Body Fat']
C0344390	[]
C0362090	[]
C0362092	[]
C0362093	[]
C0362094	[]
C0362095	[]
C0362097	[]
C0362098	[]
C0362099	[]
C0362101	[]
C0362102	[]
C0362103	[]
C0362105	[]
C0362106	[]
C0362107	[]
C0362109	[]
C0362110	[]
C0362111	[]
C0362113	[]
C0362114	[]
C0362115	[]
C0362117	[]
C0362118	[]
C0362119	[]
C0362121	[]
C0362122	[]
C0362123	[]
C0362125	[]
C0362126	[]
C0362127	[]
C0362129	[]
C0362130	[]
C0362131	[]
C0362133	[]
