C0000727	[1, 6, 12, 23]
C0000729	[2, 11, 21, 23]
C0000737	[12, 35, 47, 50]
C0000848	[]
C0001416	[0, 2]
C0001726	[0, 1, 2, 3]
C0002758	[]
C0002962	[13, 55, 83, 89]
C0003078	[3]
C0003129	[2]
C0003564	[0, 7, 42, 43]
C0003578	[6, 27]
C0003580	[]
C0003862	[7, 24, 41, 53, 67, 77]
C0004059	[]
C0004093	[6]
C0004134	[7, 29, 30, 31, 32, 33, 37, 38]
C0004317	[]
C0004604	[1, 3, 6, 11, 25, 41, 48, 65, 95, 98]
C0004941	[0, 6, 10, 11]
C0005409	[]
C0005858	[]
C0005874	[3, 14]
C0005904	[4, 6, 9, 10, 11, 12]
C0006625	[8]
C0007859	[0, 1, 2, 6, 8, 20, 21, 24, 25, 28, 34, 48, 50, 52, 58, 59, 64, 65]
C0007939	[3]
C0007940	[]
C0007942	[]
C0007943	[]
C0008031	[14, 37, 48, 52]
C0008033	[]
C0008035	[]
C0008039	[1, 16, 28]
C0008983	[]
C0009024	[]
C0009090	[7, 14]
C0009193	[]
C0009216	[]
C0009806	[17]
C0009812	[]
C0010200	[7, 43]
C0010201	[]
C0010263	[7, 10, 11, 13]
C0010520	[5, 12]
C0011364	[]
C0011991	[20, 50]
C0011992	[3, 5, 13, 18]
C0012766	[]
C0012833	[7, 32]
C0013196	[]
C0013395	[5, 24, 28, 44]
C0013404	[2, 4, 16, 24, 47, 74, 97]
C0013421	[5, 15, 23]
C0013428	[4]
C0013456	[23, 33, 37, 50]
C0013911	[8, 14]
C0014034	[]
C0014724	[9, 19, 35, 50]
C0014811	[]
C0014887	[]
C0015230	[11, 22, 40, 58, 69]
C0015411	[2, 4, 6, 7]
C0015468	[4, 13, 34, 35]
C0015644	[3, 13, 16, 21, 34, 38]
C0015672	[23]
C0015967	[22, 55, 83, 96]
C0015970	[14, 42, 44]
C0016199	[2, 13, 20, 23]
C0016204	[12, 34]
C0016205	[]
C0016382	[34, 53]
C0016512	[]
C0016708	[]
C0017650	[5, 11, 14, 17, 24]
C0017672	[0, 5, 8, 19]
C0018520	[41, 48]
C0018681	[2, 5, 7, 12, 15, 17, 18, 20, 24, 30, 43, 77, 86, 87, 90, 91]
C0018834	[10, 30, 31]
C0018926	[12, 22]
C0018933	[]
C0018989	[1, 8]
C0018991	[14, 34]
C0019079	[33, 42]
C0019214	[]
C0019559	[]
C0019825	[12, 20, 32, 34, 38]
C0020175	[4]
C0020429	[3, 15, 16, 17, 19, 29, 30]
C0020450	[17, 36, 39]
C0020453	[20, 34, 36, 37, 43, 44, 45, 46]
C0020530	[]
C0021177	[5, 20]
C0021712	[1, 3]
C0022281	[]
C0022346	[5, 20]
C0022976	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
C0023218	[]
C0023222	[]
C0023380	[16]
C0023533	[10, 18]
