C0000005	[1, 1]
C0000039	[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1]
C0000096	[1, 1, 1, 1, 1, 1, 1]
C0000107	[1, 1, 1, 1, 1, 1, 1, 1, 1]
C0000139	[0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1]
C0000151	[1, 1, 1]
C0000172	[0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]
C0000173	[1, 1, 1, 1, 1, 1, 1]
C0000190	[1, 1]
C0000254	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
C0000263	[1, 1, 1, 1, 0, 1]
C0000266	[0, 0, 0, 0, 1, 0]
C0000268	[1, 1, 1, 0, 1, 1, 1, 1, 1]
C0000275	[1, 1, 1]
C0000289	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
C0000294	[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]
C0000364	[1, 1]
C0000378	[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0]
C0000392	[0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]
C0000399	[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]
C0000402	[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1]
C0000403	[1, 1]
C0000424	[1, 1, 1, 1, 1, 1, 1]
C0000473	[0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
C0000477	[1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0]
C0000481	[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1]
C0000488	[1, 1]
C0000490	[1, 1]
C0000503	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]
C0000506	[1, 0, 0, 0, 1]
C0000523	[1, 1]
C0000543	[1, 1, 1, 1]
C0000544	[1, 1, 1, 1]
