C0000727	急腹症###MH###MSH [SEP] 急腹症###PN###MTH [SEP] 急腹症###PM###MSH [SEP] 急腹症###PM###MSH [SEP] 急腹症###PM###MSH [SEP] 急腹症###PT###MEDCIN [SEP] 急腹症###PT###SNOMEDCT_US [SEP] 外科腹部###SY###CHV
C0000729	腹部痉挛###PM###MSH [SEP] 腹部痉挛###PEP###MSH [SEP] 腹部痉挛###PN###MTH [SEP] 腹部抽筋###PM###MSH [SEP] 腹部抽筋###PM###MSH [SEP] 腹部痉挛###SY###CHV [SEP] 腹部痉挛###SY###CHV
C0000737	腹痛###MH###MSH [SEP] 腹痛###PN###MTH [SEP] 腹痛###PM###MSH [SEP] 腹痛###PM###MSH [SEP] 腹痛###PM###MSH [SEP] 腹痛###SY###CHV [SEP] 腹痛###PTN###ICPC2P [SEP] 腹痛###SY###HPO [SEP] 腹痛###SY###NCI_caDSR [SEP] 腹痛###SY###CHV
C0000848	
C0001416	腺苷酸###PM###MSH [SEP] 腺炎###PEP###MSH [SEP] 腺炎###PN###MTH [SEP] 腺炎###PTCS###OMIM [SEP] 腺炎###PTN###ICPC2P
C0001726	情感症状###PM###MSH [SEP] 情感症状###MH###MSH [SEP] 情感性症状###PM###MSH [SEP] 情感性症状###PM###MSH
C0002758	
C0002962	心绞痛###MH###MSH [SEP] 心绞痛###PN###MTH [SEP] 安哥拉胸肌###ET###MSH [SEP] 狭窄心###ET###MSH [SEP] 狭窄心###PM###MSH [SEP] 心绞痛###PT###PSY [SEP] 心绞痛###SY###CHV [SEP] 心绞痛###SY###NCI [SEP] 心绞痛###PT###CHV [SEP] 心绞痛###SY###SNOMEDCT_US [SEP] 缺血性胸痛###SY###CHV
C0003078	异轴###MH###MSH [SEP] 异轴###PT###MEDCIN [SEP] 异轴###PT###SNOMEDCT_US
C0003129	缺氧###PEP###MSH [SEP] 缺氧###PN###MTH
C0003564	失声###ET###MSH [SEP] 失音###MH###MSH [SEP] 失音###PN###MTH [SEP] 声音缺失###PM###MSH [SEP] 声音缺失###PM###MSH [SEP] 失音###SY###CHV [SEP] 失声###PTN###ICPC2P
C0003578	呼吸暂停###MH###MSH [SEP] 呼吸暂停###PN###MTH [SEP] 呼吸暂停###PM###MSH [SEP] 呼吸暂停###RT###NANDA-I [SEP] 呼吸暂停###SY###CHV [SEP] 呼吸暂停###SY###CHV [SEP] 呼吸暂停###SY###SNOMEDCT_US [SEP] 呼吸暂停###SY###CHV [SEP] 呼吸暂停###SY###HPO [SEP] 阿诺亚斯###SY###CHV [SEP] 呼吸暂停###SYGB###SNOMEDCT_US [SEP] 呼吸停止###SY###CHV [SEP] 呼吸停止###SY###CHV [SEP] 肺动脉骤停###SY###CHV
C0003580	
