C0000886	['棘细胞']
C0001216	['顶体帽']
C0001280	['活化巨噬细胞']
C0002449	['成釉细胞']
C0003154	['前角细胞']
C0003273	['抗体产生细胞']
C0003315	['副细胞']
C0003649	['胺前体摄取和脱羧细胞群']
C0004112	['星形胶质细胞（细胞）']
C0004461	['轴突结构（细胞结构）']
C0004561	['B细胞淋巴细胞']
C0004827	['嗜碱性粒细胞']
C0005773	['血细胞']
C0005821	['血小板']
C0005955	['骨髓细胞']
C0007592	['细胞提取物']
C0007600	['细胞系']
C0007601	['转化细胞系']
C0007603	['细胞膜（细胞结构）']
C0007609	['细胞核仁']
C0007610	['细胞核']
C0007623	['细胞壁']
C0007625	['无细胞系统']
C0007634	['细胞结构（细胞结构）']
C0007635	['细胞培养']
C0007637	['身体，包容']
C0007708	['中心粒（细胞）']
C0007709	['着丝粒（细胞结构）']
C0008010	['化学感受性细胞']
C0008266	['叶绿体']
C0008422	['胆碱能纤维']
C0008537	['嗜铬颗粒']
C0008545	['染色单体（细胞结构）']
C0008572	['色素细胞']
C0008633	['染色体']
C0008641	['细菌染色体']
C0008642	['真菌染色体']
C0008643	['人类染色体']
C0008644	['A染色体组']
C0008645	['D染色体组']
C0008646	['染色体组E']
C0008647	['F染色体组']
C0008648	['染色体g']
C0008649	['B染色体组']
C0008650	['C染色体组']
C0008651	['1染色体']
C0008652	['10染色体']
C0008653	['chr11']
C0008654	['12染色体']
C0008655	['13染色体']
C0008656	['14染色体']
C0008657	['15染色体']
C0008658	['16染色体']
C0008659	['chr17']
C0008660	['18染色体']
C0008661	['19染色体']
C0008662	['2染色体']
C0008663	['20染色体']
C0008664	['21染色体']
C0008665	['22染色体']
C0008666	['3染色体']
C0008667	['4染色体']
C0008668	['5染色体']
C0008669	['6染色体']
C0008670	['7染色体']
C0008671	['8染色体']
C0008672	['9染色体']
C0008778	['纤毛']
C0009013	['细胞克隆']
C0009781	['结缔组织细胞']
C0010834	['细胞质']
C0010835	['细胞质丝']
C0010837	['细胞颗粒']
C0010851	['细胞骨架丝']
C0010853	['细胞基质']
C0011305	['枝晶（细胞结构）']
C0011306	['树突状细胞']
C0011703	['桥粒瘤']
C0013485	['胚胎癌细胞']
C0013921	['细胞，栓塞性肿瘤']
C0014239	['内质网（细胞结构）']
C0014355	['含5-羟色胺的肠嗜铬细胞']
C0014467	['嗜酸性白细胞']
C0014597	['上皮细胞']
C0014603	['上皮样细胞']
C0014762	['成红细胞']
C0014776	['红血影']
C0014778	['红细胞包涵体（形态异常）']
C0014780	['红细胞膜']
C0014792	['无核红细胞']
C0014793	['异常红细胞']
C0014802	['红系前体细胞']
C0015161	['真核细胞']
C0016030	['成纤维细胞']
C0016192	['鞭毛']
C0016390	['泡沫细胞']
C0017471	['细胞胚']
C0017473	['生殖系']
C0017526	['细胞，巨人']
C0017527	['巨大异物细胞']
C0017528	['细胞，朗汉斯巨人']
C0018042	['高尔基体']
C0018183	['粒细胞']
C0018207	['颗粒细胞']
C0018496	['听觉毛细胞']
C0018497	['听觉毛细胞，内']
C0018871	['尸体，海因茨']
C0018873	['牢房，希拉']
C0018894	['CD4+T淋巴细胞']
C0018956	['血细胞前体']
C0019000	['血细胞']
C0019397	['染色质浓缩']
C0019612	['结缔组织巨噬细胞']
C0020200	['体细胞杂种']
C0020204	['细胞杂交瘤']
C0021158	['病毒包涵体']
C0021770	['中间丝']
C0021792	['连接神经元']
C0021868	['细胞内膜']
C0022539	['细胞，HeLa KB']
C0022567	['表皮角化细胞']
C0022686	['细胞毒性']
C0022687	['牢房，拉克']
C0022688	['细胞，自然杀手']
C0022801	['牢房，库普弗']
C0022827	['细胞l']
C0022891	['枝细胞']
C0023005	['细胞朗格汉斯']
C0023172	['小室']
C0023516	['白血球']
C0023517	['无颗粒白细胞']
C0023602	['细胞间质']
C0023768	['双层脂膜']
C0024156	['黄体细胞']
C0024264	['淋巴细胞']
C0024265	['单元格，空']
C0024369	['溶酶体瘤']
C0024432	['骨髓源性巨噬细胞']
C0024880	['嗜碱性细胞，组织']
C0025032	['听觉感受细胞']
C0025166	['巨核细胞']
C0025171	['巨成叶细胞']
C0025201	['黑素细胞']
C0025207	['黑素载体']
C0025213	['黑素体']
C0025954	['微体']
C0025979	['肌动蛋白细胞骨架']
C0026029	['内质网囊泡']
C0026030	['肝微粒体']
C0026046	['微管']
C0026049	['微绒毛']
C0026237	['线粒体']
C0026238	['心脏线粒体']
C0026239	['肝线粒体']
C0026240	['线粒体肌肉']
C0026258	['有丝分裂纺锤体']
C0026473	['血单核细胞']
C0026608	['端部电机板']
C0026609	['运动神经元']
C0026610	['融合运动神经元']
C0026973	['髓鞘结构（细胞结构）']
C0027075	['横纹肌纤维']
C0027625	['循环肿瘤细胞']
C0027747	['轴突终末']
C0027749	['纤维神经']
C0027750	['有髓神经纤维']
C0027829	['神经原纤维']
C0027834	['神经丝']
C0027836	['细胞，神经胶质']
C0027869	['神经肌肉接头']
C0027882	['细胞神经']
C0027883	['传入神经元']
C0027884	['传出神经']
C0027950	['血液中性粒细胞']
C0028117	['尼索']
C0028581	['核基质']
C0028584	['核弹信封']
C0028587	['全国人大']
C0028609	['也没有']
C0028875	['成牙本质细胞']
C0028876	['成骨细胞']
C0028944	['少突胶质细胞']
C0029045	['卵母细胞']
C0029048	['卵原细胞']
C0029219	['细胞器']
C0029330	['嗜酸性红细胞']
C0029418	['成骨细胞']
C0029431	['破骨细胞（细胞）']
C0029432	['骨细胞']
C0029974	['卵细胞']
C0030280	['胰岛A细胞']
C0030281	['胰腺B细胞']
C0030559	['细胞壁']
C0031307	['变形金刚']
C0031309	['异溶酶体（细胞结构）']
C0031310	['吞噬泡']
C0031760	['感光细胞']
C0031921	['细菌菌毛']
C0032112	['细胞浆']
C0032592	['多核糖体（细胞结构）']
C0033416	['前髓细胞']
C0033731	['原生质体']
C0033827	['伪足']
C0034143	['浦肯野细胞']
C0034149	['细菌紫膜']
C0034837	['神经受体']
C0034850	['内体']
C0034964	['嗜碱性肌纤维']
C0035286	['网织红细胞']
C0035316	['视网膜神经节细胞']
C0035553	['核糖体']
C0035798	['杆状细胞外段']
C0036208	['肌细胞质膜']
C0036225	['肌节']
C0036226	['肌浆网']
C0036387	['细胞，施万']
C0036770	['塞托利细胞']
C0036867	['性染色质']
C0036869	['染色体，性别']
C0037844	['头（精子）']
C0037851	['尾（精子）']
C0037857	['线虫细胞']
C0037863	['精母细胞']
C0037866	['精原细胞']
C0037868	['雄性细胞']
C0037888	['球形细胞']
C0037890	['球状体']
C0038027	['繁殖孢子']
C0038250	['母细胞']
C0038528	['亚细胞组分']
C0038563	['亚软骨颗粒']
C0038856	['细胞抑制因子t']
C0039063	['突触膜']
C0039065	['突触小泡（细胞结构）']
C0039066	['突触复合体']
C0039067	['联会神经体']
C0039194	['手机，T']
C0039195	['CD3+CD8+淋巴细胞']
C0039198	['细胞，调节性T细胞']
C0039215	['cd4细胞']
C0039748	['卵巢间质细胞']
