C0000727	['急腹症']
C0000729	['腹部抽筋']
C0000737	['腹痛']
C0000848	['胫骨后脉缺失（发现）']
C0001416	['腺苷酸']
C0001726	['情感症状']
C0002758	['肛门或直肠疼痛']
C0002962	['心绞痛']
C0003078	['异食症（诊断）']
C0003129	['缺氧症']
C0003564	['失声']
C0003578	['无自主呼吸']
C0003580	['药物性呼吸暂停（发现）']
C0003862	['关节疼痛']
C0004059	['阿司匹林不耐受']
C0004093	['乏力症（诊断）']
C0004134	['共济失调（诊断）']
C0004317	['听觉性头痛（发现）']
C0004604	['背痛']
C0004941	['行为症状']
C0005409	['胆汁色素沉积']
C0005858	['血眼射击']
C0005874	['脸红']
C0005904	['体温变化']
C0006625	['恶病质（物理发现）']
C0007859	['脖子疼']
C0007939	['梅毒螺旋体引起下疳（疾病）']
C0007940	['孢子丝菌性下疳']
C0007942	['锥虫下疳（疾病）']
C0007943	['皮肤下疳结核']
C0008031	['胸痛（诊断）']
C0008033	['胸膜疼痛']
C0008035	['局限于胸壁的胸痛（症状）']
C0008039	['切恩·斯托克斯呼吸']
C0008983	['阴蒂']
C0009024	['阵挛（发现）']
C0009090	['杂乱']
C0009193	['球虫病']
C0009216	['可待因不耐受']
C0009806	['CN-便秘']
C0009812	['宪法调查结果']
C0010200	['咳嗽（发现）']
C0010201	['慢性咳嗽（发现）']
C0010263	['四肢抽筋']
C0010520	['皮肤的蓝色变色']
C0011364	['牙痛（发现）']
C0011991	['大便不畅']
C0011992	['婴儿腹泻']
C0012766	['皮肤感觉障碍']
C0012833	['头晕（发现）']
C0013196	['药物引起的皮肤色素异常（疾病）']
C0013395	['消化不良（诊断）']
C0013404	['呼吸异常']
C0013421	['不正常的肌肉抽搐或收缩']
C0013428	['排尿困难（发现）']
C0013456	['耳痛']
C0013911	['消瘦']
C0014034	['他们']
C0014724	['打嗝']
C0014811	['红霉素不耐受']
C0014887	['基本和其他特定形式的震颤']
C0015230	['爆发-喷发']
C0015411	['眼睛发现']
C0015468	['脸疼']
C0015644	['束状']
C0015672	['能量减少']
C0015967	['体温高于参考范围（发现）']
C0015970	['富奥']
C0016199	['腰痛（发现）']
C0016204	['腹风']
C0016205	['胀气、胀气和气痛（发现）']
C0016382	['脸红']
C0016512	['脚痛（发现）']
C0016708	['尿频和多尿']
C0017650	['喉咙肿痛感（发现）']
C0017672	['舌痛']
C0018520	['口臭（症状）']
C0018681	['头痛']
C0018834	['胃酸逆流']
C0018926	['血呕吐']
C0018933	['血吸虫']
C0018989	['身体单侧无力']
C0018991	['偏瘫']
C0019079	['血咳嗽']
C0019214	['肝脾肿大']
C0019559	['关节痛（髋关节）']
C0019825	['刺耳的声音']
C0020175	['不良反应；饥饿']
C0020429	['痛觉过敏（发现）']
C0020450	['怀孕期间呕吐过多']
C0020453	['皮肤感觉过敏']
C0020530	['嗜睡伴睡眠呼吸暂停（障碍）']
C0021177	['性欲改变（性欲）：增加']
C0021712	['意向性肌阵挛（发现）']
C0022281	['眼痒']
C0022346	['黄疸']
C0022976	['动物步态障碍']
C0023218	['抽筋腿']
C0023222	['后肢疼痛']
C0023380	['表现出行为迟钝']
C0023533	['阴道白色分泌物']
C0024031	['腰痛']
C0024528	['（非特异性）不适和疲劳']
C0024902	['乳房疼痛']
C0025287	['杜普雷综合征']
C0025587	['跖骨痛（诊断）']
C0026210	['镜像书写']
C0026821	['抽筋（寻找）']
C0026825	['肌肉松弛']
C0026837	['肌肉僵硬（发现）']
C0026838	['不自主的肌肉僵硬、收缩或痉挛']
C0026961	['瞳孔功能异常瞳孔散大']
C0027066	['不自主肌肉抽搐']
C0027424	['鼻塞']
C0027427	['鼻痛']
C0027497	['感到恶心']
C0027498	['N&V-恶心和呕吐']
C0027769	['感到不安']
C0027796	['神经痛（诊断）']
C0028081	['盗汗']
C0028084	['可怕的梦']
C0028643	['麻木']
C0028838	['眼部头痛']
C0028962	['无尿和少尿']
C0029089	['眼外肌麻痹']
C0029166	['口腔表现']
C0029537	['其他胸痛']
C0029625	['其他一般症状']
C0029637	['其他嗜睡']
C0029645	['其他失眠']
C0029669	['与四肢有关的其他肌肉骨骼症状']
C0029844	['其他指定的视觉障碍']
C0029854	['其他涉及心血管系统的症状']
C0029855	['其他涉及头部和颈部的症状']
