C0000742	['阿贝尔森白血病病毒']
C0001417	['腺相关病毒组']
C0001483	['腺病毒']
C0001489	['禽腺病毒']
C0001490	['人腺病毒']
C0001491	['猴腺病毒']
C0001749	['非洲马病组织']
C0001753	['非洲猪瘟病毒（生物）']
C0001892	['AKR小鼠白血病病毒']
C0002017	['阿留申病病毒']
C0002331	['阿尔法病毒']
C0002405	['阿玛帕尔马伦那病毒']
C0003060	['动物病毒（有机体）']
C0003530	['Apeu病毒（生物体）']
C0003725	['虫媒病毒（导航概念）']
C0003755	['沙蚕科']
C0004120	['星状病毒']
C0004418	['禽脑脊髓炎病毒（有机体）']
C0004419	['禽传染性支气管炎病毒（有机体）']
C0004420	['禽传染性喉气管炎病毒']
C0004422	['阿尔夫']
C0004423	['α逆转录病毒']
C0004425	['禽网状内皮增生症病毒']
C0004429	['ASV']
C0004651	['细菌病毒（有机体）']
C0005670	['BK多瘤病毒（有机体）']
C0005867	['蓝舌病毒']
C0006024	['博尔纳病病毒（有机体）']
C0006063	['牛腹泻病毒']
C0006069	['BLV']
C0006072	['牛乳头瘤病毒（有机体）']
C0006074	['阿勒顿病毒']
C0006322	['布鲁希尔德病毒']
C0006394	['布尼亚姆韦拉病毒（生物体）']
C0006395	['布尼亚病毒科']
C0006562	['C型肿瘤病毒']
C0006752	['杯状病毒科']
C0006755	['加利福尼亚布尼亚病毒血清群']
C0006861	['犬α疱疹病毒1']
C0007456	['卡图病毒（有机体）']
C0007949	['Changuinola病毒（有机体）']
C0008028	['切努达复合体']
C0008047	['禽肉瘤病毒B77']
C0008056	['基孔肯亚病毒（生物体）']
C0008112	['黑猩猩科里扎特工']
C0008113	['黑猩猩逆转录病毒']
C0008147	['巴泰病毒（生物体）']
C0009311	['大肠杆菌噬菌体']
C0009401	['科罗拉多蜱虫热病毒（生物体）']
C0009419	['哥伦比亚SK病毒']
C0009743	['CCHF-克里米亚-刚果出血热病毒']
C0010076	['冠状病毒科']
C0010233	['牛痘病毒']
C0010242	['A9病毒，柯萨奇病毒']
C0010243	['柯萨奇B病毒']
C0010247	['柯萨奇病毒']
C0010825	['巨细胞病毒']
C0011139	['缺陷杂种']
C0011220	['三角洲特工']
C0011313	['DEN-1']
C0011315	['碎骨热病毒']
C0012755	['犬瘟热病毒（有机体）']
C0012917	['DNA肿瘤病毒']
C0012923	['脱氧核糖核酸病毒（有机体）']
C0013480	['埃博拉病毒']
C0013531	['伯吉斯病毒']
C0013532	['回声病毒9']
C0013534	['回声病毒']
C0013590	['鼠痘病毒']
C0014045	['中欧脑炎病毒']
C0014046	['东部马脑炎病毒（有机体）']
C0014047	['日本脑炎病毒']
C0014048	['脑炎病毒，圣路易斯']
C0014049	['委内瑞拉马脑炎病毒']
C0014050	['西部马脑炎病毒']
C0014051	['脑炎病毒']
C0014052	['蜱传脑炎病毒']
C0014080	['EMC病毒']
C0014338	['蓝梳病病毒']
C0014383	['肠道病毒']
C0014384	['猪肠道病毒']
C0014644	['伯基特疱疹病毒']
C0014656	['性交疹病毒']
C0014662	['EIA病毒']
C0014665	['EHV-1']
C0014666	['马鼻病毒']
C0014667	['马鼻炎病毒（有机体）']
C0014668	['马鼻炎B病毒（有机体）']
C0014760	['禽成红细胞增多症病毒']
C0015763	['猫杯状病毒']
C0015764	['猫纤维肉瘤病毒']
C0015766	['猫细小病毒（有机体）']
C0015767	['猫白血病病毒']
C0016215	['虫媒病毒B组病毒']
C0016515	['口疮病毒']
C0016630	['禽痘病毒A1分支']
C0016720	['友人白血病病毒']
C0017161	['冠状病毒777']
C0018125	['涂鸦病毒']
C0018252	['GLV']
C0018311	['瓜马病毒（生物体）']
C0018611	['哈维鼠肉瘤病毒（有机体）']
C0018895	['辅助病毒']
C0019089	['阿根廷出血热病毒']
C0019090	['玻利维亚出血热病毒']
C0019092	['汉坦病毒属（有机体）']
C0019094	['美国出血热病毒']
C0019132	['肝炎病毒科（有机体）']
C0019160	['肝病毒属（生物）']
C0019169	['B病毒，肝炎']
C0019171	['DHBV']
C0019180	['鸭肝炎病毒']
C0019183	['犬腺病毒']
C0019184	['肝炎病毒']
C0019185	['小鼠胃肠炎病毒']
C0019186	['肝炎病毒']
C0019351	['单纯疱疹ii']
C0019369	['疱疹病毒科（有机体）']
C0019376	['疱疹病毒2型（γ），塞米林']
C0019378	['甲型疱疹病毒1，猕猴桃']
C0019381	['6人类疱疹病毒']
C0019682	['获得性免疫缺陷综合征病毒']
C0019704	['艾滋病病毒']
C0019707	['HIV 2']
C0019842	['霍乱病毒']
C0020094	['成人T细胞白血病淋巴瘤病毒I']
C0020099	['HTLV 2']
C0020121	['人类肠道病毒（有机体）']
C0021333	['马动脉炎病毒']
C0021335	['BHV-1']
C0021338	['禽传染性法氏囊病病毒']
C0021344	['人乳头瘤病毒']
C0021574	['昆虫病毒（有机体）']
C0022075	['细胞质脱氧核糖病毒，二十面体']
C0022338	['詹姆斯敦峡谷病毒（生物体）']
C0022369	['人类多瘤病毒（JC型）']
