C0003074	[0, 4, 5, 10, 11, 12, 6, 7]
C0005516	[0, 2, 3, 7, 8, 12, 20, 24, 25, 26, 27, 1, 5, 6, 10, 11, 18, 19, 21, 22, 23, 29, 30, 31, 32]
C0005798	[0, 3, 4, 8, 9, 11, 12, 2, 5]
C0005850	[0, 4, 5, 13, 19, 20, 7, 11, 12, 14]
C0005938	[1, 6, 7, 16, 18, 22, 23, 0, 5, 9, 10, 12, 14, 15, 19, 21]
C0007165	[0, 6, 7, 17, 22, 23, 12, 15, 16]
C0007809	[0, 4, 5, 10, 16, 17, 20, 21, 9, 14]
C0010419	[1, 0]
C0011384	[0, 1, 2]
C0012000	[0, 3, 4, 10, 5, 12]
C0012655	[0, 3, 8, 10, 11, 19, 24, 1, 4, 5, 13, 14, 16, 17, 18, 21, 23]
C0018810	[0, 4, 12, 13, 26, 30, 31, 2, 15, 25, 27, 28]
C0024964	[0, 1, 2, 3, 4, 6, 7, 10]
C0024966	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 14, 15]
C0025515	[0, 2, 3, 4, 8, 9, 10, 1]
C0026687	[0, 1, 4, 5, 11, 12, 14, 15, 16, 2, 3, 7, 8, 13]
C0029387	[0, 1, 2, 4, 6, 11, 14, 15, 16]
C0030055	[0, 3, 4, 8, 9, 13, 7, 11, 12]
C0032127	[0, 1, 2, 5, 9, 11, 12, 13, 14, 15, 4, 8, 10]
C0032930	[0, 1, 3, 9, 10, 6, 7, 8, 11, 13, 14, 15]
C0034094	[0, 11, 12, 19, 26, 27, 29, 31, 32, 4, 7, 8, 10, 20, 23, 28]
C0034944	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 17, 21, 15, 16, 23, 24]
C0035190	[0, 6, 7, 12, 17, 21, 8, 11, 14, 15, 16]
C0035234	[8, 11, 15, 17, 21, 24, 25, 29, 30, 31, 32, 33, 0, 6, 9, 13, 16, 18, 22, 27]
C0036785	[0, 2, 3, 4, 5, 6]
C0038050	[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 13, 14, 15, 16]
C0038455	[6, 13, 16, 17, 0, 7, 11, 12]
C0040210	[0, 11, 12, 19, 25, 26, 2, 16, 17, 18, 20, 23, 24, 28, 29, 30]
C0042812	[0, 2, 4, 11, 12, 13, 16, 17]
C0042834	[0, 1, 6, 11, 12, 4, 5, 14]
C0080078	[0, 1, 4, 14, 22, 23, 3, 5, 6, 9, 10, 19, 20, 21]
C0085854	[0, 2, 3, 4, 5, 6, 1]
C0086589	[0, 1, 2, 3, 7, 5, 6, 8]
C0086879	[1, 2, 0]
C0162521	[0, 9, 10, 14, 12]
C0178519	[0]
C0184544	[0, 3, 4]
C0195700	[0]
C0195702	[0]
C0200661	[0, 2]
C0205625	[0, 2]
C0221743	[0, 4, 5, 7]
C0230036	[0, 1]
C0231338	[0]
C0231626	[0, 1]
C0231729	[0, 2, 5]
C0231741	[0, 1]
C0231829	[0]
C0231832	[0, 10, 11, 13, 14, 19, 27, 34, 35, 44, 3, 4, 5, 6, 7, 8, 15, 16, 24, 26, 29, 30, 42, 43, 45, 46, 49]
C0231958	[0]
C0231959	[3, 0, 1]
C0231960	[0]
C0231961	[0, 3, 1, 5]
C0231966	[0, 4]
C0231969	[0, 4]
C0231971	[0, 6, 1]
C0231976	[0]
C0231977	[0]
C0231979	[0]
C0231985	[0, 3]
C0231991	[0]
C0231992	[0]
C0231994	[0]
C0231995	[0]
C0231996	[0]
C0231998	[0]
C0232015	[0]
C0232016	[0]
C0232024	[0, 1]
C0232117	[0, 2, 3, 7, 8, 17, 22, 10, 15, 16, 18, 19, 20, 21]
C0232175	[0]
C0232337	[0, 1]
C0232420	[0]
C0232680	[0]
C0232856	[0, 7, 3, 5, 6, 8, 9]
C0233130	[0]
C0233131	[0]
C0234171	[0, 6]
C0234172	[0, 4]
C0234688	[0]
C0234690	[0]
C0234691	[0]
C0234692	[0]
C0234723	[0]
C0234724	[0]
C0234742	[0, 2, 1, 3, 4, 5]
C0241596	[0]
C0262499	[0, 13, 15, 19, 20]
C0277853	[0]
C0278941	[0, 2, 1]
C0282541	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]
C0311416	[0]
C0311421	[0, 2]
C0344335	[0, 2, 3, 4, 5, 6]
C0344390	[0]
C0362090	[0]
C0362092	[0]
C0362093	[0]
C0362094	[0]
C0362095	[0]
C0362097	[0]
C0362098	[0]
C0362099	[0]
C0362101	[0]
C0362102	[0]
C0362103	[0]
C0362105	[0]
C0362106	[0]
C0362107	[0]
C0362109	[0]
C0362110	[0]
C0362111	[0]
C0362113	[0]
C0362114	[0]
C0362115	[0]
C0362117	[0]
C0362118	[0]
C0362119	[0]
C0362121	[0]
C0362122	[0]
C0362123	[0]
C0362125	[0]
C0362126	[0]
C0362127	[0]
C0362129	[0]
C0362130	[0]
C0362131	[0]
C0362133	[0]
C0362134	[0]
C0362135	[0]
C0362137	[0]
