C0000793	[0, 1]
C0000805	[0, 1, 2, 4, 5]
C0000806	[0, 1, 2, 3]
C0000812	[0, 1, 2, 3, 4]
C0000815	[0, 1, 2, 3]
C0000816	[0, 1, 2, 4, 5]
C0000820	[0, 1, 5, 8, 14, 20, 17]
C0000918	[0, 3, 8, 12, 13, 4, 5]
C0001100	[0, 1, 3]
C0001164	[0, 1, 4, 5, 2, 3]
C0001300	[0, 4, 1]
C0001301	[0, 1, 11, 2]
C0001425	[0, 2, 10, 11, 20, 21]
C0001557	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
C0001558	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]
C0001560	[0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 16, 17, 20, 22, 12, 21]
C0001561	[0, 2, 3, 4, 5, 6, 7, 10, 11]
C0001562	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
C0001563	[0, 3, 4, 5, 6, 7, 8, 11, 14, 15, 16, 2, 13]
C0001566	[0, 1, 2, 3, 4, 5, 8, 9, 11, 12, 10]
C0001632	[0, 4, 13, 5, 21, 24]
C0001701	[0, 2, 10, 15, 16, 3, 7, 8, 11, 12, 14]
C0002010	[0]
C0002387	[0, 1, 4, 5, 6, 7]
C0002388	[0, 5]
C0002393	[0, 4]
C0002428	[0, 1, 4, 8, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 2, 5, 7, 13]
C0002621	[0]
C0002688	[0, 7, 8, 22, 4, 16, 20, 23]
C0002689	[0, 10, 11]
C0002691	[0, 19, 6, 10, 41]
C0002692	[0, 11, 22, 24]
C0002766	[0, 12, 13, 28, 29, 39, 6, 8, 9, 10, 14, 15, 16, 18, 35, 37, 38, 40, 41, 42, 44, 46, 49, 52, 53]
C0002769	[0, 2, 3, 4, 7, 8]
C0002804	[0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 15, 17, 18, 23, 24, 25, 26, 19, 21, 27, 29]
C0002903	[0, 20, 25, 2, 8, 9, 18, 21, 33]
C0002905	[0, 3, 4]
C0002909	[0, 2, 3, 5, 8, 10, 7]
C0002910	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
C0002911	[0, 2, 3, 4, 22, 11, 12, 19, 26, 27, 28]
C0002912	[0, 6, 8, 9, 4, 5, 10]
C0002913	[0, 1, 2, 3, 4, 5, 12, 15, 19, 26, 27, 35, 39, 8, 9, 10, 17, 18, 23, 24, 25]
C0002915	[0, 4, 5, 25, 26, 34, 8, 12, 13, 14, 15, 21, 31, 32, 33, 35, 36]
C0002916	[0, 1, 3, 4]
C0002917	[0, 1, 3]
C0002919	[0, 1, 3, 4, 9, 13, 14, 16, 10]
C0002920	[0, 1, 2, 6, 11, 4, 8]
C0002921	[0, 6, 25, 28, 10, 13, 14, 19, 20, 33, 34, 35, 36, 40, 41]
C0002922	[0, 6, 7, 8, 11, 10, 12]
C0002924	[0, 1, 2, 3]
C0002928	[0, 1, 16, 17, 24, 7, 10, 11, 22, 23, 25, 31, 34]
C0002952	[0]
C0002996	[3, 4, 5, 6, 8, 13, 14, 15, 16, 0, 1, 10, 12]
C0002997	[0, 1, 2, 3, 4, 7, 8, 10, 12, 13, 15, 6]
C0002998	[0]
C0003281	[0, 1, 3, 4, 6, 7, 8]
C0003393	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]
C0003424	[0, 2]
C0003506	[0, 16, 5, 6, 7, 11]
C0003571	[0, 6, 11, 12, 3, 7, 16, 21]
C0003597	[0]
C0003611	[0, 9, 11, 1, 17, 20, 22, 28, 30]
C0003612	[0, 1]
C0003626	[0, 5]
C0003627	[0]
C0003827	[0, 7, 20, 21, 1, 13, 14, 15, 16, 17]
C0003856	[0, 2, 3]
C0003881	[0, 3, 10, 11, 2, 4, 19, 21, 25, 27]
C0003883	[0]
C0003893	[0, 4, 6, 1, 9, 15]
C0003915	[0]
C0003974	[0, 1]
C0004050	[0]
C0004080	[0, 2, 1, 4]
C0004283	[0, 1]
C0004361	[0, 6, 7, 13, 9]
C0004386	[1, 2, 3, 4, 5, 6, 0]
C0004406	[0]
C0004415	[0, 4, 11, 12, 14, 15, 16, 17]
C0004697	[0, 1, 2]
C0004704	[1, 0, 2, 4, 5, 6, 7]
C0004708	[0, 1, 3, 4, 7, 8, 9, 10, 5]
C0004710	[0, 1]
C0004764	[0, 2, 6, 8, 9, 5, 7]
C0004836	[0, 1, 2, 3, 4, 5, 8, 10, 6, 7, 9]
C0004910	[0, 3, 4, 11, 14, 17, 19, 20, 8, 9, 10, 15, 16]
C0004933	[0, 1, 10, 20, 23, 25, 34, 71, 72, 73, 74, 75, 76, 77, 19, 27, 32, 38, 39, 40, 42, 45, 51, 52, 54, 56, 58, 64, 70]
C0005365	[0, 3, 6]
C0005427	[0, 2, 3, 9, 10, 17, 18, 20, 21]
C0005435	[0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 14]
C0005491	[0, 13, 17, 26, 27, 28, 29, 30, 31, 33, 34, 35, 10, 11, 24, 25]
C0005527	[0, 2, 4, 8, 11, 17, 19, 26, 27, 29, 30, 1, 3, 9, 13, 15, 23, 24]
C0005698	[0, 1, 2, 3]
C0005746	[0, 13, 14]
C0005791	[1, 4, 10, 28, 32, 38, 41, 48, 0, 2, 8, 19, 24, 39, 46, 50, 51]
C0005794	[0, 3, 4, 7, 9, 10, 5, 6, 8]
C0005822	[0, 3, 4, 5]
C0005841	[0, 11, 13, 30, 49, 53, 2, 25, 27, 28, 31, 32, 40]
C0005842	[0, 2, 6, 11, 21, 23, 24, 27, 28, 4, 18, 20]
C0005843	[0, 1, 4, 7, 10, 13, 19, 23, 29, 30, 31, 33, 34, 35, 5, 12, 21, 22, 24]
C0005857	[0, 4, 5, 6, 12, 13]
C0005926	[1, 2, 0, 3]
C0005949	[0, 2, 6, 3]
C0005961	[0, 7, 29, 30, 42, 48, 3, 4, 5, 10, 23, 24, 25, 37, 38, 40, 43, 47]
C0005976	[0, 14, 21, 22, 28, 31, 7, 9, 10, 17, 18, 19, 24, 30]
C0006042	[5, 6, 13, 14, 0, 7]
C0006098	[0, 8, 9, 20, 22, 39, 14, 18, 28, 30, 31]
C0006155	[0, 3, 4, 11, 13, 20, 26, 1, 2, 5, 8, 9, 21, 22]
C0006158	[0, 3]
C0006259	[0, 2, 9, 10]
C0006289	[0]
C0006936	[0]
C0007168	[0, 1, 2, 3, 4, 5, 6]
C0007202	[0, 1, 2, 3, 4, 12, 13, 18, 23, 26, 28, 14, 17, 22]
C0007203	[0, 1, 10, 11, 27, 32, 33, 2, 3, 14, 19, 21, 30]
C0007344	[0, 2, 3, 10, 11, 12, 6, 17]
C0007347	[0, 14, 15, 18, 19, 24, 6, 11]
C0007389	[0, 4, 5, 10, 20, 21, 7, 8, 9, 11, 13]
