C0000786	['流产（自然流产）']
C0000810	['流产自发不完全NOS']
C0000817	['流产感染']
C0000821	['堕胎威胁']
C0000822	['输卵管流产']
C0000832	['胎盘脱落']
C0000887	['棘松解酶']
C0001075	['胃酸缺乏']
C0001122	['酸中毒']
C0001349	['急性期反应']
C0001364	['急性萎缩黄']
C0001511	['器官或身体部位的不正常附着']
C0002064	['呼吸性碱中毒']
C0002940	['动脉瘤（疾病）']
C0002994	['血管性水肿']
C0003090	['关节强直']
C0003130	['缺氧']
C0003132	['缺氧性脑损伤']
C0003860	['动脉炎症']
C0003960	['阿斯霍夫尸体']
C0004044	['窒息（诊断）']
C0004144	['小卫星']
C0004239	['心房扑动（诊断）']
C0004258	['原发性萎缩']
C0004331	['分离']
C0004366	['自身免疫反应']
C0004368	['自身免疫状态（发现）']
C0004751	['结肠钡肉芽肿（疾病）']
C0004766	['前庭大腺脓肿']
C0005136	['动脉瘤，贝瑞']
C0005417	['胆管；瘘管']
C0005959	['骨髓增生']
C0006110	['脑死亡']
C0006114	['脑水肿']
C0006119	['脑病理学']
C0006157	['观察到臀部呈现']
C0006663	['钙化']
C0007642	['蜂窝织炎（诊断）']
C0007784	['大脑半球出血']
C0007871	['分娩前宫颈异常扩张']
C0007994	['化学诱导']
C0008301	['窒息']
C0008519	['异常组织']
C0008522	['脉络膜出血']
C0008767	['愈合']
C0009566	['并发症（紊乱）']
C0009568	['器官移植并发症']
C0009760	['结膜出血']
C0009814	['获得性狭窄（形态异常）']
C0010037	['角膜水肿']
C0010392	['拜沃特斯']
C0010828	['细胞减少症（发现）']
C0011071	['死亡（突然）']
C0011103	['去脑姿势']
C0011164	['异常退化']
C0011174	['脱水结构（形态异常）']
C0011304	['轴突脱髓鞘']
C0011378	['牙漏']
C0011560	['淀粉样变性']
C0011604	['药物和\\/或内服药物引起的皮炎（疾病）']
C0012359	['异常扩张']
C0012684	['胚泡解体']
C0012765	['缺乏唾液腺分泌']
C0013182	['过敏性药物反应（诊断）']
C0013418	['异常分娩']
C0013419	['宫颈难产（诊断）']
C0013420	['子宫异常收缩']
C0013491	['瘀斑']
C0013604	['水肿']
C0013608	['心脏水肿（疾病）']
C0013609	['水肿；地方的']
