C0000789	['堕胎中心', '堕胎中心', '堕胎诊所', '堕胎诊所', '堕胎中心', '堕胎中心', '堕胎诊所', '诊所，堕胎']
C0000872	['医学学术中心', '学术医疗中心（环境）', '学术医疗中心', '学术医疗中心', '学术医疗中心', '学术医疗中心', '学术医疗中心', '学术医疗中心', '医学学术中心', '大学医学中心', '学术医学中心', '大学医学中心', '环境医院学术医疗中心', '环境：学术医疗中心（治疗）', '环境：学术医疗中心', '医院教学', '医学中心', '大学医学中心', '医学中心、学术机构', '大学医学中心', '教学医院', '教学医院', '大学医学中心', '大学医学中心', '大学医疗中心']
C0001572	['住院部', '录取部门', '部门，承认', '部门，承认']
C0001573	['医院入院处', '医院招生办公室', '住院部，医院', '住院部、医院', '住院部', '科室，住院', '住院办公室', '医院入院处', '住院部', '住院部', '办公室，住院', '办公室、住院']
C0002424	['AMB', '门诊护理设施', '门诊护理设施', '门诊护理设施', '门诊护理设施', '门诊护理设施', '门诊护理设施', '门诊护理设施', '非卧床护理场所（环境）', '门诊护理点', '门诊治疗中心', '流动的', '门诊', '诊所', '门诊', '门诊部', '诊所门诊病人', '诊所、门诊', '设施、门诊护理', '设施、门诊护理', '门诊护理设施', '门诊部', '门诊部', '门诊部', '门诊部', '门诊部', '门诊部']
C0002426	['非医院门诊护理设施', '非医院门诊护理设施', '非医院门诊护理设施', '独立诊所', '独立诊所', '独立诊所', '独立诊所（环境）', '独立诊所', '独立诊所', '独立诊所', '独立诊所', '独立健康中心', '独立健康中心']
C0002458	['美国心脏协会', '美国心脏协会', '美国心脏协会', '美国心脏协会', '美国心脏协会', '美国心脏协会', '美国心脏协会', '美国心脏协会', '美国心脏协会']
C0002907	['麻醉科', '麻醉科', '麻醉科', '麻醉科', '医院麻醉科', '麻醉科', '麻醉科，医院', '麻醉科（环境）', '麻醉科', '麻醉科', '医院麻醉科', '科室，麻醉', '科室，医院麻醉', '医院麻醉科', '医院麻醉科']
C0003193	['反堕胎团体', '反堕胎组织', '反堕胎团体', '反堕胎组织', '反堕胎组织']
C0003746	['地区健康教育中心', '地区健康教育中心']
C0005770	['血库', '银行，血液', 'BLDBK', '血库', '血库', '血库', '血库', '血库', '血库', '血库', '血库', '血库', '血库', '血库', '血库', '供应商；血库']
C0005864	['蓝十字', '蓝十字', '蓝色十字架', '十字架，蓝色', '十字架，蓝色']
C0005865	['蓝盾', '蓝盾', '蓝盾', '蓝盾', '盾牌，蓝色', '盾牌，蓝色']
C0006418	['烧伤中心（环境）', '烧伤中心', '烧伤中心', '烧伤中心', '烧伤中心', '烧伤中心', '烧伤中心', '烧伤中心', '烧伤中心', '燃烧中心', '伯恩斯中心', '中心，烧伤', '中心，烧伤', '环境医院烧伤中心', '环境：烧伤中心（治疗）', '环境：烧伤中心']
C0006425	['燃烧装置', '燃烧装置', '燃烧装置', '燃烧装置', '烧伤科（环境）', '烧伤科', '烧伤科', '单位烧伤', '单位，烧伤', '单位，燃烧']
C0006460	['商业联盟（医疗保健）', '商业联盟（医疗保健）', '商业联盟（医疗保健）', '商业联盟（医疗保健）', '商业联盟（医疗保健）', '商业联盟（医疗保健）', '联盟、企业（医疗保健）', '联盟、企业（医疗保健）']
C0006827	['癌症护理设施', '癌症护理机构', '设施、癌症护理', '设施，癌症护理']
C0006828	['癌症护理部', '癌症护理单位', '癌症护理部', '单元，癌症护理']
C0007151	['心脏护理设施', '心脏护理设施', '设施、心脏护理', '设施、心脏护理']
C0007670	['疾控中心', '疾控中心', '疾控中心', 'CDCP', '疾病预防控制中心', '疾病控制中心', '美国疾病控制中心', '疾病控制和预防中心（CDC）', '美国疾病控制和预防中心', '美国疾病控制和预防中心', '疾病控制和预防中心', '疾病控制和预防中心', '美国疾病控制和预防中心。', '疾病控制中心', '美国疾病控制中心。', '美国疾病控制和预防中心', '美国疾病控制中心']
C0007692	['中央供应，医院', '医院中央供应', '医院中央供应', '医院中央供应', '供应中心医院', '供应，医院中心']
C0007951	['牧师医院服务', '牧师医院服务', '牧师服务，医院', '牧师服务，医院', '医院牧师服务', '医院牧师服务', '医院服务、牧师', '医院服务、牧师', '牧师医院服务部', '服务、医院牧师', '服务，牧师医院', '服务、医院牧师']
C0008077	['儿童辅导诊所', '儿童辅导诊所', '儿童辅导诊所', '儿童辅导诊所', '诊所、儿童指导', '诊所、儿童指导', '指导诊所，孩子', '指导诊所，孩子']
C0008968	['临床药学服务', '临床药学服务', '临床药学服务', '临床药房服务', '药房服务、临床', '服务、临床药学', '服务、临床药学']
C0009434	['专业及医院活动委员会', '专业及医院活动委员会', '专业、医院活动委员会']
C0009469	['社区卫生中心', '社区卫生中心', '卫星中心', '社区卫生中心', '社区卫生中心', '卫星中心', '社区卫生中心', '社区卫生中心', '社区卫生中心', '社区卫生中心', '社区卫生中心', '社区卫生中心', '健康中心-社区', '健康中心、社区', '健康中心、社区', '卫星中心', '卫星中心']
C0009474	['CMHC', '社区精神健康中心', '社区精神卫生中心', '社区精神卫生中心', '社区精神卫生中心', '精神健康中心（社区）']
C0009478	['社区药房', '社区药房（环境）', '社区药房', '社区药房', '社区药房', '药店', '药店', '药店', '药房、社区', '药房、社区']
C0009589	['综合健康规划机构']
C0010066	['冠状动脉监护室', '冠心病监护室', '冠心病监护室', '冠状动脉护理部', '冠状动脉护理部', '冠状动脉护理部', '冠状动脉护理单元', '冠状动脉护理单元', '冠状动脉护理单位', '冠状动脉重症监护', '冠状动脉护理部', '冠状动脉治疗']
C0010089	['企业实践', '公司惯例', '实践，企业', '企业实践']
C0011212	['医院生育中心', '生育中心医院', '生育中心、医院', '医院分娩中心', '分娩中心、医院', '中心，医院分娩', '医院分娩中心', '中心，医院分娩', '中心，医院分娩', '产房', '产房', '产房', '产房', '产房', '交付套件（环境）', '送货套装', '医院分娩中心', '医院分娩中心', '医院分娩中心', '医院分娩中心', '房间，送货', '房间，送货']
C0011344	['流动医疗设施；牙科诊所\\/中心', '牙科诊所', '牙科诊所', '牙科诊所', '牙科诊所', '牙科诊所（环境）', '牙科诊所', '牙科诊所', '牙科诊所', '牙科诊所', '牙科诊所', '牙科诊所', '牙科诊所']
C0011357	['保健设施牙科保健', '牙科设施', '牙科设施', '牙科设施', '牙科保健设施', '牙科设施', '牙科设施']
C0011419	['牙科服务，医院', '牙科服务，医院', '医院牙科服务', '医院牙科服务', '医院牙科服务', '医院牙科服务', '医院牙科服务']
C0013185	['制药工业', '制药工业', '制药工业', '制药工业', '制药工业', '工业、药品', '制药工业', '工业、制药', '制药工业', '工业制药', '工业、药品', '制药工业', '工业、制药', '制药工业', '制药工业', '制药工业', '制药工业', '制药工业', '制药工业', '制药工业', '制药工业']
C0013623	['医院教育部', '科室、医院教育', '医院教育部', '教育部门、医院', '医院教育部', '医院教育部门']
C0013966	['急诊室', '急诊室', '急诊室', '门诊部，急诊部', '急诊室', '急诊室']
C0013970	['急救中心', '急救中心']
C0015394	['银行，眼睛', '班克斯，眼睛', '眼库', '眼库', '眼库', '眼库', '眼库', '眼库', '眼库', '供应商；眼库']
C0015589	['计划生育中心', '计划生育中心', '计划生育中心', '计划生育中心']
C0016457	['联合国粮食及农业组织', '联合国粮食及农业组织']
C0018257	['团体之家', '团体之家', '团体之家', '团体之家', '集体之家', '集体之家', '集体之家', '集体之家', '家庭、团体', '家庭、团体']
C0018262	['集体练习', '集体练习', '集体练习', '团体实践', '团体实践', '练习，小组', '实践，小组']
