type	count
Journal Article	32854791
Research Support, Non-U.S. Gov't	8334200
Review	3073021
Case Reports	2278840
Comparative Study	1922707
Research Support, U.S. Gov't, P.H.S.	1490357
English Abstract	1479451
Research Support, N.I.H., Extramural	1404898
Letter	1219531
Comment	980745
Research Support, U.S. Gov't, Non-P.H.S.	913614
Editorial	629761
Randomized Controlled Trial	569636
Clinical Trial	536985
Historical Article	369184
Multicenter Study	325465
Evaluation Study	263452
News	215948
Systematic Review	195955
Biography	181618
Meta-Analysis	160800
Observational Study	126309
Published Erratum	119190
Validation Study	110232
Controlled Clinical Trial	95042
Congress	67379
Research Support, N.I.H., Intramural	66784
Introductory Journal Article	58099
Portrait	49386
Clinical Trial, Phase II	38265
Video-Audio Media	36229
Interview	30417
Practice Guideline	30231
Overall	27792
Clinical Trial, Phase I	23926
Clinical Trial, Phase III	20750
Newspaper Article	18296
Guideline	16658
Bibliography	16005
Consensus Development Conference	12568
Retraction of Publication	11321
Legal Case	11070
Retracted Publication	10736
Twin Study	9630
Clinical Trial Protocol	8050
Clinical Conference	7606
Lecture	6943
Classical Article	6701
Directory	6648
Personal Narrative	6216
Patient Education Handout	5543
Address	5375
Preprint	4834
Clinical Study	4484
Autobiography	3974
Technical Report	3229
Randomized Controlled Trial, Veterinary	2863
Clinical Trial, Phase IV	2341
Pragmatic Clinical Trial	2220
Research Support, American Recovery and Reinvestment Act	2185
Clinical Trial, Veterinary	1803
Festschrift	1698
Legislation	1675
Corrected and Republished Article	1637
Dataset	1430
Expression of Concern	1224
Webcast	1109
Equivalence Trial	1053
Duplicate Publication	911
Consensus Development Conference, NIH	817
Dictionary	545
Observational Study, Veterinary	368
Periodical Index	331
Interactive Tutorial	280
Scientific Integrity Review	271
Government Publication	175
Adaptive Clinical Trial	37
Evaluation Studies	26
Validation Studies	2
