C0000727	abdomen acute###SY###CHV [SEP] Abdomen, Acute###MH###MSH [SEP] Abdomen, Acute###PN###MTH [SEP] abdomen; acute abdomen###PT###ICPC2ICD10ENG [SEP] abdomen; acute###PT###ICPC2ICD10ENG [SEP] abdomen; pain, general, acute abdomen###PT###ICPC2ICD10ENG [SEP] Abdomens, Acute###PM###MSH [SEP] Abdominal syndrome acute###LLT###MDR [SEP] abdominal; syndrome, acute###PT###ICPC2ICD10ENG [SEP] acute abdomen (diagnosis)###FN###MEDCIN [SEP] Acute abdomen (disorder)###FN###SNOMEDCT_US [SEP] Acute abdomen###LLT###MDR [SEP] Acute Abdomen###PM###MSH [SEP] acute abdomen###PT###CHV [SEP] Acute abdomen###PT###HPO [SEP] Acute abdomen###PT###ICD10 [SEP] Acute abdomen###PT###ICD10AM [SEP] Acute abdomen###PT###ICD10CM [SEP] acute abdomen###PT###ICPC2ICD10ENG [SEP] Acute abdomen###PT###LCH_NW [SEP] Acute abdomen###PT###MDR [SEP] acute abdomen###PT###MEDCIN [SEP] Acute abdomen###PT###SNOMEDCT_US [SEP] Acute Abdomens###PM###MSH [SEP] Acute abdominal pain syndrome###SY###SNOMEDCT_US [SEP] Acute abdominal pain###SY###HPO [SEP] acute abdominal syndrome###SY###CHV [SEP] acute; abdomen###PT###ICPC2ICD10ENG [SEP] acute; abdominal syndrome###PT###ICPC2ICD10ENG [SEP] pain; abdomen, general, acute abdomen###PT###ICPC2ICD10ENG [SEP] surgical abdomen###SY###CHV [SEP] Surgical abdomen###SY###SNOMEDCT_US [SEP] Syndrome abdominal acute###LLT###MDR [SEP] syndrome; abdominal, acute###PT###ICPC2ICD10ENG [SEP] syndrome; acute abdominal###PT###ICPC2ICD10ENG	A2.2.2	Sign or Symptom	A clinical syndrome with acute abdominal pain that is severe, localized, and rapid in onset. Acute abdomen may be caused by a variety of disorders, injuries, or diseases. [SEP] A sudden onset of abdominal pain with associated nausea or vomiting. The acute abdomen may be caused by an infection, inflammation, vascular occlusion, or obstruction. [PMID:29083722]
C0000729	abdomen; cramp(s)###PT###ICPC2ICD10ENG [SEP] Abdominal cramp###LLT###MDR [SEP] Abdominal Cramp###PM###MSH [SEP] Abdominal Cramp###PT###NCI [SEP] abdominal cramp###SY###CHV [SEP] Abdominal cramping###ID###NOC [SEP] Abdominal cramping###RT###NANDA-I [SEP] abdominal cramping###SY###CHV [SEP] Abdominal cramps###ET###MTHICD9 [SEP] Abdominal cramps###ID###NOC [SEP] Abdominal cramps###LLT###MDR [SEP] Abdominal Cramps###PEP###MSH [SEP] Abdominal Cramps###PN###MTH [SEP] abdominal cramps###PT###CHV [SEP] Abdominal cramps###PT###HPO [SEP] Abdominal Cramps###PT###NCI_FDA [SEP] abdominal cramps###PTN###ICPC2P [SEP] Abdominal crampy pains###LLT###MDR [SEP] Cramp abdominal###LLT###MDR [SEP] cramp(s); abdomen###PT###ICPC2ICD10ENG [SEP] Cramp(s);abdominal###PT###ICPC2P [SEP] Cramp, Abdominal###PM###MSH [SEP] cramps abdominal###SY###CHV [SEP] Cramps, Abdominal###PM###MSH [SEP] crampy abdominal pain###SY###CHV [SEP] Griping abdomen###LLT###MDR [SEP] Griping abdominal###LLT###MDR	A2.2.2	Sign or Symptom	A type of abdominal pain characterized by a feeling of contractions and typically fluctuating in intensity. [] [SEP] An involuntary muscular contraction involving a muscle of the abdomen or of a hollow organ within the abdomen.
C0000737	abdomen pain###SY###CHV [SEP] Abdominal pain (finding)###FN###SNOMEDCT_US [SEP] abdominal pain (symptom)###FN###MEDCIN [SEP] Abdominal pain NOS###LLT###MDR [SEP] Abdominal pain###CN###LNC [SEP] Abdominal pain###HT###ICD9CM [SEP] Abdominal pain###ID###NOC [SEP] Abdominal pain###LA###LNC [SEP] Abdominal pain###LLT###MDR [SEP] Abdominal pain###LPDN###LNC [SEP] Abdominal pain###LPN###LNC [SEP] Abdominal pain###MD###CCS [SEP] Abdominal Pain###MH###MSH [SEP] Abdominal Pain###PN###MTH [SEP] abdominal pain###PT###CHV [SEP] Abdominal pain###PT###HPO [SEP] Abdominal Pain###PT###ICNP [SEP] Abdominal pain###PT###LCH_NW [SEP] Abdominal pain###PT###MDR [SEP] abdominal pain###PT###MEDCIN [SEP] Abdominal Pain###PT###MEDLINEPLUS [SEP] Abdominal Pain###PT###MTH [SEP] Abdominal Pain###PT###NCI [SEP] Abdominal pain###PT###NCI_ACC-AHA [SEP] Abdominal pain###PT###NCI_CTCAE [SEP] Abdominal Pain###PT###NCI_FDA [SEP] Abdominal Pain###PT###NCI_NICHD [SEP] Abdominal pain###PT###SNOMEDCT_US [SEP] Abdominal pain###PTCS###OMIM [SEP] abdominal pain###PTN###ICPC2P [SEP] Abdominal pain###RT###NANDA-I [SEP] Abdominal pain###SD###CCS [SEP] Abdominal pain###SY###HPO [SEP] Abdominal Pain###SY###NCI_caDSR [SEP] Abdominal pain, unspecified site###PT###ICD9CM [SEP] Abdominal Pains###PM###MSH [SEP] abdominal pains###SY###CHV [SEP] abdominal; pain###PT###ICPC2ICD10ENG [SEP] abdominalgia###PT###ICPC2ICD10ENG [SEP] AP - Abdominal pain###SY###SNOMEDCT_US [SEP] Bellyache###ET###MEDLINEPLUS [SEP] Bellyache###SY###MEDLINEPLUS [SEP] Gut pain###LLT###MDR [SEP] gut pain###SY###CHV [SEP] Pain abdominal###LLT###MDR [SEP] Pain in stomach###SY###HPO [SEP] Pain, Abdominal###ET###MEDLINEPLUS [SEP] Pain, Abdominal###PM###MSH [SEP] pain; abdominal###PT###ICPC2ICD10ENG [SEP] Pain;abdominal###PT###ICPC2P [SEP] Pains, Abdominal###PM###MSH [SEP] Stomach pain###SY###HPO [SEP] Unspecified abdominal pain###PT###ICD10CM	A2.2.2	Sign or Symptom	<p>Your abdomen extends from below your chest to your groin. Some people call it the stomach, but your abdomen contains many other important organs. Pain in the abdomen can come from any one of them. The pain may start somewhere else, such as your chest. Severe pain doesn't always mean a serious problem. Nor does mild pain mean a problem is not serious. </p> <p>Call your health care provider if mild pain lasts a week or more or if you have pain with other symptoms. Get medical help immediately if</p> <ul> <li> You have abdominal pain that is sudden and sharp</li> <li>You also have pain in your chest, neck or shoulder </li> <li> You're vomiting blood or have blood in your stool </li> <li> Your abdomen is stiff, hard and tender to touch </li> <li>You can't move your bowels, especially if you're also vomiting </li> </ul> [SEP] An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) and perceived to originate in the abdomen. [HPO:probinson] [SEP] Painful sensation in the abdominal region. [SEP] Sensation of discomfort, distress, or agony in the abdominal region.
C0000848	Posterior tibial pulse absent (finding)###FN###SNOMEDCT_US [SEP] Posterior tibial pulse absent###PT###SNOMEDCT_US	A2.2.2	Sign or Symptom	\N
C0001416	Adenitides###PM###MSH [SEP] Adenitis###LLT###MDR [SEP] Adenitis###PEP###MSH [SEP] Adenitis###PN###MTH [SEP] adenitis###PT###CHV [SEP] adenitis###PT###ICPC2ICD10ENG [SEP] Adenitis###PT###ICPC2P [SEP] Adenitis###PTCS###OMIM [SEP] adenitis###PTN###ICPC2P	A2.2.2	Sign or Symptom	\N
C0001726	Affective Symptom###PM###MSH [SEP] Affective Symptoms###MH###MSH [SEP] Symptom, Affective###PM###MSH [SEP] Symptoms, Affective###PM###MSH	A2.2.2	Sign or Symptom	Mood or emotional responses dissonant with or inappropriate to the behavior and/or stimulus.
C0002758	Anal or rectal pain###PT###ICD9CM	A2.2.2	Sign or Symptom	\N
C0002962	Angina (disorder)###FN###SNOMEDCT_US [SEP] Angina NOS###ET###ICD10CM [SEP] Angina of effort###ET###ICD10CM [SEP] angina pain###PTN###ICPC2P [SEP] angina pain###SY###CHV [SEP] angina pectoris (diagnosis)###FN###MEDCIN [SEP] Angina pectoris###HT###ICD10 [SEP] Angina pectoris###HT###ICD10AM [SEP] Angina pectoris###HT###ICD10CM [SEP] Angina pectoris###HT###ICD9CM [SEP] Angina pectoris###LA###LNC [SEP] Angina pectoris###LLT###MDR [SEP] Angina pectoris###MD###CCS [SEP] Angina Pectoris###MH###MSH [SEP] Angina Pectoris###PN###MTH [SEP] angina pectoris###PT###CSP [SEP] Angina pectoris###PT###HPO [SEP] angina pectoris###PT###ICPC2ICD10ENG [SEP] Angina pectoris###PT###ICPC2P [SEP] Angina pectoris###PT###LCH_NW [SEP] Angina pectoris###PT###MDR [SEP] angina pectoris###PT###MEDCIN [SEP] Angina Pectoris###PT###MTH [SEP] Angina pectoris###PT###NCI_ACC-AHA [SEP] Angina Pectoris###PT###PSY [SEP] Angina pectoris###PT###SNOMEDCT_US [SEP] Angina pectoris###PTCS###OMIM [SEP] angina pectoris###PTN###ICPC2P [SEP] angina pectoris###SY###CHV [SEP] Angina pectoris###SY###NCI [SEP] Angina pectoris, unspecified###PT###ICD10 [SEP] Angina pectoris, unspecified###PT###ICD10AM [SEP] Angina pectoris, unspecified###PT###ICD10CM [SEP] Angina syndrome###LLT###MDR [SEP] Angina###ID###NOC [SEP] angina###PT###CHV [SEP] Angina###PT###MEDLINEPLUS [SEP] Angina###PT###NCI [SEP] Angina###PT###NCI_FDA [SEP] Angina###PT###NCI_NICHD [SEP] Angina###PTCS###OMIM [SEP] Angina###SY###SNOMEDCT_US [SEP] Angina, cardiac###ET###MTHICD9 [SEP] Angina, NOS###ET###MTHICD9 [SEP] Anginal discomfort###LLT###MDR [SEP] Anginal pain###LLT###MDR [SEP] anginal pain###SI###OMS [SEP] anginal pain###SY###CHV [SEP] Anginal syndrome###ET###ICD10CM [SEP] Anginal syndrome###ET###MTHICD9 [SEP] Anginal syndrome###LLT###MDR [SEP] anginal syndrome###SY###CHV [SEP] Anginal syndrome###SY###SNOMEDCT_US [SEP] anginal; syndrome###PT###ICPC2ICD10ENG [SEP] anginas###SY###CHV [SEP] Angor Pectoris###ET###MSH [SEP] angor pectoris###SY###CHV [SEP] AP - Angina pectoris###SY###SNOMEDCT_US [SEP] Cardiac angina###ET###ICD10CM [SEP] cardiac angina###SY###CHV [SEP] Cardiac angina###SY###SNOMEDCT_US [SEP] Chest pain - cardiac###PT###NCI_CTCAE [SEP] chest pain ischemic###SY###MEDCIN [SEP] chest; pain, ischemic###PT###ICPC2ICD10ENG [SEP] Ischaemic chest pain###LLT###MDR [SEP] Ischaemic chest pain###PTGB###SNOMEDCT_US [SEP] Ischaemic heart disease - angina###SYGB###SNOMEDCT_US [SEP] Ischaemic heart disease with angina###PT###ICPC2EENG [SEP] Ischemic chest pain (diagnosis)###FN###MEDCIN [SEP] Ischemic chest pain (finding)###FN###SNOMEDCT_US [SEP] Ischemic chest pain###ET###ICD10CM [SEP] Ischemic chest pain###LLT###MDR [SEP] Ischemic chest pain###PT###MEDCIN [SEP] Ischemic chest pain###PT###SNOMEDCT_US [SEP] ischemic chest pain###SY###CHV [SEP] Ischemic heart disease - angina###SY###SNOMEDCT_US [SEP] Ischemic heart disease with angina###PT###MTHICPC2EAE [SEP] pain angina###SY###CHV [SEP] pain; chest, ischemic###PT###ICPC2ICD10ENG [SEP] Pain;angina###PT###ICPC2P [SEP] pectoris angina###SY###CHV [SEP] stenocardia###ET###CSP [SEP] Stenocardia###ET###ICD10CM [SEP] Stenocardia###ET###MSH [SEP] Stenocardia###ET###MTHICD9 [SEP] Stenocardia###LLT###MDR [SEP] stenocardia###PT###ICPC2ICD10ENG [SEP] stenocardia###SY###CHV [SEP] Stenocardia###SY###SNOMEDCT_US [SEP] Stenocardias###PM###MSH [SEP] syndrome; anginal###PT###ICPC2ICD10ENG	A2.2.2	Sign or Symptom	<p>Angina is <a href="https://medlineplus.gov/chestpain.html">chest pain</a> or discomfort you feel when there is not enough blood flow to your heart muscle. Your heart muscle needs the oxygen that the blood carries. Angina may feel like pressure or a squeezing pain in your chest. It may feel like indigestion. You may also feel pain in your shoulders, arms, neck, jaw, or back. </p> <p>Angina is a symptom of <a href="https://medlineplus.gov/coronaryarterydisease.html">coronary artery disease</a> (CAD), the most common <a href="https://medlineplus.gov/heartdiseases.html">heart disease</a>. CAD happens when a sticky substance called plaque builds up in the arteries that supply blood to the heart, reducing blood flow.</p> <p>There are three types of angina:</p> <ul> <li>Stable angina is the most common type. It happens when the heart is working harder than usual. Stable angina has a regular pattern. Rest and medicines usually help.</li> <li>Unstable angina is the most dangerous. It does not follow a pattern and can happen without physical exertion. It does not go away with rest or medicine. It is a sign that you could have a heart attack soon.</li> <li>Variant angina is rare. It happens when you are resting. Medicines can help.</li> </ul> <p>Not all chest pain or discomfort is angina. If you have chest pain, you should see your health care provider.</p> <p class="">NIH: National Heart, Lung, and Blood Institute</p> [SEP] chest pain caused by coronary heart disease [SEP] Paroxysmal chest pain that occurs with exertion or stress and is related to myocardial ischemia. [HPO:probinson] [SEP] Paroxysms of chest pain due to reduced oxygen to the heart. [SEP] recurring thoracic pain or discomfort which occurs when a part of the heart does not receive enough blood; usually caused by exertion or excitement. [SEP] The symptom of paroxysmal pain consequent to MYOCARDIAL ISCHEMIA usually of distinctive character, location and radiation. It is thought to be provoked by a transient stressful situation during which the oxygen requirements of the MYOCARDIUM exceed that supplied by the CORONARY CIRCULATION.
C0003078	aniseikonia (diagnosis)###FN###MEDCIN [SEP] Aniseikonia (disorder)###FN###SNOMEDCT_US [SEP] Aniseikonia###LLT###MDR [SEP] Aniseikonia###MH###MSH [SEP] aniseikonia###PT###CHV [SEP] Aniseikonia###PT###ICD10CM [SEP] Aniseikonia###PT###ICD9CM [SEP] aniseikonia###PT###ICPC2ICD10ENG [SEP] Aniseikonia###PT###MDR [SEP] aniseikonia###PT###MEDCIN [SEP] Aniseikonia###PT###SNOMEDCT_US	A2.2.2	Sign or Symptom	A condition in which the ocular image of an object as seen by one eye differs in size and shape from that seen by the other.
C0003129	anoxaemia###SY###CHV [SEP] Anoxaemia###SYGB###SNOMEDCT_US [SEP] Anoxemia###PEP###MSH [SEP] Anoxemia###PN###MTH [SEP] anoxemia###PT###ICPC2ICD10ENG [SEP] Anoxemia###PT###LCH_NW [SEP] Anoxemia###PT###MTH [SEP] anoxemia###SY###CHV [SEP] Anoxemia###SY###SNOMEDCT_US	A2.2.2	Sign or Symptom	\N
