C0000005	['MSH', 'MSH']
C0000103	['MSH', 'MSH', 'MSH', 'MSH', 'MSH']
C0000176	['MSH', 'MSH', 'MSH']
C0000194	['MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH']
C0000232	['MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH']
C0000248	['MSH', 'MSH', 'MSH', 'MSH', 'SNOMEDCT_US', 'MSH', 'SNOMEDCT_US', 'LNC', 'LNC', 'LNC', 'MSH', 'NCI', 'NCI_FDA', 'SNOMEDCT_US', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'NCI', 'NCI', 'MSH']
C0000287	['MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH']
C0000368	['MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH', 'MSH']
C0000665	['MSH', 'CHV', 'MSH', 'MSH', 'MSH', 'CHV', 'DRUGBANK', 'SNOMEDCT_US', 'SNOMEDCT_US', 'MSH', 'SNOMEDCT_US', 'MSH', 'MSH', 'DRUGBANK', 'DRUGBANK', 'SNOMEDCT_US', 'MSH', 'CHV', 'DRUGBANK', 'MSH', 'SNOMEDCT_US', 'SNOMEDCT_US', 'ATC', 'DRUGBANK', 'GS', 'NDDF', 'RXNORM', 'VANDF', 'MSH', 'MTH', 'NCI', 'NCI_FDA', 'SNOMEDCT_US', 'MTHSPL', 'CHV', 'SNOMEDCT_US', 'DRUGBANK', 'SNOMEDCT_US']
C0000666	['MSH']
C0000954	['MSH']
