C0003074	['SY', 'CN', 'LPDN', 'LPN', 'PEP', 'PN', 'PT', 'PT', 'FN', 'SY', 'PM', 'PM', 'PM']
C0005516	['ET', 'SY', 'ET', 'PM', 'SY', 'SY', 'SY', 'ET', 'PN', 'PT', 'SY', 'SY', 'ET', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SY', 'MH', 'SY', 'SY', 'PT', 'PM', 'ET', 'PM', 'ET', 'PT', 'SY', 'SY', 'SY', 'PT', 'SY']
C0005798	['PM', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'LPDN', 'LPN', 'PM', 'PM', 'SY', 'PM', 'PM']
C0005850	['FN', 'CN', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SY', 'PM', 'SY', 'SY', 'SY', 'LLT', 'PT', 'PM', 'PM']
C0005938	['PT', 'PM', 'CN', 'ID', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'SY', 'SY', 'SY', 'PM', 'ET', 'ET', 'PT', 'PT', 'SY', 'PM', 'PM', 'FN', 'PT']
C0007165	['FN', 'CN', 'ID', 'LLT', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SY', 'PM', 'PT', 'SY', 'ET', 'SY', 'PM', 'PM']
C0007809	['FN', 'FN', 'PT', 'SY', 'MH', 'PN', 'PT', 'PT', 'PT', 'SY', 'ET', 'SY', 'SY', 'PT', 'SY', 'SY', 'PM', 'PM', 'SY', 'SY', 'ET', 'ET']
C0010419	['DN', 'PN']
C0011384	['ET', 'MH', 'ET']
C0012000	['ET', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'FN', 'SY', 'PM', 'SY', 'AD']
C0012655	['PM', 'SY', 'ET', 'ET', 'PT', 'SY', 'FN', 'SY', 'PM', 'LLT', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'SY', 'SY', 'SY', 'PM', 'PT', 'SY', 'SY', 'SY', 'ET', 'ET']
C0018810	['ET', 'ET', 'SY', 'SY', 'PM', 'SY', 'FN', 'CN', 'ET', 'LLT', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SY', 'PM', 'SY', 'PT', 'LPN', 'PM', 'PM', 'PT']
C0024964	['ET', 'PM', 'ET', 'PM', 'ET', 'ET', 'MH', 'PN', 'FN', 'PT', 'ET', 'SY']
C0024966	['PM', 'PM', 'PM', 'ET', 'PM', 'ET', 'PM', 'ET', 'MH', 'PN', 'FN', 'PT', 'SY', 'ET', 'PM', 'PM']
C0025515	['PT', 'PT', 'PM', 'PM', 'MH', 'PT', 'FN', 'SY', 'PM', 'PM', 'PM']
C0026687	['PM', 'PM', 'ET', 'ET', 'MH', 'PN', 'PT', 'PT', 'PT', 'FN', 'SY', 'PM', 'ET', 'SY', 'PM', 'PM', 'PM']
C0029387	['PM', 'PM', 'MH', 'SY', 'PM', 'FN', 'PM', 'PT', 'FN', 'CN', 'ET', 'ET', 'LPDN', 'LPN', 'PN', 'PT', 'PT']
C0030055	['FN', 'PT', 'SY', 'PM', 'PM', 'CN', 'LPDN', 'LPN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PM', 'SY']
C0032127	['FN', 'ET', 'PN', 'PT', 'SY', 'PM', 'CN', 'LPDN', 'LPN', 'MH', 'PT', 'PM', 'PM', 'PM', 'PM', 'PM']
C0032930	['PM', 'PM', 'PT', 'PM', 'PT', 'PT', 'SY', 'SY', 'SY', 'MH', 'PN', 'SY', 'SY', 'SY', 'PT', 'SY']
C0034094	['SY', 'SY', 'SY', 'SY', 'SY', 'SY', 'LLT', 'SY', 'SY', 'SY', 'SY', 'ET', 'ET', 'LLT', 'PT', 'SY', 'SY', 'SY', 'FN', 'ET', 'PT', 'PT', 'PT', 'SY', 'SY', 'ID', 'MH', 'PN', 'SY', 'ET', 'SY', 'ET', 'ET']
C0034944	['SY', 'PM', 'MH', 'PN', 'ET', 'PM', 'ET', 'ET', 'PM', 'PM', 'SY', 'FN', 'FN', 'PT', 'ET', 'PT', 'PT', 'PM', 'PT', 'SY', 'SY', 'PM', 'ET', 'SY', 'SY']
C0035190	['SY', 'SY', 'SY', 'FN', 'PT', 'SY', 'MH', 'PN', 'PT', 'PT', 'PT', 'SY', 'PM', 'SY', 'PT', 'SY', 'SY', 'PM', 'CN', 'LPDN', 'LPN', 'PM']
