C0000005	['ET', 'PEP']
C0000103	['PM', 'MH', 'PM', 'ET', 'N1']
C0000176	['ET', 'MH', 'N1']
C0000194	['PM', 'PM', 'ET', 'PM', 'ET', 'ET', 'N1', 'MH', 'ET', 'ET', 'ET', 'PM', 'ET', 'PM', 'PM']
C0000232	['N1', 'PM', 'ET', 'PM', 'ET', 'MH', 'ET', 'PM', 'ET', 'ET', 'PM', 'PM']
C0000248	['PM', 'PM', 'PM', 'ET', 'FN', 'ET', 'PT', 'CN', 'LPDN', 'LPN', 'MH', 'PT', 'PT', 'SY', 'ET', 'ET', 'N1', 'PM', 'PM', 'ET', 'PM', 'PM', 'ET', 'SY', 'CSN', 'ET']
C0000287	['PM', 'MH', 'PM', 'ET', 'ET', 'PM', 'ET', 'N1', 'PM', 'PM', 'PM']
C0000368	['N1', 'ET', 'ET', 'MH', 'ET', 'PM', 'PM']
C0000665	['PM', 'SY', 'PM', 'PM', 'ET', 'SY', 'SY', 'SY', 'SY', 'ET', 'SY', 'ET', 'N1', 'SY', 'SY', 'SY', 'ET', 'PT', 'SY', 'ET', 'SY', 'FN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'MH', 'PN', 'PT', 'PT', 'PT', 'SU', 'SY', 'PT', 'SY', 'FN']
C0000666	['PEP']
C0000954	['MH']
C0000983	['FN', 'PT', 'FN', 'SY', 'BN', 'ET', 'SY', 'BN', 'GN', 'PT', 'BN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'IN', 'MH', 'PN', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'PT', 'SU', 'IN', 'PM', 'SY', 'SY', 'SY', 'SU', 'IN', 'PT', 'PT', 'FSY', 'FSY', 'FSY', 'FSY', 'SY', 'SY', 'SY', 'SY', 'SY', 'FN', 'PT', 'FN', 'ET', 'IN', 'PT', 'SU', 'SY', 'SY', 'SY', 'SY', 'PT', 'PM', 'SY', 'SY', 'SY', 'SY', 'FN', 'FN', 'FN']
C0000987	['MH', 'PM']
C0001017	['IN', 'IN', 'IN', 'MH', 'PT', 'PT', 'PM', 'FSY', 'N1', 'SY']
C0001185	['ET', 'PM', 'ET', 'FN', 'PT', 'MH', 'PN', 'PT', 'PT', 'SY', 'PM', 'SY', 'PM', 'ET', 'SY', 'SY', 'PM', 'PM', 'PM', 'ET', 'ET']
C0001187	['CSN', 'ET', 'CSN', 'N1', 'FN', 'FN', 'PT', 'IN', 'IN', 'IN', 'IN', 'MH', 'PN', 'PT', 'PT', 'PT', 'SU', 'PT', 'SY', 'SY', 'IN', 'SY', 'SY', 'SY', 'FN', 'SY', 'SY', 'ET', 'SY', 'SY']
C0001204	['PM', 'ET', 'N1', 'SY', 'ET', 'SY', 'FN', 'MH', 'PT', 'PT', 'PT', 'ET', 'CN', 'ET', 'LPDN', 'LPN', 'SY', 'ET', 'ET', 'SY', 'PM', 'PM', 'PM', 'ET', 'ET']
C0001595	['N1', 'PM', 'ET', 'MH']
