C0002085	['等位基因', '等位基因', 'Allelomorph', '等位形']
C0003689	['araC调节基因座', 'araC调节器', '调节器轨迹']
C0005291	['β-微管蛋白假基因', 'β-微管蛋白假基因', 'β-微管蛋白假基因', '假基因，β-微管蛋白', '假基因，β-微管蛋白']
C0008288	[]
C0008844	['西斯琼', '顺创']
C0017258	['基因簇', '基因簇', '基因簇', '基因簇']
C0017272	['基因库', '基因文库', '基因库', '基因库']
C0017337	['基因', '基因']
C0017338	['araC基因', 'araC基因', '吉恩，阿拉克', '基因']
C0017339	['细菌基因', '细菌基因', '细菌基因', '细菌基因']
C0017340	['发育基因', '发育基因', '发育基因', '发育基因']
C0017342	['显性基因', '显性基因', '显性基因', '显性基因']
C0017343	['env基因', 'env基因', '基因，环境', '基因，环境']
C0017344	['上位基因', '上位基因', '上位基因', '上位基因']
C0017345	['真菌基因', '真菌基因', '真菌基因', '真菌基因']
C0017346	['gag基因', 'gag基因', '吉恩，开玩笑', '基因，笑料']
C0017347	['基因，同源框', '基因同源盒', '同源异型基因', '吉恩，霍克斯', '基因，同源框', '基因，同源框', '同源异型基因', '基因', '同源框基因', '同源框基因', '同源框基因', '同源框基因', '同源异型基因', '同源异型基因', '同源框基因', 'Hox基因']
C0017348	['本质基因', '实体基因', '实体基因', '实体基因']
C0017349	['II类基因', 'II类基因', '二级基因', '第二类基因', 'HLA II类基因', 'MHC II类基因', 'MHC II类基因']
C0017350	['基因，免疫球蛋白', '基因，免疫球蛋白', '基因，免疫球蛋白', '基因，免疫球蛋白', '免疫球蛋白基因', '免疫球蛋白基因', '免疫球蛋白基因', '免疫球蛋白基因']
C0017351	['基因，免疫球蛋白重链', '免疫球蛋白重链基因', '免疫球蛋白重链基因']
C0017352	['基因，免疫球蛋白轻链', 'Ig轻链基因', '免疫球蛋白轻链基因']
C0017353	['基因，免疫球蛋白VH种系', '免疫球蛋白VH种系基因']
C0017354	['致命基因', '致命基因', '致死基因', '致死基因']
C0017355	['I类基因', '第一类基因', '基恩，一班', '第一类基因', '基因，MHC I类', 'MHC I类基因']
C0017356	["基因，HIV-3'-orf", '基因，内夫', "基因，HIV-3'-orf", '基因', 'HIV 3’orf基因', "HIV-3'-orf基因", "HIV-3'-orf基因", 'nef基因', 'nef基因']
C0017357	[]
C0017359	['基因重叠', '基因重叠', '重叠基因', '重叠基因']
C0017360	['吉恩，波尔', '基因，波尔', 'pol基因', 'pol基因']
C0017361	['隐性基因', '隐性基因', '隐性基因', '隐性基因']
C0017362	['基因，调节器', '基因调控', '基因，调节器', '调节基因', '调节基因', '调节基因', '调节基因', '调节基因']
C0017363	['多基因家族', '多基因家族', '多基因家族', '多基因家族']
C0017364	['art-trs基因', 'art-trs基因', 'art-trs基因', 'Gene，art trs', '吉恩，牧师', '基因，trs艺术', '基因，art-trs', '基因，rev', '基因，trs艺术', 'rev基因', 'rev基因', 'trs art基因', 'trs-art基因', 'trs art基因']
C0017365	['剪接基因', '剪接基因', '剪接基因', '剪接基因']
C0017366	[]
C0017367	[]
C0017368	[]
C0017370	[]
C0017371	[]
C0017372	['第二位点抑制基因', '基因，抑制物', '基因，第二位点抑制物', '基因，第二位点抑制物', '基因，抑制物', '第二位点抑制基因', '第二位点抑制基因', '第二位点抑制基因', '抑制基因', '抑制基因，第二位点', '抑制基因', '抑制基因，第二位点']
C0017373	['基因，开关', '基因，开关', '开关基因', '开关基因']
C0017374	['人工基因', '人工基因', '人工基因', '合成基因', '人工基因', '合成基因', '合成基因', '合成基因']
C0017375	['吉恩，塔特', '基因，tat', 'tat基因', 'tat基因']
C0017376	['病毒基因', '病毒基因', '病毒基因', '病毒基因']
C0017428	['基因组', '基因组']
C0017429	['人类基因组', '人类基因组', '人类基因组', '人类基因组']
C0017430	['基因组文库', '基因组文库', '基因组文库', '基因组文库', '文库，基因组', '基因组文库', '基因组文库', '基因组文库']
C0018443	['基因，H 2 I类', '基因，H-2Ⅰ类', 'H 2 I类基因', 'H-2 I类基因']
C0018446	['H-ras癌基因', 'H-ras癌基因', 'H-ras癌基因']
C0019722	['HLA I类基因', 'HLA I类基因']
C0021873	['A粒子基因，脑池内', 'A粒子基因，脑池内', '基因，脑池内A粒子', '基因，脑池内A粒子', '基因，胞内A粒子', '基因，脑池内A粒子', '胞内A粒子基因', '脑池内A粒子基因', '脑池内A粒子基因']
C0022457	['K-ras癌基因', 'K-ras癌基因', 'K-ras癌基因']
C0022895	['紫胶操纵子', '紫胶操纵子', '乳糖操纵子', '乳糖操纵子', 'Lac歌剧院', '乳糖操纵子', '歌剧，拉克', '乳糖操纵子']
C0022959	['吉恩，拉茨', '基因，拉茨', 'LacZ基因', 'LacZ基因']
C0024518	['复合物，组织相容性', '复杂的，主要的组织相容性', '组织相容性', '主要组织相容性', '组织相容性复合体', '组织相容性复合体', '组织相容性并发症', '组织相容性并发症，少校', '主要组织相容性复合体', '主要组织相容性并发症']
C0026190	['组织相容性位点', '组织相容性位点', '位点，次要组织相容性', '小组织相容性位点', '次要组织相容性位点', '次要组织相容性位点']
C0026574	['mos癌基因', 'mos癌基因', '癌基因', '癌基因']
C0026575	['mos原癌基因', 'mos原癌基因', 'mos原癌基因', '原癌基因', '原癌基因']
C0026900	['基因，v-myb', '基因，v-myb', 'myb癌基因', 'myb癌基因', '癌基因', '癌基因', '癌基因', '癌基因', 'v myb基因', 'v myb癌基因', 'v-myb基因', 'v-myb基因', 'v-myb癌基因', 'v-myb癌基因']
C0026902	['基因，myc', '基因', 'myc基因', 'myc基因']
C0027260	['基因，N-ras', 'N-ras基因', 'N-ras癌基因', 'N-ras基因', 'N-ras基因', 'N-ras癌基因', 'N-ras癌基因']
C0029016	['基因，转化', '基因，转化', '癌基因', '癌基因', '转化基因', '转化基因']
C0029073	['操纵子', '歌剧']
C0033227	['基因，加工', '基因，加工', '加工基因', '加工基因']
C0033713	['原癌基因', '原癌基因', '原癌基因', '原癌基因']
C0033799	['假基因', '假基因']
C0034677	['基因，ras', 'ras基因', 'ras基因']
C0034678	['ras癌基因', 'ras癌基因']
C0035018	['基因，v-rel', '基因，v-rel', '癌基因', '癌基因', '癌基因', '癌基因', 'rel癌基因', 'rel癌基因', 'v rel基因', 'v rel癌基因', 'v-rel基因', 'v-rel基因', 'v-rel癌基因', 'v-rel癌基因']
C0035899	['核糖体RNA基因', '基因', '基因，核糖体RNA', '基因', '核糖体RNA基因', '核糖体RNA基因', '核糖体RNA基因', '核糖体RNA基因', 'rRNA基因', 'rRNA基因']
C0035900	['操纵子', '操纵子', 'rRNA操纵子', 'rRNA操纵子']
C0035903	['操纵子', '操纵子', 'rrnB操纵子', 'rrnB操纵子']
C0037207	['基因，v-sis', '基因，v-sis', '癌基因', '癌基因', '癌基因', '癌基因', 'sis癌基因', 'sis癌基因', 'v sis基因', 'v sis癌基因', 'v-sis基因', 'v-sis基因', 'v-sis癌基因', 'v-sis癌基因']
C0038085	['基因', '基因', 'src基因', 'src基因']
C0039020	['复杂，切换', '复合物，开关', '复合物，开关', '开关复合体', '开关复合体', '开关复合体']
C0039480	['遗传模板', '遗传模板', '基因模板', '基因模板']
C0042720	['病毒基因组', '病毒基因组', '病毒基因组', '病毒基因组']
C0079010	['bcr abl原癌基因', 'bcr abl原癌基因', 'bcr abl原癌基因', '原癌基因', '原癌基因']
C0079011	['bcr v abl癌基因', 'bcr-v-abl癌基因', 'bcr-v-abl癌基因', '癌基因，bcr-v-abl', '癌基因，bcr-v-abl']
C0079050	['c-abl基因', 'c abl原癌基因', 'c-abl基因', 'c-abl基因', 'c-abl原癌基因', 'c-abl原癌基因', '基因，c-abl', '基因，c-abl', '原癌基因', '原癌基因']
C0079056	['c H ras基因', 'c-H-ras基因', 'c-H-ras基因']
C0079057	['c H ras原癌基因', 'c-H-ras原癌基因', 'c-H-ras原癌基因']
C0079058	['c-Ha-ras基因', 'c-Ha-ras基因', 'c-Ha-ras基因']
C0079060	['c-Ha-ras原癌基因', 'c-Ha-ras原癌基因', 'c-Ha-ras原癌基因']
C0079061	['c-K-ras基因', 'c-K-ras基因', 'c-K-ras基因']
C0079062	['c K ras原癌基因', 'c-K-ras原癌基因', 'c-K-ras原癌基因']
C0079063	['c-Ki-ras基因', 'c-Ki-ras基因', 'c-Ki-ras基因']
C0079065	['c Ki-ras原癌基因', 'c-Ki-ras原癌基因', 'c-Ki-ras原癌基因']
C0079066	['c-mos基因', 'c-mos基因', 'c-mos基因', '基因，c-mos', '基因，c-mos']
C0079067	['c-mos原癌基因', 'c-mos原癌基因', 'c-mos原癌基因', '原癌基因', '原癌基因']
C0079068	['c-myc基因', 'c-myc基因', 'c-myc基因', '基因，c-myc', '基因，c-myc']
C0079070	['c-myc原癌基因', 'c-myc原癌基因', 'c-myc原癌基因', '原癌基因', '原癌基因']
C0079071	['c-N-ras基因', 'c-N-ras基因', 'c-N-ras基因']
C0079072	['c N ras原癌基因', 'c-N-ras原癌基因', 'c-N-ras原癌基因']
C0079073	['c-src基因', 'c-src原癌基因', 'c-src基因', 'c-src基因', 'c-src原癌基因', 'c-src原癌基因', '基因，c-src', '基因，c-src', '原癌基因', '原癌基因']
C0079413	['abl基因', 'abl基因', 'abl基因', '基因']
C0079414	['DCC基因', 'DCC基因', '基因，DCC', '基因']
C0079415	['fms基因', 'fms基因', '基因，fms', '基因']
C0079417	['吉恩，莫斯', '基因，莫斯', 'mos基因', 'mos基因']
C0079419	['p53基因', '基因，TP53', '基因，p53', '基因，TP53', 'p53基因', 'p53基因', 'TP53基因', 'TP53基因']
C0079420	['基恩，洛尔', '基因', '基因，洛尔', '基因', 'lor基因', 'lor基因', 'pX基因', 'pX基因']
C0079423	['吉恩，R', '吉恩，说唱', '基因，vpr', '基因，R', '基因，说唱', '基因', 'R基因', 'R基因', 'rap基因', 'rap基因', 'vpr基因', 'vpr基因']
