C0000742	[0, 4, 8, 9]
C0001417	[8, 12]
C0001483	[2, 14, 18]
C0001489	[0, 1, 3, 6, 10, 11]
C0001490	[0, 1, 2, 3, 7, 9]
C0001491	[0, 1, 4, 6]
C0001749	[7]
C0001753	[5, 11, 12, 13]
C0001892	[0, 1, 2, 3, 4]
C0002017	[0, 4, 6]
C0002331	[0, 2, 7, 14, 20, 22, 25, 26]
C0002405	[6]
C0003060	[1, 4, 8, 9]
C0003530	[1]
C0003725	[4, 11, 15, 16, 17, 19, 20, 21]
C0003755	[0]
C0004120	[]
C0004418	[1, 3, 7, 8, 10, 11, 12, 13]
C0004419	[2, 4, 8, 11, 12]
C0004420	[2, 8, 11, 12, 16]
C0004422	[3, 9, 10, 11, 12, 13]
C0004423	[0, 5, 7, 8, 10, 11, 12, 21, 22, 23, 24, 25, 26, 29, 30, 31]
C0004425	[7]
C0004429	[3, 9, 12, 13, 14, 15]
C0004651	[8, 13, 19, 23]
C0005670	[2, 13, 22, 33, 34, 38]
C0005867	[0, 1, 9, 14, 16]
C0006024	[4, 8, 9, 10]
C0006063	[1, 5, 9, 10, 13, 15, 16, 17, 18, 20, 21, 22]
C0006069	[1, 6, 14, 15, 17, 18, 19]
C0006072	[]
C0006074	[1, 3, 8, 11, 16, 17, 21, 22, 23, 24, 25, 26, 27, 28, 29]
C0006322	[0, 3, 5]
C0006394	[4]
C0006395	[0]
C0006562	[0, 1, 3, 4, 6, 7, 8, 9]
C0006752	[1]
C0006755	[4, 9, 10, 18, 19, 20, 21]
C0006861	[4, 8, 16, 17, 18, 19, 20, 21, 22]
C0007456	[1]
C0007949	[3]
C0008028	[2]
C0008047	[0, 1]
C0008056	[5]
C0008112	[0, 1, 3, 4]
C0008113	[0, 1, 2, 3]
C0008147	[1, 4, 7]
C0009311	[0, 3, 5, 6, 7, 8]
C0009401	[5]
C0009419	[1, 2, 3, 4]
C0009743	[6, 7, 17, 23, 24, 25]
C0010076	[0]
C0010233	[0, 1, 4, 9]
C0010242	[0, 1, 2, 5, 7, 10, 11]
C0010243	[0, 3, 8, 13]
C0010247	[2, 10]
C0010825	[13, 23, 28, 31, 33, 34]
