C0002938	[0, 1, 4, 6, 9, 2, 3, 5, 14, 16, 7, 8, 10, 11, 12, 13, 15]
C0004403	[0, 1, 2, 3, 4, 5]
C0008625	[0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 18, 20, 24, 30, 34, 35, 37, 40, 46, 48, 49, 50, 7, 8, 16, 17, 19, 21, 22, 23, 26, 29, 32, 33, 36, 39, 41, 25, 38, 27, 28, 31, 42, 43, 44, 45, 47, 51]
C0008628	[0, 6, 7, 14, 16, 3, 9, 17, 1, 4, 11, 2, 5, 8, 10, 12, 13, 15, 18]
C0008629	[0, 1, 2, 3, 4]
C0008631	[1, 2, 3, 10, 11, 0, 4, 6, 5, 7, 8, 9]
C0010827	[14, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 0, 2, 3, 11, 12, 13, 15, 1, 4, 5, 6, 7, 8, 9, 10, 17, 25, 30]
C0012860	[0, 1, 2, 6, 12, 13, 14, 16, 17, 10, 11, 15, 3, 4, 5, 7, 8, 9]
C0021943	[0, 1, 3, 5, 6, 10, 18, 19, 20, 21, 8, 2, 12, 4, 7, 9, 11, 13, 14, 15, 16, 17, 22]
C0025568	[0, 3, 4, 14, 15, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17]
C0025569	[0, 1, 2]
C0025570	[0, 2, 4, 5, 1, 3]
C0026244	[0, 4, 7, 8, 9, 1, 6, 2, 3, 5]
C0027746	[0, 3, 4, 5, 6, 8, 11, 17, 19, 9, 12, 15, 16, 18, 1, 2, 7, 10, 13, 14, 20, 21]
C0032578	[0, 1, 3, 4, 10, 2, 16, 17, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15]
C0035268	[0, 1, 4, 5, 7, 8, 10, 3, 6, 2, 9]
C0035354	[0, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 1, 8, 10]
C0035639	[0, 1, 2, 6, 11, 12, 7, 9, 10, 13, 3, 4, 5, 8, 14, 15]
C0038859	[0, 1, 3, 6, 4, 2, 5]
C0040715	[0, 4, 5, 9, 18, 20, 29, 30, 32, 33, 6, 7, 8, 10, 12, 15, 19, 21, 26, 28, 1, 2, 3, 11, 13, 14, 16, 17, 22, 23, 24, 25, 27, 31]
C0041107	[0, 1, 2, 4, 8, 9, 5, 16, 18, 3, 6, 7, 10, 11, 12, 13, 14, 15, 17, 19]
C0043020	[0, 1, 6, 2, 10, 11, 3, 4, 5, 7, 8, 9]
C0079380	[0, 2, 4, 5, 11, 15, 16, 18, 19, 20, 21, 22, 23, 24, 1, 9, 10, 12, 14, 3, 6, 7, 8, 13, 17, 25]
C0085400	[0, 4, 6, 12, 19, 20, 8, 9, 13, 15, 16, 17, 18, 1, 2, 3, 5, 7, 10, 11, 14]
C0151630	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
C0151787	[0, 1, 2, 3, 4, 5]
C0151854	[0, 6, 4, 15, 1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20]
C0158794	[0, 1, 2, 3, 4, 5, 6]
C0162735	[0, 1, 3, 9, 6, 7, 8, 10, 2, 4, 5]
C0162773	[0, 1, 2, 3]
C0232660	[0, 1]
C0232662	[0, 1]
C0232664	[0, 1]
C0232666	[0, 1]
C0232668	[0, 1]
C0234703	[0, 1]
C0242606	[0, 2, 3, 10, 12, 7, 8, 9, 11, 1, 4, 5, 6]
C0265479	[0, 1, 2, 11, 13, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16]
C0272186	[0, 1]
C0282632	[0, 2, 4, 5, 3, 1]
C0301648	[0, 1]
C0301651	[0, 1]
C0301652	[0, 1]
C0301908	[0, 1, 2, 3]
C0302086	[0, 1, 2]
C0302087	[0, 1]
C0302093	[0, 1, 2]
C0302101	[0, 1, 2, 3, 4, 5]
C0302106	[0, 1, 2]
C0302110	[0, 2, 1, 3]
C0302111	[0, 1, 2, 3]
C0302113	[0, 1, 2, 3]
C0302116	[0, 1, 2]
C0302173	[0, 1, 2, 3, 4, 5, 6]
C0312828	[0, 1, 2, 3, 4]
C0312838	[0, 1, 2]
C0312841	[0, 1, 2]
C0314673	[0, 1]
C0314676	[0, 1]
C0333458	[0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 7, 9]
C0333681	[0, 3, 1, 2, 4]
C0333685	[0, 1]
C0333686	[0, 1]
C0333687	[0, 1]
C0333688	[0, 1, 3, 4, 5, 2]
C0333689	[0, 2, 3, 5, 1, 4]
C0333691	[0, 2, 4, 1, 3, 5, 6, 7, 8, 9]
C0333694	[0, 4, 5, 8, 3, 11, 1, 2, 6, 7, 9, 10]
C0333695	[0, 1]
C0333696	[0, 1, 2, 3, 4, 5]
C0333697	[0, 1, 2, 3, 4, 5]
C0333698	[0, 1, 2, 3, 4, 5]
C0333699	[0, 3, 1, 2]
C0333700	[0, 1]
C0333701	[0, 1]
C0333702	[0, 1]
C0333703	[0, 1]
