C0000005	（131）I-MAA###ET###MSH [SEP] （131）I-大聚白蛋白###PEP###MSH
C0000103	1-异硫氰酸萘酯###PM###MSH [SEP] 1-异硫氰酸萘酯###MH###MSH [SEP] α-萘异硫氰酸酯###PM###MSH [SEP] α-萘异硫氰酸酯###ET###MSH [SEP] 1-异硫氰酸萘-###N1###MSH
C0000176	19碘胆固醇###ET###MSH [SEP] 19碘胆固醇###MH###MSH [SEP] 胆固醇-5-烯-3-醇，19-（碘-125I）-，（3β）-###N1###MSH
C0000194	2,2联吡啶###PM###MSH [SEP] 2,2联吡啶###PM###MSH [SEP] 2,2联吡啶###ET###MSH [SEP] 2,2'联吡啶###PM###MSH [SEP] 2,2'联吡啶###ET###MSH [SEP] 2,2'-联吡啶###ET###MSH [SEP] 2,2'-联吡啶###N1###MSH [SEP] 2,2'-联吡啶###MH###MSH [SEP] 2,2-联吡啶###ET###MSH [SEP] 2,2-联吡啶###ET###MSH [SEP] 2,2-联吡啶###ET###MSH [SEP] α，α-联吡啶###PM###MSH [SEP] α，α-联吡啶###ET###MSH [SEP] 双吡啶，2,2###PM###MSH [SEP] 双吡啶，2,2'###PM###MSH
C0000232	2,5-环己二烯-1-酮，2,6-二氯-4-（（4-羟基苯基）亚氨基）-###N1###MSH [SEP] 2,6-二氯苯内酚染料###PM###MSH [SEP] 2,6-二氯吲哚酚###ET###MSH [SEP] 2,6二氯酚###PM###MSH [SEP] 2,6-二氯苯内靛酚染料###ET###MSH [SEP] 2,6-二氯吲哚酚###MH###MSH [SEP] 2,6-二氯酚###ET###MSH [SEP] 二氯吲哚酚，2,6###PM###MSH [SEP] 二氯酚吲哚酚###ET###MSH [SEP] 二氯酚###ET###MSH [SEP] 染料，2,6-二氯苯内酚###PM###MSH [SEP] 吲哚酚，二氯苯酚###PM###MSH
C0000248	2乙酰胺氟丁二烯###PM###MSH [SEP] 2乙酰氨基芴###PM###MSH [SEP] 2-芴基乙酰胺###PM###MSH [SEP] 2-AAF###ET###MSH [SEP] 2-乙酰氨基氟丁二烯（物质）###FN###SNOMEDCT_US [SEP] 2-乙酰氨基氟丁二烯###ET###MSH [SEP] 2-乙酰氨基氟丁二烯###PT###SNOMEDCT_US [SEP] 2-乙酰氨基芴###CN###LNC [SEP] 2-乙酰氨基芴###LPDN###LNC [SEP] 2-乙酰氨基芴###LPN###LNC [SEP] 2-乙酰氨基芴###MH###MSH [SEP] 2-乙酰氨基芴###PT###NCI [SEP] 2-乙酰氨基芴###PT###NCI_FDA [SEP] 2-乙酰氨基芴###SY###SNOMEDCT_US [SEP] 2-芴基乙酰胺###ET###MSH [SEP] 氨基芴###ET###MSH [SEP] N-9H-芴-2-基乙酰胺-###N1###MSH [SEP] 氨基芴###PM###MSH [SEP] 2-氟乙酰酰胺###PM###MSH [SEP] 芴-2-基乙酰胺###ET###MSH [SEP] N 2芴基乙酰胺###PM###MSH [SEP] N乙酰基2氨基芴###PM###MSH [SEP] N-2-芴基乙酰胺###ET###MSH [SEP] N-2-芴基乙酰胺###SY###NCI [SEP] N-9h-芴-2-基乙酰胺###CSN###NCI [SEP] N-乙酰-2-氨基芴###ET###MSH
C0000287	2-羟基-5-硝基苄基溴###PM###MSH [SEP] 2-羟基-5-硝基苄基溴###MH###MSH [SEP] 科什兰试剂I###PM###MSH [SEP] 科什兰试剂###ET###MSH [SEP] 科什兰试剂I###ET###MSH [SEP] 科什兰试剂一###PM###MSH [SEP] 科什兰试剂###ET###MSH [SEP] 苯酚，2-（溴甲基）-4-硝基-###N1###MSH [SEP] 试剂一，科什兰的###PM###MSH [SEP] 试剂，科什兰###PM###MSH [SEP] 试剂，科什兰###PM###MSH
C0000368	（1,1'-联苯）-3,3'，4,4'-四胺###N1###MSH [SEP] 3,3-二氨基联苯胺###ET###MSH [SEP] 3,3'二氨基联苯胺###ET###MSH [SEP] 3,3'-二氨基联苯胺###MH###MSH [SEP] 3,3-二氨基联苯胺###ET###MSH [SEP] 二氨基联苯胺，3,3###PM###MSH [SEP] 二氨基联苯胺，3,3'###PM###MSH
C0000665	8-羟基喹啉###PM###MSH [SEP] 8-羟基喹啉###SY###CHV [SEP] 8-羟基喹啉###PM###MSH [SEP] 8喹啉###PM###MSH [SEP] 8-羟基喹啉###ET###MSH [SEP] 8-羟基喹啉###SY###CHV [SEP] 8-羟基喹啉###SY###DRUGBANK [SEP] 8-羟基喹啉###SY###SNOMEDCT_US [SEP] 8-羟基喹啉###SY###SNOMEDCT_US [SEP] 8-羟基喹啉###ET###MSH [SEP] 8-羟基喹啉###SY###SNOMEDCT_US [SEP] 8-喹啉###ET###MSH [SEP] 8-喹啉###N1###MSH [SEP] 羟基苯并吡啶###SY###DRUGBANK [SEP] 羟基喹啉###SY###DRUGBANK [SEP] 羟基喹啉###SY###SNOMEDCT_US [SEP] 奥辛###ET###MSH [SEP] 奥辛###PT###CHV [SEP] 奥辛###SY###DRUGBANK [SEP] 羟基喹啉###ET###MSH [SEP] 羟基喹啉###SY###SNOMEDCT_US [SEP] 氧喹啉（物质）###FN###SNOMEDCT_US [SEP] 氧喹啉###IN###ATC [SEP] 氧喹啉###IN###DRUGBANK [SEP] 氧喹啉###IN###GS [SEP] 氧喹啉###IN###NDDF [SEP] 氧喹啉###IN###RXNORM [SEP] 氧喹啉###IN###VANDF [SEP] 氧喹啉###MH###MSH [SEP] 氧喹啉###PN###MTH [SEP] 氧喹啉###PT###NCI [SEP] 氧喹啉###PT###NCI_FDA [SEP] 氧喹啉###PT###SNOMEDCT_US [SEP] 氧喹啉###SU###MTHSPL [SEP] 氧喹啉###SY###CHV [SEP] 含氧喹啉的产品###PT###SNOMEDCT_US [SEP] 酚吡啶###SY###DRUGBANK [SEP] 含羟基喹啉的产品（医药产品）###FN###SNOMEDCT_US
C0000666	喹诺醇###PEP###MSH
