P00734	凝血酶原 [SEP] 3.4.21.5 [SEP] 凝血因子II
P00533	2.7.10.1 [SEP] 受体酪氨酸蛋白激酶erbB-1 [SEP] ERBB [SEP] 她 [SEP] 原癌基因c-ErbB-1 [SEP] 表皮生长因子受体 [SEP] ERBB1
O75015	IgG Fc受体III-1 [SEP] FCGR3 [SEP] Fc伽马RIII贝塔 [SEP] Fc伽马RIII [SEP] FcR-10 [SEP] 低亲和力免疫球蛋白γFc区受体III-B [SEP] FCG3 [SEP] FcRIIIb [SEP] Fc伽马RIIIb [SEP] FcRIII [SEP] CD16B [SEP] IGFR3
P02745	补体C1q亚单位A [SEP] 补体C1q亚单位A前体
P02746	补体C1q亚单位B [SEP] 补体C1q亚单位B前体
P02747	C1QG [SEP] 补体C1q亚单位C
P08637	IgG Fc受体III-2 [SEP] Fc伽马RIII阿尔法 [SEP] 低亲和力免疫球蛋白γFc区受体III-A [SEP] FCGR3 [SEP] Fc伽马RIII [SEP] FcR-10 [SEP] FcRIIIa [SEP] FCG3 [SEP] Fc gamma RIIIa [SEP] FcRIII [SEP] CD16A [SEP] IGFR3 [SEP] CD16a抗原
P12314	高亲和力免疫球蛋白γFc受体I [SEP] FcRI [SEP] IgG Fc受体I [SEP] FcgammaRIa [SEP] Fc伽马RI [SEP] FCGR1 [SEP] IGFR1 [SEP] Fc伽马放射免疫分析 [SEP] FCG1
P12318	CDw32 [SEP] IGFR2 [SEP] 低亲和力免疫球蛋白γFc区受体II-a [SEP] CD32 [SEP] IgG Fc受体II-a [SEP] Fc gamma RIIa [SEP] FCGR2A1 [SEP] Fc伽马RII-a [SEP] FcRII-a [SEP] FCG2
P01589	白细胞介素-2受体亚单位α [SEP] TAC抗原 [SEP] p55 [SEP] IL-2受体亚单位α
P14784	p70-75 [SEP] IL-2受体β亚单位 [SEP] 高亲和力IL-2受体β亚单位 [SEP] p75 [SEP] 白细胞介素-2受体β亚单位
P31785	IL-2RG [SEP] gammaC [SEP] IL-2受体亚单位γ [SEP] 细胞因子受体共同亚单位γ [SEP] IL-2R亚单位γ [SEP] 白细胞介素-2受体亚单位γ [SEP] p64
P01375	肿瘤坏死因子 [SEP] 肿瘤坏死因子配体超家族成员2 [SEP] TNFA [SEP] 恶病质 [SEP] 肿瘤坏死因子 [SEP] 肿瘤坏死因子 [SEP] TNFSF2
