C0000727	急腹症###SY###CHV [SEP] 急腹症###MH###MSH [SEP] 急腹症###PN###MTH [SEP] 腹部急腹症###PT###ICPC2ICD10ENG [SEP] 腹部严重的###PT###ICPC2ICD10ENG [SEP] 腹部全身疼痛，急腹症###PT###ICPC2ICD10ENG [SEP] 急腹症###PM###MSH [SEP] 急性腹部综合征###LLT###MDR [SEP] 腹部的急性综合征###PT###ICPC2ICD10ENG [SEP] 急腹症（诊断）###FN###MEDCIN [SEP] 急腹症###FN###SNOMEDCT_US [SEP] 急腹症###LLT###MDR [SEP] 急腹症###PM###MSH [SEP] 急腹症###PT###CHV [SEP] 急腹症###PT###HPO [SEP] 急腹症###PT###ICD10 [SEP] 急腹症###PT###ICD10AM [SEP] 急腹症###PT###ICD10CM [SEP] 急腹症###PT###ICPC2ICD10ENG [SEP] 急腹症###PT###LCH_NW [SEP] 急腹症###PT###MDR [SEP] 急腹症###PT###MEDCIN [SEP] 急腹症###PT###SNOMEDCT_US [SEP] 急腹症###PM###MSH [SEP] 急性腹痛综合征###SY###SNOMEDCT_US [SEP] 急性腹痛###SY###HPO [SEP] 急腹症###SY###CHV [SEP] 严重的腹部###PT###ICPC2ICD10ENG [SEP] 严重的腹部综合征###PT###ICPC2ICD10ENG [SEP] 疼痛急腹症###PT###ICPC2ICD10ENG [SEP] 外科腹部###SY###CHV [SEP] 外科腹部###SY###SNOMEDCT_US [SEP] 腹部急性综合征###LLT###MDR [SEP] 综合征腹部，急性###PT###ICPC2ICD10ENG [SEP] 综合征急腹症###PT###ICPC2ICD10ENG
C0000729	腹部抽筋###PT###ICPC2ICD10ENG [SEP] 腹部痉挛###LLT###MDR [SEP] 腹部痉挛###PM###MSH [SEP] 腹部痉挛###PT###NCI [SEP] 腹部痉挛###SY###CHV [SEP] 腹部痉挛###ID###NOC [SEP] 腹部痉挛###RT###NANDA-I [SEP] 腹部痉挛###SY###CHV [SEP] 腹部痉挛###ET###MTHICD9 [SEP] 腹部痉挛###ID###NOC [SEP] 腹部痉挛###LLT###MDR [SEP] 腹部痉挛###PEP###MSH [SEP] 腹部痉挛###PN###MTH [SEP] 腹部痉挛###PT###CHV [SEP] 腹部痉挛###PT###HPO [SEP] 腹部痉挛###PT###NCI_FDA [SEP] 腹部痉挛###PTN###ICPC2P [SEP] 腹部痉挛性疼痛###LLT###MDR [SEP] 腹部抽筋###LLT###MDR [SEP] 抽筋；腹部###PT###ICPC2ICD10ENG [SEP] 抽筋；腹部的###PT###ICPC2P [SEP] 腹部抽筋###PM###MSH [SEP] 腹部抽筋###SY###CHV [SEP] 腹部抽筋###PM###MSH [SEP] 痉挛性腹痛###SY###CHV [SEP] 腹痛###LLT###MDR [SEP] 腹痛###LLT###MDR
C0000737	腹痛###SY###CHV [SEP] 腹痛（发现）###FN###SNOMEDCT_US [SEP] 腹痛（症状）###FN###MEDCIN [SEP] 腹痛###LLT###MDR [SEP] 腹痛###CN###LNC [SEP] 腹痛###HT###ICD9CM [SEP] 腹痛###ID###NOC [SEP] 腹痛###LA###LNC [SEP] 腹痛###LLT###MDR [SEP] 腹痛###LPDN###LNC [SEP] 腹痛###LPN###LNC [SEP] 腹痛###MD###CCS [SEP] 腹痛###MH###MSH [SEP] 腹痛###PN###MTH [SEP] 腹痛###PT###CHV [SEP] 腹痛###PT###HPO [SEP] 腹痛###PT###ICNP [SEP] 腹痛###PT###LCH_NW [SEP] 腹痛###PT###MDR [SEP] 腹痛###PT###MEDCIN [SEP] 腹痛###PT###MEDLINEPLUS [SEP] 腹痛###PT###MTH [SEP] 腹痛###PT###NCI [SEP] 腹痛###PT###NCI_ACC-AHA [SEP] 腹痛###PT###NCI_CTCAE [SEP] 腹痛###PT###NCI_FDA [SEP] 腹痛###PT###NCI_NICHD [SEP] 腹痛###PT###SNOMEDCT_US [SEP] 腹痛###PTCS###OMIM [SEP] 腹痛###PTN###ICPC2P [SEP] 腹痛###RT###NANDA-I [SEP] 腹痛###SD###CCS [SEP] 腹痛###SY###HPO [SEP] 腹痛###SY###NCI_caDSR [SEP] 腹痛，不明部位###PT###ICD9CM [SEP] 腹痛###PM###MSH [SEP] 腹痛###SY###CHV [SEP] 腹部的疼痛###PT###ICPC2ICD10ENG [SEP] 腹痛###PT###ICPC2ICD10ENG [SEP] AP-腹痛###SY###SNOMEDCT_US [SEP] 腹痛###ET###MEDLINEPLUS [SEP] 腹痛###SY###MEDLINEPLUS [SEP] 肠痛###LLT###MDR [SEP] 肠痛###SY###CHV [SEP] 腹痛###LLT###MDR [SEP] 胃痛###SY###HPO [SEP] 腹痛###ET###MEDLINEPLUS [SEP] 腹痛###PM###MSH [SEP] 疼痛腹部的###PT###ICPC2ICD10ENG [SEP] 疼痛腹部的###PT###ICPC2P [SEP] 腹痛###PM###MSH [SEP] 胃痛###SY###HPO [SEP] 不明原因的腹痛###PT###ICD10CM
C0000848	胫骨后脉缺失（发现）###FN###SNOMEDCT_US [SEP] 胫骨后脉缺失###PT###SNOMEDCT_US
C0001416	腺苷酸###PM###MSH [SEP] 腺炎###LLT###MDR [SEP] 腺炎###PEP###MSH [SEP] 腺炎###PN###MTH [SEP] 腺炎###PT###CHV [SEP] 腺炎###PT###ICPC2ICD10ENG [SEP] 腺炎###PT###ICPC2P [SEP] 腺炎###PTCS###OMIM [SEP] 腺炎###PTN###ICPC2P
C0001726	情感症状###PM###MSH [SEP] 情感症状###MH###MSH [SEP] 情感性症状###PM###MSH [SEP] 情感性症状###PM###MSH
C0002758	肛门或直肠疼痛###PT###ICD9CM
C0002962	心绞痛###FN###SNOMEDCT_US [SEP] 心绞痛###ET###ICD10CM [SEP] 心绞痛###ET###ICD10CM [SEP] 心绞痛###PTN###ICPC2P [SEP] 心绞痛###SY###CHV [SEP] 心绞痛（诊断）###FN###MEDCIN [SEP] 心绞痛###HT###ICD10 [SEP] 心绞痛###HT###ICD10AM [SEP] 心绞痛###HT###ICD10CM [SEP] 心绞痛###HT###ICD9CM [SEP] 心绞痛###LA###LNC [SEP] 心绞痛###LLT###MDR [SEP] 心绞痛###MD###CCS [SEP] 心绞痛###MH###MSH [SEP] 心绞痛###PN###MTH [SEP] 心绞痛###PT###CSP [SEP] 心绞痛###PT###HPO [SEP] 心绞痛###PT###ICPC2ICD10ENG [SEP] 心绞痛###PT###ICPC2P [SEP] 心绞痛###PT###LCH_NW [SEP] 心绞痛###PT###MDR [SEP] 心绞痛###PT###MEDCIN [SEP] 心绞痛###PT###MTH [SEP] 心绞痛###PT###NCI_ACC-AHA [SEP] 心绞痛###PT###PSY [SEP] 心绞痛###PT###SNOMEDCT_US [SEP] 心绞痛###PTCS###OMIM [SEP] 心绞痛###PTN###ICPC2P [SEP] 心绞痛###SY###CHV [SEP] 心绞痛###SY###NCI [SEP] 心绞痛，未指明###PT###ICD10 [SEP] 心绞痛，未指明###PT###ICD10AM [SEP] 心绞痛，未指明###PT###ICD10CM [SEP] 心绞痛综合征###LLT###MDR [SEP] 心绞痛###ID###NOC [SEP] 心绞痛###PT###CHV [SEP] 心绞痛###PT###MEDLINEPLUS [SEP] 心绞痛###PT###NCI [SEP] 心绞痛###PT###NCI_FDA [SEP] 心绞痛###PT###NCI_NICHD [SEP] 心绞痛###PTCS###OMIM [SEP] 心绞痛###SY###SNOMEDCT_US [SEP] 心绞痛###ET###MTHICD9 [SEP] 心绞痛###ET###MTHICD9 [SEP] 心绞痛不适###LLT###MDR [SEP] 心绞痛###LLT###MDR [SEP] 心绞痛###SI###OMS [SEP] 心绞痛###SY###CHV [SEP] 心绞痛综合征###ET###ICD10CM [SEP] 心绞痛综合征###ET###MTHICD9 [SEP] 心绞痛综合征###LLT###MDR [SEP] 心绞痛综合征###SY###CHV [SEP] 心绞痛综合征###SY###SNOMEDCT_US [SEP] 心绞痛；综合征###PT###ICPC2ICD10ENG [SEP] 心绞痛###SY###CHV [SEP] 安哥拉胸肌###ET###MSH [SEP] 安哥拉胸肌###SY###CHV [SEP] AP-心绞痛###SY###SNOMEDCT_US [SEP] 心绞痛###ET###ICD10CM [SEP] 心绞痛###SY###CHV [SEP] 心绞痛###SY###SNOMEDCT_US [SEP] 胸痛-心脏病###PT###NCI_CTCAE [SEP] 缺血性胸痛###SY###MEDCIN [SEP] 胸部缺血性疼痛###PT###ICPC2ICD10ENG [SEP] 缺血性胸痛###LLT###MDR [SEP] 缺血性胸痛###PTGB###SNOMEDCT_US [SEP] 缺血性心脏病-心绞痛###SYGB###SNOMEDCT_US [SEP] 缺血性心脏病伴心绞痛###PT###ICPC2EENG [SEP] 缺血性胸痛（诊断）###FN###MEDCIN [SEP] 缺血性胸痛（发现）###FN###SNOMEDCT_US [SEP] 缺血性胸痛###ET###ICD10CM [SEP] 缺血性胸痛###LLT###MDR [SEP] 缺血性胸痛###PT###MEDCIN [SEP] 缺血性胸痛###PT###SNOMEDCT_US [SEP] 缺血性胸痛###SY###CHV [SEP] 缺血性心脏病-心绞痛###SY###SNOMEDCT_US [SEP] 缺血性心脏病伴心绞痛###PT###MTHICPC2EAE [SEP] 疼痛性心绞痛###SY###CHV [SEP] 疼痛胸部缺血###PT###ICPC2ICD10ENG [SEP] 疼痛心绞痛###PT###ICPC2P [SEP] 心绞痛###SY###CHV [SEP] 狭窄心###ET###CSP [SEP] 狭窄心###ET###ICD10CM [SEP] 狭窄心###ET###MSH [SEP] 狭窄心###ET###MTHICD9 [SEP] 狭窄心###LLT###MDR [SEP] 狭窄心###PT###ICPC2ICD10ENG [SEP] 狭窄心###SY###CHV [SEP] 狭窄心###SY###SNOMEDCT_US [SEP] 狭窄心###PM###MSH [SEP] 综合征心绞痛###PT###ICPC2ICD10ENG
C0003078	异食症（诊断）###FN###MEDCIN [SEP] 不均分（紊乱）###FN###SNOMEDCT_US [SEP] 异轴###LLT###MDR [SEP] 异轴###MH###MSH [SEP] 异轴###PT###CHV [SEP] 异轴###PT###ICD10CM [SEP] 异轴###PT###ICD9CM [SEP] 异轴###PT###ICPC2ICD10ENG [SEP] 异轴###PT###MDR [SEP] 异轴###PT###MEDCIN [SEP] 异轴###PT###SNOMEDCT_US
C0003129	缺氧症###SY###CHV [SEP] 缺氧症###SYGB###SNOMEDCT_US [SEP] 缺氧###PEP###MSH [SEP] 缺氧###PN###MTH [SEP] 缺氧###PT###ICPC2ICD10ENG [SEP] 缺氧###PT###LCH_NW [SEP] 缺氧###PT###MTH [SEP] 缺氧###SY###CHV [SEP] 缺氧###SY###SNOMEDCT_US
