C0000742	阿贝尔森白血病病毒###ET###MSH [SEP] 阿贝尔森白血病病毒###PT###CSP [SEP] 阿贝尔森小鼠白血病病毒###EQ###NCBI [SEP] 阿贝尔森小鼠白血病病毒###ET###CSP [SEP] 阿贝尔森小鼠白血病病毒###MH###MSH [SEP] 阿贝尔森小鼠白血病病毒###PT###NCI [SEP] 阿贝尔森小鼠白血病病毒###SCN###NCBI [SEP] 阿贝尔森病毒###ET###CSP [SEP] 白血病病毒###PM###MSH [SEP] 阿贝尔森白血病病毒###PM###MSH
C0001417	腺相关病毒组###PT###CSP [SEP] 腺相关病毒###PT###CHV [SEP] 腺相关病毒组###SY###SNOMEDCT_US [SEP] 腺相关病毒###SY###CHV [SEP] 腺卫星病毒组###SY###SNOMEDCT_US [SEP] 细小病毒###SCN###NCBI [SEP] 依赖病毒###EQ###NCBI [SEP] 依赖病毒###ET###CSP [SEP] 依赖病毒###MH###MSH [SEP] 依赖病毒###PN###MTH [SEP] 依赖病毒###SY###SNOMEDCT_US [SEP] 依赖病毒###CMN###NCBI [SEP] 依赖病毒###PM###MSH [SEP] 脱内皮病毒属（有机体）###FN###SNOMEDCT_US [SEP] 依赖病毒属###PT###SNOMEDCT_US
C0001483	腺病毒###SY###CHV [SEP] 腺病毒科###DN###NCI_CTRP [SEP] 腺病毒科###MH###MSH [SEP] 腺病毒科###PT###CSP [SEP] 腺病毒科###PT###NCI [SEP] 腺病毒科###PT###NCI_CDISC [SEP] 腺病毒科###PT###SNOMEDCT_US [SEP] 腺病毒科###SCN###NCBI [SEP] 腺病毒科###SY###CHV [SEP] 腺病毒组###SY###SNOMEDCT_US [SEP] 腺病毒###CN###LNC [SEP] 腺病毒###LA###LNC [SEP] 腺病毒###LPDN###LNC [SEP] 腺病毒###LPN###LNC [SEP] 腺病毒###PM###MSH [SEP] 腺病毒###PT###CHV [SEP] 腺病毒###PT###NCI_NCI-GLOSS [SEP] 腺病毒###SY###NCI_caDSR [SEP] 腺病毒###ET###MSH [SEP] 腺病毒###PN###MTH [SEP] 腺病毒###PT###LCH_NW [SEP] 腺病毒###SY###CHV [SEP] 副词。###AB###PDQ [SEP] 腺病毒科（有机体）###FN###SNOMEDCT_US [SEP] 腺病毒科###SY###SNOMEDCT_US
C0001489	禽腺病毒###PM###MSH [SEP] 禽腺病毒###ET###MSH [SEP] 腺病毒###ET###CSP [SEP] 腺病毒###MH###MSH [SEP] 腺病毒###PT###SNOMEDCT_US [SEP] 腺病毒###SCN###NCBI [SEP] 腺病毒###PM###MSH [SEP] 禽腺病毒组###SY###SNOMEDCT_US [SEP] 禽腺病毒###LPDN###LNC [SEP] 禽腺病毒###LPN###LNC [SEP] 禽腺病毒###PM###MSH [SEP] 禽腺病毒###ET###MSH [SEP] 腺病毒属（有机体）###FN###SNOMEDCT_US [SEP] 腺病毒属###SY###SNOMEDCT_US
C0001490	人腺病毒###PM###MSH [SEP] 腺病毒，人类###MH###MSH [SEP] APC病毒###PM###MSH [SEP] APC病毒###ET###MSH [SEP] 人类腺病毒（有机体）###FN###SNOMEDCT_US [SEP] 人腺病毒。###SCN###NCBI [SEP] 人腺病毒###EQ###NCBI [SEP] 人腺病毒###PM###MSH [SEP] 人腺病毒###PT###SNOMEDCT_US [SEP] 人类腺病毒###PM###MSH
C0001491	猴腺病毒###PM###MSH [SEP] 腺病毒，猿猴###MH###MSH [SEP] 猿猴腺病毒（有机体）###FN###SNOMEDCT_US [SEP] 猿猴腺病毒###EQ###NCBI [SEP] 猿猴腺病毒###PM###MSH [SEP] 猿猴腺病毒###PT###SNOMEDCT_US [SEP] 猿猴腺病毒###ET###MSH [SEP] 未分类猿猴腺病毒###SCN###NCBI
C0001749	非洲马病组织###EQ###NCBI [SEP] 非洲马病病毒（AHSV）###EQ###NCBI [SEP] 非洲马病病毒（有机体）###FN###SNOMEDCT_US [SEP] 非洲马病病毒###SY###NCBI [SEP] 非洲马病病毒###ET###CSP [SEP] 非洲马病病毒###LPDN###LNC [SEP] 非洲马病病毒###LPN###LNC [SEP] 非洲马病病毒###MH###MSH [SEP] 非洲马病病毒###PN###MTH [SEP] 非洲马病病毒###PT###LCH_NW [SEP] 非洲马病病毒###PT###SNOMEDCT_US [SEP] 非洲马病病毒###SCN###NCBI [SEP] 非洲马病病毒###EQ###NCBI
C0001753	非洲猪瘟病毒（生物）###FN###SNOMEDCT_US [SEP] 非洲猪瘟病毒###EQ###NCBI [SEP] 非洲猪瘟病毒###EQ###NCBI [SEP] 非洲猪瘟病毒###LPDN###LNC [SEP] 非洲猪瘟病毒###LPN###LNC [SEP] 非洲猪瘟病毒###MH###MSH [SEP] 非洲猪瘟病毒###PN###MTH [SEP] 非洲猪瘟病毒###PT###LCH_NW [SEP] 非洲猪瘟病毒###PT###SNOMEDCT_US [SEP] 非洲猪瘟病毒###SCN###NCBI [SEP] 非洲猪瘟病毒###EQ###NCBI [SEP] 病毒，疣猪病###PM###MSH [SEP] 疣猪病病毒###PM###MSH [SEP] 疣猪病病毒###ET###MSH
C0001892	AKR小鼠白血病病毒###MH###MSH [SEP] AKR病毒###ET###MSH [SEP] AKR病毒###PM###MSH [SEP] 病毒###PM###MSH [SEP] 病毒，AKR###PM###MSH
C0002017	阿留申病病毒###ET###MSH [SEP] 阿留申病病毒###LPDN###LNC [SEP] 阿留申病病毒###LPN###LNC [SEP] 阿留申水貂病细小病毒###ET###CSP [SEP] 阿留申水貂病细小病毒###ET###MSH [SEP] 阿留申水貂病病毒（生物体）###FN###SNOMEDCT_US [SEP] 阿留申水貂病病毒###MH###MSH [SEP] 阿留申水貂病病毒###PT###SNOMEDCT_US
C0002331	阿尔法病毒###ET###MSH [SEP] 阿尔法病毒###SY###CHV [SEP] 阿尔法病毒###PM###MSH [SEP] 甲病毒科###EQ###NCBI [SEP] 甲病毒（生物体）###FN###SNOMEDCT_US [SEP] 甲病毒###LPDN###LNC [SEP] 甲病毒###LPN###LNC [SEP] 甲病毒###MH###MSH [SEP] 甲病毒###PT###CHV [SEP] 甲病毒###PT###CSP [SEP] 甲病毒###PT###NCI [SEP] 甲病毒###PT###NCI_CDISC [SEP] 甲病毒###PT###SNOMEDCT_US [SEP] 甲病毒###SCN###NCBI [SEP] 甲病毒###ET###MSH [SEP] 甲病毒###SY###CHV [SEP] 虫媒病毒A组病毒###SY###SNOMEDCT_US [SEP] 虫媒病毒A组###ET###CSP [SEP] 虫媒病毒A组###SY###SNOMEDCT_US [SEP] 虫媒病毒C组###SY###SNOMEDCT_US [SEP] 虫媒病毒A组###PM###MSH [SEP] 虫媒病毒A组###SY###NCI_CDISC [SEP] 虫媒病毒A组###ET###MSH [SEP] 属：虫媒病毒A组###SY###SNOMEDCT_US [SEP] A组虫媒病毒###ET###CSP [SEP] A组虫媒病毒###PM###MSH [SEP] A组虫媒病毒###PM###MSH
C0002405	阿玛帕尔马伦那病毒###EQ###NCBI [SEP] 阿马帕里沙粒病毒###EQ###NCBI [SEP] 阿马帕里马马雷纳病毒###EQ###NCBI [SEP] 阿马帕里病毒（生物体）###FN###SNOMEDCT_US [SEP] 阿马帕里病毒###EQ###NCBI [SEP] 阿马帕里病毒###ET###CSP [SEP] 阿马帕里病毒###PEP###MSH [SEP] 阿马帕里病毒###PT###SNOMEDCT_US [SEP] Serra do Navio mammarenavirus###SCN###NCBI
C0003060	动物病毒（有机体）###FN###SNOMEDCT_US [SEP] 动物病毒###PM###MSH [SEP] 动物病毒###PT###NCI [SEP] 动物病毒###PT###SNOMEDCT_US [SEP] 动物病毒###PEP###MSH [SEP] 动物病毒###SY###CHV [SEP] 动物病毒###SY###CHV [SEP] 病毒动物###PT###CHV [SEP] 动物病毒###PM###MSH [SEP] 病毒，动物###PM###MSH [SEP] 病毒，动物###SY###NCI
C0003530	Apeu病毒（生物体）###FN###SNOMEDCT_US [SEP] Apeu病毒###PEP###MSH [SEP] Apeu病毒###PT###SNOMEDCT_US
C0003725	虫媒病毒（导航概念）###FN###SNOMEDCT_US [SEP] 虫媒病毒###LPDN###LNC [SEP] 虫媒病毒###LPN###LNC [SEP] 虫媒病毒###ET###CSP [SEP] 虫媒病毒###ET###MSH [SEP] 虫媒病毒###LPDN###LNC [SEP] 虫媒病毒###LPN###LNC [SEP] 虫媒病毒###PT###CHV [SEP] 虫媒病毒###PT###NCI [SEP] 虫媒病毒###PT###NCI_CDISC [SEP] 虫媒病毒###PT###SNOMEDCT_US [SEP] 虫媒病毒###MH###MSH [SEP] 虫媒病毒###PN###MTH [SEP] 虫媒病毒###PT###LCH_NW [SEP] 虫媒病毒###SY###CHV [SEP] 节肢动物传播病毒###PM###MSH [SEP] 节肢动物传播的病毒###PM###MSH [SEP] 节肢动物传播病毒###ET###MSH [SEP] 节肢动物传播病毒###SY###NCI_CDISC [SEP] 节肢动物传播的病毒###ET###MSH [SEP] 节肢动物传播的病毒###PM###MSH [SEP] 节肢动物传播的病毒###PM###MSH
C0003755	沙蚕科###MH###MSH [SEP] 沙蚕科###PT###CHV [SEP] 沙蚕科###PT###CSP [SEP] 沙蚕科###PT###SNOMEDCT_US [SEP] 沙蚕科###SCN###NCBI [SEP] 沙粒病毒群###ET###CSP [SEP] 沙蚕科（有机体）###FN###SNOMEDCT_US [SEP] 沙蚕科###SY###SNOMEDCT_US
