C0002938	[2, 3, 4, 5, 14, 16]
C0004403	[]
C0008625	[7, 8, 16, 17, 18, 19, 21, 22, 23, 26, 27, 28, 29, 32, 33, 35, 36, 37, 38, 39, 41, 43, 49, 51]
C0008628	[3, 4, 5, 9, 11, 17]
C0008629	[2]
C0008631	[0, 4, 6]
C0010827	[0, 2, 3, 11, 12, 13, 15]
C0012860	[1, 10, 11, 12, 15]
C0021943	[2, 8, 9, 11, 12]
C0025568	[14, 15]
C0025569	[]
C0025570	[2, 4, 5]
C0026244	[4, 6]
C0027746	[8, 9, 12, 15, 16, 17, 18]
C0032578	[1, 2, 4, 16, 17]
C0035268	[3, 5, 6, 7, 8, 10]
C0035354	[]
C0035639	[0, 7, 9, 10, 12, 13]
C0038859	[3, 4, 5, 6]
C0040715	[6, 7, 8, 9, 10, 12, 14, 15, 17, 19, 21, 26, 28]
C0041107	[4, 5, 16, 18]
C0043020	[0, 2, 8, 10, 11]
C0079380	[1, 9, 10, 11, 12, 14, 23, 24]
C0085400	[6, 8, 9, 12, 13, 15, 16, 17, 18]
C0151630	[]
C0151787	[]
C0151854	[2, 4, 7, 15, 18]
C0158794	[]
C0162735	[6, 7, 8, 9, 10]
C0162773	[]
C0232660	[]
C0232662	[]
C0232664	[]
C0232666	[]
C0232668	[]
C0234703	[]
C0242606	[7, 8, 9, 10, 11, 12]
C0265479	[15]
C0272186	[]
C0282632	[0, 3]
C0301648	[]
C0301651	[]
C0301652	[]
C0301908	[]
C0302086	[0]
C0302087	[]
C0302093	[]
C0302101	[]
C0302106	[0]
C0302110	[0, 2, 3]
C0302111	[1]
C0302113	[0, 1]
C0302116	[0]
C0302173	[]
C0312828	[]
C0312838	[]
C0312841	[]
C0314673	[]
C0314676	[]
C0333458	[8, 9]
C0333681	[3]
C0333685	[]
C0333686	[]
C0333687	[]
C0333688	[2, 4]
C0333689	[3, 5]
C0333691	[2, 4]
C0333694	[3, 5, 11]
C0333695	[]
C0333696	[]
C0333697	[]
C0333698	[]
C0333699	[3]
C0333700	[]
C0333701	[]
C0333702	[]
C0333703	[]
C0333704	[4]
C0333705	[]
C0333706	[2, 4]
C0333707	[1]
C0333708	[1]
C0333709	[]
C0333710	[3, 4, 5, 6]
C0333711	[]
C0333712	[1]
C0333713	[]
C0333714	[1, 3]
C0333715	[1, 2, 3, 4]
C0333729	[]
C0333730	[]
C0333732	[0, 1, 4, 6]
C0333734	[]
C0333750	[]
C0333751	[3]
C0333752	[]
C0333753	[]
C0333754	[]
C0333755	[]
C0333756	[]
C0333760	[]
C0333761	[]
C0333762	[]
C0333768	[0, 2, 4]
C0333773	[3]
C0333776	[3]
C0333795	[]
C0333796	[]
C0333813	[]
C0333818	[0]
C0333865	[3, 4, 5, 7, 10, 12]
C0333866	[]
C0333867	[]
C0333868	[2]
C0333869	[]
C0333870	[]
C0333871	[]
C0333872	[]
C0333876	[]
C0333877	[]
C0333878	[]
C0333879	[]
C0333880	[]
C0333881	[]
C0333882	[]
