C0002085	[6, 7, 10, 11]
C0003689	[]
C0005291	[]
C0008288	[3, 9]
C0008844	[0]
C0017258	[2, 3, 4]
C0017272	[2, 4]
C0017337	[11, 13, 17, 24, 25]
C0017338	[]
C0017339	[1, 2, 3, 5]
C0017340	[0]
C0017342	[2, 6]
C0017343	[1, 2, 5, 8]
C0017344	[]
C0017345	[1, 2]
C0017346	[1, 6]
C0017347	[14, 15, 16, 17, 18, 22, 24, 25, 27, 28, 29]
C0017348	[]
C0017349	[0, 1, 2, 10]
C0017350	[4, 6, 8, 9, 10, 11, 12]
C0017351	[6, 7, 11, 16, 17, 18, 19, 23]
C0017352	[]
C0017353	[]
C0017354	[4]
C0017355	[0, 1, 2, 6, 8]
C0017356	[8]
C0017357	[]
C0017359	[3, 4]
C0017360	[2, 3, 5, 7, 8]
C0017361	[6, 7, 9]
C0017362	[0, 3, 7, 8, 10, 12, 13, 14]
C0017363	[2]
C0017364	[]
C0017365	[0]
C0017366	[1, 4]
C0017367	[]
C0017368	[]
C0017370	[]
C0017371	[]
C0017372	[0, 10, 11, 14]
C0017373	[0]
C0017374	[0, 6]
C0017375	[12]
C0017376	[4, 5, 6]
C0017428	[7, 9, 11, 12, 13]
C0017429	[6, 8, 9, 10, 11]
C0017430	[4]
C0018443	[]
C0018446	[]
C0019722	[]
C0021873	[]
C0022457	[]
C0022895	[2, 6]
C0022959	[5]
C0024518	[4, 5, 9, 12, 15, 16, 19, 20]
C0026190	[]
C0026574	[]
C0026575	[]
C0026900	[1, 8, 10, 30]
C0026902	[5]
C0027260	[]
C0029016	[0, 2, 11, 12, 16, 17, 18]
C0029073	[0, 2, 4]
C0033227	[]
C0033713	[4, 10, 11, 12, 15, 17, 18]
C0033799	[3, 5, 6]
C0034677	[3, 4, 5]
C0034678	[4, 5, 9, 10]
C0035018	[1, 26, 29]
C0035899	[4, 5, 7, 13, 14]
C0035900	[4, 6]
C0035903	[]
C0037207	[]
C0038085	[]
C0039020	[]
C0039480	[]
C0042720	[5, 6, 7, 8]
C0079010	[]
C0079011	[]
C0079050	[2]
C0079056	[]
C0079057	[]
C0079058	[]
C0079060	[]
C0079061	[]
C0079062	[]
C0079063	[]
C0079065	[]
C0079066	[]
C0079067	[]
C0079068	[4]
C0079070	[]
C0079071	[]
C0079072	[]
C0079073	[]
C0079413	[]
C0079414	[6, 17, 21]
C0079415	[]
C0079417	[]
C0079419	[0, 6, 8, 12, 13, 14, 17, 23, 25, 31, 36, 38]
C0079420	[5]
C0079423	[0, 3, 7, 8, 9, 16]
C0079424	[4, 6, 10]
C0079425	[]
C0079427	[5, 9, 15, 36, 51, 52, 53, 55, 56, 57, 58, 59, 60, 61]
C0079428	[]
C0079429	[0, 1, 2, 3, 4, 8, 12, 14, 15]
C0079431	[]
C0079433	[]
C0079471	[2, 7]
C0079472	[]
C0079473	[]
C0079525	[]
C0079556	[]
C0079559	[]
C0079563	[]
C0079566	[]
C0079656	[]
C0079657	[]
C0079664	[]
C0079666	[]
C0079884	[]
C0079886	[]
C0079941	[1, 4, 7, 10, 11, 13, 15, 16, 17]
C0080117	[]
C0080279	[]
C0080282	[]
C0080285	[]
C0080286	[]
C0080287	[]
C0080288	[]
C0080289	[]
C0080290	[]
C0080291	[]
C0080292	[]
C0080293	[]
C0080294	[]
C0080295	[3]
C0080296	[]
C0080298	[3, 9, 14, 20]
C0085113	[7, 8, 10, 21, 22, 30, 31]
C0085114	[9, 10, 18, 28, 37, 41]
C0085218	[8, 13, 14, 16]
C0085238	[1, 2, 3, 4, 5, 6]
C0085239	[1, 2]
C0085286	[]
C0085299	[]
C0085303	[]
C0085940	[3, 5, 10]
C0085943	[]
C0086344	[1, 2]
C0086661	[3, 4, 9, 11, 12, 16, 22]
C0087140	[1, 2, 5, 8]
C0087142	[]
C0087143	[]
C0144382	[0, 3]
C0162508	[2, 3, 4, 19]
C0162572	[]
C0162667	[]
C0162728	[4, 5, 7]
C0162729	[]
C0162804	[12]
C0162832	[0, 1, 8, 11, 12, 14, 21]
C0178657	[0]
C0178868	[1]
C0206256	[6, 7, 8, 9]
C0206414	[4, 5, 7]
C0206522	[1, 2, 3]
C0221127	[]
C0242303	[4, 8, 9, 10]
C0242711	[]
C0242957	[0, 8, 10, 21, 38, 40, 45, 46, 48, 49, 54, 57, 59]
C0242965	[3, 4, 5, 6]
C0242982	[]
C0242983	[]
C0242984	[]
C0242987	[4, 10, 34, 42]
C0242988	[25, 31, 37, 41]
C0242989	[]
C0242990	[]
C0242991	[]
C0243035	[]
C0243036	[1]
C0243037	[3, 4]
C0249197	[6, 13, 17, 24]
C0282641	[2, 3, 5]
C0301973	[2]
C0302291	[]
C0312655	[]
C0312656	[]
C0312657	[]
C0312658	[]
C0312700	[]
C0314604	[0, 4, 5]
C0314605	[]
C0314606	[]
C0314607	[]
C0314608	[]
C0314609	[]
C0314610	[1]
C0314612	[]
C0314614	[3, 4]
C0314617	[]
C0314619	[2, 6]
C0314620	[]
C0314621	[0, 3]
C0314622	[2]
C0314681	[1]
C0376514	[]
C0376515	[1, 6, 7, 13, 23]
C0376571	[2, 8, 11, 26]
C0376622	[6, 7, 12, 27, 30]
C0376623	[10, 11]
C0380093	[1]
C0440471	[1, 2, 3]
C0440472	[1]
C0440473	[]
C0440474	[]
C0440475	[]
C0440476	[1]
C0440477	[]
C0440479	[]
C0440480	[]
C0440481	[]
C0440482	[]
C0440483	[]
C0440484	[]
C0440485	[]
C0440486	[]
C0440487	[]
C0440488	[]
C0440489	[]
C0440490	[]
C0440491	[]
C0440492	[]
C0440493	[]
C0440494	[]
C0440495	[]
C0440496	[]
C0440497	[]
C0440498	[]
C0440499	[]
C0440500	[]
C0440501	[]
C0440502	[]
C0440503	[]
C0440504	[]
C0440505	[1]
C0440506	[]
C0440507	[]
C0440508	[]
C0440509	[]
C0440510	[1]
C0440511	[]
C0440512	[]
C0440513	[]
C0440514	[]
C0440516	[]
C0440517	[]
C0440518	[]
C0440519	[1]
C0440520	[]
C0440521	[]
C0440522	[]
C0440523	[]
C0440524	[]
C0440525	[]
C0440526	[1]
C0440527	[1]
C0440528	[]
C0440529	[]
C0440530	[1]
C0440531	[]
C0440532	[]
C0440533	[]
C0440534	[]
C0440535	[]
C0440536	[]
C0440537	[]
C0440538	[]
C0440539	[]
C0440540	[]
C0440541	[]
C0440542	[]
C0440543	[]
C0440544	[]
C0440545	[]
C0440546	[]
C0440547	[]
C0440548	[]
C0440549	[]
C0440550	[]
C0440551	[]
C0440552	[]
C0440553	[]
C0440554	[]
C0440555	[]
C0440556	[]
C0440557	[1]
C0440558	[]
C0440559	[1]
C0440560	[]
C0440561	[]
C0440563	[]
C0440565	[]
C0440566	[]
C0440567	[]
C0440568	[]
C0440569	[]
C0440570	[]
C0440571	[]
C0440572	[]
C0440573	[]
C0440574	[]
C0440575	[]
C0440576	[]
C0440577	[]
C0440578	[]
C0440579	[]
C0440580	[]
C0440581	[]
C0440582	[]
C0440583	[]
C0440584	[]
C0440585	[]
C0440587	[]
C0440588	[]
C0440589	[]
C0440590	[]
C0440591	[]
C0440592	[]
C0440593	[]
C0440594	[]
C0440595	[]
C0440596	[]
C0440597	[]
C0440598	[]
C0440599	[]
C0440600	[]
C0440601	[]
C0440602	[]
C0440603	[]
C0440604	[]
C0440605	[]
C0440606	[]
C0440607	[]
C0440608	[]
C0440609	[]
C0440610	[]
C0440611	[]
C0440612	[]
C0440613	[]
C0440614	[]
C0440615	[]
C0440616	[]
C0440617	[]
C0440618	[]
C0440619	[]
C0440620	[]
C0440621	[]
C0440622	[]
C0440623	[]
C0440624	[]
C0440625	[]
C0440626	[]
C0440627	[]
C0440628	[]
C0440629	[]
C0440630	[]
C0440631	[]
C0440632	[]
C0440633	[]
C0440634	[]
C0440635	[]
C0440636	[1]
C0440637	[]
C0440638	[]
C0440639	[]
C0440640	[]
C0440641	[]
C0440642	[]
C0440643	[]
C0440645	[]
C0440646	[]
C0440647	[]
C0440648	[]
C0440649	[1]
C0440650	[1]
C0440651	[1]
C0440652	[]
C0440653	[]
C0440654	[]
C0440655	[1]
C0440656	[1]
C0440657	[1]
C0440658	[]
C0440659	[]
C0440660	[1]
C0440661	[]
C0440662	[]
C0440663	[]
C0440664	[]
C0440665	[]
C0440666	[]
C0440667	[]
C0440668	[]
C0440669	[]
C0440670	[]
C0440671	[]
C0440672	[1]
C0440673	[]
C0440674	[]
C0440675	[1]
C0440676	[]
C0440677	[1]
C0440678	[]
C0440679	[1]
C0440680	[]
C0440681	[]
C0440682	[]
C0440683	[]
C0440684	[]
C0440685	[]
C0440686	[]
C0440687	[]
C0440688	[]
C0440689	[]
C0440690	[]
C0440691	[]
C0440692	[]
C0440693	[]
C0440694	[]
C0440695	[]
C0440696	[]
C0440697	[]
C0440698	[]
C0440699	[]
C0440700	[]
C0440701	[]
C0440702	[]
C0440703	[]
C0440704	[]
C0440705	[]
C0440706	[]
C0440707	[]
C0440708	[]
C0440709	[]
C0440710	[]
C0440711	[]
C0440712	[]
C0440713	[]
C0440714	[]
C0440715	[]
C0440716	[]
C0440717	[]
C0440718	[]
C0440719	[]
C0440720	[]
C0440721	[]
C0440722	[]
C0440723	[]
C0440724	[]
C0440725	[]
C0440726	[]
C0440727	[]
C0440728	[]
C0444051	[]
C0444052	[]
C0444060	[]
C0444905	[]
C0450238	[]
C0457459	[]
C0473780	[0, 5]
C0524628	[]
C0524889	[7, 9]
C0524890	[16, 19, 23]
C0524891	[17, 20, 24]
C0524892	[24, 27]
C0524893	[17]
C0524947	[]
C0525035	[]
C0525036	[]
C0525037	[13, 21, 23, 34, 46, 48, 60]
C0537026	[18, 19, 24]
C0546917	[]
C0546918	[]
C0555908	[]
C0555909	[]
C0555910	[]
C0555911	[]
C0555912	[]
C0555913	[]
C0555914	[]
C0555915	[]
C0555916	[]
C0555917	[]
C0555918	[]
C0596123	[2, 11]
C0596223	[2]
C0596707	[0]
C0597336	[2, 3, 4, 7, 8, 10]
C0598034	[9, 13, 20, 25, 28]
C0598467	[0]
C0598468	[0]
C0598492	[0]
C0598493	[]
C0598659	[]
C0598660	[]
C0598663	[]
C0598664	[]
C0598665	[]
C0598666	[0]
C0599294	[]
C0599295	[0, 3, 10, 18]
C0599770	[0]
C0599776	[0]
C0599797	[1, 3]
C0599798	[1]
C0599868	[]
C0599869	[]
C0599897	[]
C0599898	[]
C0599899	[1, 2, 3]
C0599900	[0]
C0599903	[]
C0600449	[0, 1]
C0600497	[]
C0677907	[17, 21]
C0678928	[]
C0678929	[]
C0678933	[0]
C0678941	[0, 2, 4, 5, 6, 7, 10]
C0683222	[1]
C0683223	[1]
C0694872	[1, 11, 13, 20, 21]
C0694873	[2, 9, 11]
C0694878	[3, 10, 17, 23]
C0694879	[3, 7, 14]
C0694883	[7, 13, 20]
C0694884	[6, 17, 18, 19, 21]
C0694887	[2]
C0694888	[8, 15, 18, 24]
C0694889	[0, 1, 6, 14, 17, 23, 26]
C0694890	[3, 12, 17, 18, 20, 24, 26]
C0694891	[10, 17, 22, 25]
C0694894	[2, 5, 13, 22]
C0694895	[3, 10, 12, 17, 22, 24]
C0694897	[4, 13, 15, 17]
