C0000886	['棘细胞', '棘红细胞', '刺激细胞']
C0001216	['顶体囊泡', '顶体', '顶体']
C0001280	['活化巨噬细胞', '活化巨噬细胞', '活化巨噬细胞', '激活巨噬细胞']
C0002449	['成釉细胞', '成釉细胞', '成釉质细胞']
C0003154	['前角细胞', '前角细胞']
C0003273	[]
C0003315	['副细胞', '抗原提呈细胞', '抗原提呈细胞', '抗原提呈细胞', '抗原提呈细胞', '抗原提呈细胞', '抗原提呈细胞（APC）', '抗原提呈细胞', '抗原提呈细胞', '抗原提呈细胞', '抗原提呈细胞', '抗原提呈细胞', 'apc', '树突状细胞']
C0003649	[]
C0004112	['星形胶质细胞', '星形胶质细胞', '星形胶质细胞', '星形胶质细胞', '星形细胞', '星形胶质细胞', '星形胶质细胞']
C0004461	['轴突', '轴突', '轴突', '轴突', '轴突']
C0004561	['b细胞', 'B细胞', 'B细胞', 'B细胞', 'b细胞', 'B细胞', 'B淋巴细胞', 'B淋巴细胞', 'B淋巴细胞', 'B淋巴细胞', 'b细胞', 'B细胞', 'B细胞', 'b细胞', 'B细胞', 'B淋巴细胞', 'B淋巴细胞', 'B淋巴细胞']
C0004827	['嗜碱性细胞', '嗜碱性粒细胞', '嗜碱性粒细胞']
C0005773	['血细胞', '血细胞', '血细胞', '血细胞', '血细胞', '血细胞', '外周血细胞', '外周血细胞']
C0005821	['血小板', '血小板', '血小板', '血小板', '血小板', '血小板', '血小板', '血小板', '血小板', '血小板', '血小板', '血小板', '血小板']
C0005955	['骨髓细胞', '骨髓细胞', '骨髓细胞', '骨髓细胞', '骨髓细胞', '骨髓细胞']
C0007592	['细胞提取物', '细胞提取物']
C0007600	['细胞系', '细胞系', '细胞系', '细胞系', '细胞系', '细胞衬里', '细胞系', '细胞系', '细胞系', '细胞衬里', '培养细胞系']
C0007601	[]
C0007603	['细胞膜', '细胞膜', '细胞膜', '细胞膜', '细胞膜', '细胞膜', '细胞膜', '细胞膜', '细胞质膜', '膜细胞', '膜质体', '质膜', '质膜', '质膜', '质膜', '质膜', '质膜']
C0007609	['核仁', '核仁']
C0007610	['细胞核', '细胞核', '细胞核', '细胞核', '细胞核', '核的', '核', '核']
C0007623	['细胞壁', '细胞壁', '细胞壁', '细胞壁']
C0007625	['无细胞系统', '无细胞系统', '无细胞系统']
C0007634	['细胞结构', '细胞类型', '细胞类型', '单间牢房', '单间牢房', '细胞', '细胞', '赛璐珞', '细胞的', '正常细胞', '牢房']
C0007635	['细胞培养', '细胞株', '培养细胞', '培养细胞', '培养细胞', '培养细胞', '培养细胞', '培养细胞']
C0007637	['细胞包涵体', '细胞内含物', '包涵体', '包涵体', '包涵体', '包涵体', '内含物']
C0007708	['中心粒', '中心粒', '中心粒', '中心体']
C0007709	['着丝粒', '着丝粒', '着丝粒', '着丝粒']
C0008010	['化学感受器', '化学感受器', '化学感受器', '化学受体']
C0008266	['叶绿体', '叶绿体', '叶绿体', '叶绿体']
C0008422	[]
C0008537	[]
C0008545	['染色单体', '染色单体', '染色单体']
C0008572	['色素细胞']
C0008633	['染色体', '染色体', '染色体', '染色体', '染色体', '染色体']
C0008641	[]
C0008642	[]
C0008643	['人类染色体', '人类染色体', '人类染色体']
C0008644	[]
C0008645	[]
C0008646	[]
C0008647	[]
C0008648	['染色体g', 'g染色体']
C0008649	[]
C0008650	[]
C0008651	['1染色体', '1染色体', 'chr1', '1号染色体', '1号染色体']
C0008652	['10染色体', 'chr10', '10号染色体', '10号染色体']
C0008653	['chr11', '11号染色体', '11号染色体']
C0008654	['12染色体', 'chr12', '12号染色体', '12号染色体']
C0008655	['13染色体', '13条染色体', 'chr13', '13号染色体', '13号染色体']
C0008656	['14染色体', 'chr14', '14号染色体', '14号染色体']
C0008657	['15染色体', 'chr15', '15号染色体', '15号染色体']
C0008658	['16染色体', 'chr16', '16号染色体', '16号染色体']
C0008659	['chr17', '17号染色体', '17号染色体']
C0008660	['18染色体', '18条染色体', 'chr18', '18号染色体', '18号染色体']
C0008661	['19染色体', 'chr19', '19号染色体', '19号染色体']
C0008662	['2染色体', '2染色体', 'chr2', '2号染色体', '2号染色体']
C0008663	['20染色体', '20号染色体', '20号染色体']
C0008664	['21染色体', 'chr21', '21号染色体', '21号染色体']
C0008665	['22染色体', '22条染色体', 'chr22', '22号染色体', '22号染色体']
C0008666	['3染色体', '3染色体', 'chr3', '3号染色体', '3号染色体']
C0008667	['4染色体', 'chr4', '4号染色体', '4号染色体']
C0008668	['5染色体', '5条染色体', 'chr5', '5号染色体', '5号染色体']
C0008669	['6染色体', '6条染色体', 'chr6', '6号染色体', '6号染色体']
C0008670	['7染色体', 'chr7', '7号染色体', '7号染色体']
C0008671	['8染色体', 'chr8', '8号染色体', '8号染色体']
C0008672	['9染色体', 'chr9', '9号染色体', '9号染色体']
C0008778	['纤毛', '纤毛', '纤毛', '纤毛']
C0009013	['细胞克隆', '细胞克隆', '细胞克隆', '克隆细胞', '克隆细胞', '克隆', '克隆', '克隆的', '克隆人', '克隆人', '克隆']
C0009781	['结缔组织细胞', '结缔组织细胞']
C0010834	['细胞质', '细胞质', '细胞质']
C0010835	[]
C0010837	['颗粒']
C0010851	['细丝']
C0010853	['细胞基质', '细胞骨架', '细胞骨架']
C0011305	['枝晶', '枝晶', '树突', '树突', '树枝状']
C0011306	['树突状细胞', '树突状细胞', '树突状细胞', '树突状细胞', '树突状细胞', '树突状细胞']
C0011703	['桥粒瘤', '桥粒', '桥粒', '桥粒', '桥粒']
C0013485	[]
C0013921	[]
C0014239	['内质网', '内质网', '内质网', '内质网', '急诊室']
C0014355	['肠嗜铬细胞', '肠嗜铬细胞', '肠嗜铬']
C0014467	['血嗜酸性粒细胞', '血嗜酸性粒细胞', '血嗜酸性粒细胞', '嗜酸性粒细胞', '嗜酸性粒细胞', '嗜酸性粒细胞', '嗜酸性粒细胞']
C0014597	['上皮细胞', '上皮细胞', '上皮细胞', '上皮细胞', '上皮细胞', '上皮细胞', '上皮细胞']
C0014603	['上皮样细胞', '上皮样细胞', '上皮样细胞']
C0014762	['红细胞', '红细胞', '幼红细胞', '幼红细胞', '有核红细胞', '有核红细胞', '有核红细胞', '有核红细胞', '有核红细胞']
C0014776	['红血影', '鬼', '神秘消失', '鬼魂']
C0014778	[]
C0014780	['红细胞膜', '红细胞膜']
C0014792	['血细胞', '血红细胞', '红细胞', '红细胞', '红细胞', '红细胞', '红细胞的', '红细胞的', '红细胞', '红细胞', '红细胞', '红细胞', '红细胞', '红细胞', '红血球', '红细胞', '红细胞']
C0014793	['异常红细胞']
C0014802	[]
C0015161	['真核生物', '真核细胞', '真核细胞', '真核细胞', '真核细胞', '真核细胞']
C0016030	['成纤维细胞', '成纤维细胞', '成纤维细胞', '成纤维细胞', '成纤维细胞']
C0016192	['鞭毛', '鞭毛', '鞭毛', '鞭毛']
C0016390	['泡沫细胞', '泡沫电池', '泡沫电池', '泡沫电池', '泡沫细胞', '泡沫细胞']
C0017471	['细胞胚', '细胞性别', '生殖细胞', '生殖细胞', '生殖细胞', '生殖细胞', '生殖细胞', '生殖细胞', '初始单元', '生殖细胞', '生殖细胞', '性细胞']
C0017473	['生殖系', '生殖系']
C0017526	['巨细胞', '巨细胞', '巨细胞', '巨细胞', '巨细胞', '多核巨细胞', '多核巨细胞', '合胞体', '合胞体', '合胞体', '合胞体']
C0017527	['异物巨细胞', '异物巨细胞']
C0017528	['朗汉斯巨细胞']
C0018042	['网织体', '高尔基体', '高尔基体', '高尔基复合体', '高尔基复合体', '高尔基']
C0018183	['粒细胞', '粒细胞', '粒细胞', '粒细胞', '粒细胞的', '中性粒细胞', '多形核细胞']
C0018207	['颗粒细胞', '颗粒细胞', '颗粒细胞', '颗粒细胞', '颗粒细胞', '卵巢颗粒细胞']
C0018496	['听觉毛细胞', '听觉毛细胞', '耳蜗毛细胞', '耳蜗毛细胞', '耳毛细胞', '毛细胞', '毛细胞', '毛细胞', '毛细胞', '毛细胞', '毛细胞']
C0018497	['内毛细胞', '内毛细胞', '内毛细胞']
C0018871	['亨氏机构']
C0018873	['HeLa细胞', 'HeLa细胞', 'HeLa细胞', 'HeLa细胞', '希拉']
C0018894	['CD4+T淋巴细胞', '辅助细胞', '辅助细胞', '辅助细胞', '辅助细胞', '辅助性T细胞', '辅助性T细胞', '辅助性T细胞', '辅助性T淋巴细胞', '辅助性T淋巴细胞', '辅助性T细胞', '辅助性T细胞', '辅助细胞', '辅助性T细胞', '辅助性T淋巴细胞', 'Th细胞']
C0018956	['造血干细胞', '造血祖细胞', '造血祖细胞', '造血干细胞', '造血干细胞', '造血干细胞', '造血干细胞综述', '造血干细胞', '造血干细胞', '造血干细胞', 'HSC', '前体细胞']
C0019000	['血细胞', '血细胞', '血球', '血细胞']
C0019397	['异染色质', '异染色质']
C0019612	['组织细胞', '组织细胞', '组织细胞', '组织细胞学检查', '组织细胞', '组织细胞', '组织巨噬细胞']
C0020200	['杂交细胞', '杂交细胞']
C0020204	['杂交瘤', '杂交瘤', '杂交瘤']
C0021158	[]
C0021770	['中间丝', '中间丝', '中间丝', '中间丝', '中间丝', '中间丝']
C0021792	['中间神经元', '中间神经元', '中间神经元', '中间神经元']
C0021868	['细胞内膜']
C0022539	['KB单元']
C0022567	['角质形成细胞', '角质形成细胞', '角质细胞', '角蛋白细胞']
C0022686	['细胞毒性', '细胞k', '细胞毒性细胞', 'k细胞', '杀伤细胞', '杀伤细胞']
C0022687	['LAK细胞', '的杀伤细胞', '拉克', '淋巴因子激活的杀伤细胞']
C0022688	['K细胞', 'K淋巴细胞', '杀伤细胞', '杀伤细胞', '杀伤细胞', '杀伤细胞', '自然杀伤细胞', '自然杀伤细胞', '自然杀伤细胞', '自然杀伤细胞', '自然杀伤细胞', 'nk细胞', 'NK细胞', 'NK细胞', '自然杀伤细胞', 'NK细胞', 'NK细胞', 'NK-LGL']
C0022801	['肝巨噬细胞', '肝星状细胞', '库普弗电池', '库普弗电池', '库普弗电池', '库普弗细胞', '库普弗细胞', '库普弗细胞', '肝巨噬细胞']
C0022827	['细胞l', '手机，L', '细胞，L', 'L细胞', 'L细胞', 'L细胞', 'L细胞']
C0022891	[]
C0023005	['朗格汉斯细胞', '朗格汉斯细胞', '朗格汉斯细胞', '朗格汉斯细胞', '朗格汉斯细胞', '朗格汉斯细胞', '朗格汉斯细胞']
C0023172	['小室', '细胞', '勒塞尔', '胚胎干细胞']
C0023516	['血液白细胞', '细胞白细胞', '白细胞', '白细胞', '白血球', '白细胞', '白细胞', '白细胞', '白细胞', '白细胞', '白细胞的', '白细胞', '白细胞', '白细胞', '白细胞', '白细胞', '白细胞', '白细胞', '白细胞', '白细胞']
C0023517	['粒细胞缺乏', '单核白细胞']
C0023602	['间质细胞', '间质细胞', '间质细胞', '间质细胞', '间质细胞', '间质细胞']
C0023768	['脂质双层膜', '脂质双层', '脂质双层', '脂质双层']
C0024156	['黄体细胞']
C0024264	['淋巴细胞', '淋巴细胞', '淋巴细胞', '淋巴细胞', '淋巴细胞']
C0024265	['空单元']
C0024369	['溶酶体瘤', '溶酶体瘤', '溶酶体', '溶酶体', '溶酶体', '溶酶体']
C0024432	['骨髓源性巨噬细胞', '骨髓源性巨噬细胞', '巨噬细胞', '巨噬细胞', '巨噬细胞', '巨噬细胞', '单核细胞源性巨噬细胞', '单核细胞源性巨噬细胞']
C0024880	['细胞肥大', '肥大细胞', '肥大细胞', '肥大细胞', '肥大细胞', '肥大细胞', '肥大细胞', '肥大细胞', '肥大细胞']
C0025032	['机械感受器', '机械感受器', '机械感受器', '机械感受器']
C0025166	['巨核细胞', '巨核细胞', '巨核细胞', '巨核细胞', '巨核细胞']
C0025171	['巨成叶细胞', '巨成叶细胞']
C0025201	['黑素细胞', '黑素细胞', '黑素细胞', '黑色素细胞']
C0025207	['黑素载体']
C0025213	['黑素体', '黑素体', '黑色体', '黑色素体']
C0025954	[]
C0025979	['肌动蛋白细胞骨架', '肌动蛋白细胞骨架', '肌动蛋白细胞骨架', '肌动蛋白丝', '肌动蛋白丝', '肌动蛋白丝', '肌动蛋白丝', '肌动蛋白丝', '微丝', '微丝', '微丝', '肌丝', '肌丝']
C0026029	['微粒体', '微粒体', '微粒体', '微粒体']
C0026030	['肝微粒体', '肝微粒体']
C0026046	['微管', '微管', '微管', '微管', '微管']
C0026049	['微绒毛', '微绒毛', '微绒毛', '微绒毛']
C0026237	['线粒体', '线粒体', '线粒体结构', '线粒体', '线粒体', '线粒体', '线粒体']
