C0000886	棘细胞###PM###MSH [SEP] 棘红细胞###MH###MSH [SEP] 棘红细胞###PN###MTH [SEP] 棘细胞###SY###CHV [SEP] 棘红细胞###PT###CHV [SEP] 刺激细胞###SY###CHV
C0001216	顶体###MH###MSH [SEP] 顶体###PM###MSH [SEP] 顶体囊泡###PT###GO [SEP] 顶体###SY###GO [SEP] 顶体###SY###SNOMEDCT_US
C0001280	活化巨噬细胞###PT###CHV [SEP] 活化巨噬细胞###SY###SNOMEDCT_US [SEP] 活化巨噬细胞###PTCS###OMIM [SEP] 激活巨噬细胞###SY###CHV
C0002449	成釉细胞###PM###MSH [SEP] 成釉质细胞###MH###MSH [SEP] 成釉细胞###PT###CSP [SEP] 成釉细胞###PT###UWDA [SEP] 成釉质细胞###SY###NCI
C0003154	前角细胞###PM###MSH [SEP] 前角细胞###MH###MSH [SEP] 前角细胞###PN###MTH [SEP] 前角神经元###PM###MSH [SEP] 前角神经元###ET###MSH [SEP] 前角细胞###PM###MSH [SEP] 腹角细胞###PM###MSH [SEP] 前角细胞###PM###MSH [SEP] 腹角细胞###PM###MSH [SEP] 前角神经元###PM###MSH [SEP] 腹角神经元###PM###MSH [SEP] 前角神经元###ET###MSH [SEP] 腹角神经元###ET###MSH [SEP] 腹角细胞###PM###MSH [SEP] 腹角细胞###ET###MSH [SEP] 腹角神经元###PM###MSH [SEP] 腹角神经元###ET###MSH [SEP] 前角细胞###PT###CHV [SEP] 前角细胞###SY###CHV
C0003273	抗体产生细胞###PM###MSH [SEP] 抗体产生细胞###PM###MSH [SEP] 抗体产生细胞###ET###MSH [SEP] 抗体产生细胞###MH###MSH [SEP] 产生抗体的细胞###PM###MSH [SEP] 产生免疫球蛋白的细胞###PM###MSH [SEP] 产生抗体的细胞###PM###MSH [SEP] 产生免疫球蛋白的细胞###PM###MSH [SEP] 免疫球蛋白产生细胞###PM###MSH [SEP] 免疫球蛋白产生细胞###PM###MSH [SEP] 免疫球蛋白产生细胞###ET###MSH
C0003315	免疫辅助细胞###ET###MSH [SEP] 免疫辅助细胞###ET###MSH [SEP] 抗原提呈细胞###PM###MSH [SEP] 抗原提呈细胞###PM###MSH [SEP] 抗原提呈细胞###ET###MSH [SEP] 抗原提呈细胞###MH###MSH [SEP] 抗原提呈细胞###PN###MTH [SEP] 细胞，抗原呈递###PM###MSH [SEP] 免疫辅助细胞###ET###MSH [SEP] 细胞，抗原呈递###PM###MSH [SEP] 免疫辅助细胞###ET###MSH [SEP] 免疫辅助细胞###ET###MSH [SEP] 免疫辅助细胞###ET###MSH [SEP] 副细胞###ET###CSP [SEP] 抗原提呈细胞###PT###NCI [SEP] 抗原提呈细胞###SY###CHV [SEP] 抗原提呈细胞###SY###FMA [SEP] 抗原提呈细胞###SY###CHV [SEP] 抗原提呈细胞###SY###NCI [SEP] 抗原提呈细胞（APC）###PT###CHV [SEP] 抗原提呈细胞###PT###FMA [SEP] 抗原提呈细胞###SY###CHV [SEP] 抗原提呈细胞###SY###CHV [SEP] 抗原提呈细胞###SY###NCI [SEP] apc###SY###CHV [SEP] 树突状细胞###SY###FMA
C0003649	胺前体摄取和脱羧细胞###ET###MSH [SEP] APUD细胞###PM###MSH [SEP] APUD细胞###MH###MSH [SEP] 牢房，阿普德###PM###MSH [SEP] 细胞，APUD###PM###MSH
C0004112	星形胶质细胞###PM###MSH [SEP] 星形细胞###MH###MSH [SEP] 星形细胞###PN###MTH [SEP] 星形胶质细胞###PM###MSH [SEP] 星形胶质细胞###ET###MSH [SEP] 星形胶质细胞###ET###MSH [SEP] 星形胶质细胞###PM###MSH [SEP] 星形胶质细胞###ET###MSH [SEP] 星形胶质细胞###PM###MSH [SEP] 星形胶质细胞###PM###MSH [SEP] 星形胶质细胞###PM###MSH [SEP] 星形胶质细胞###SY###CHV [SEP] 星形胶质细胞###SY###CHV [SEP] 星形胶质细胞###SY###NCI_caDSR [SEP] 星形胶质细胞###PT###CHV [SEP] 星形细胞###SY###NCI [SEP] 星形胶质细胞###SY###CHV [SEP] 星形胶质细胞###SY###NCI
C0004461	轴突###PM###MSH [SEP] 轴突###PN###MTH [SEP] 轴突###MH###MSH [SEP] 轴突###PT###GO [SEP] 轴突###SY###SNOMEDCT_US [SEP] 轴突###SY###CHV [SEP] 轴突###PT###PSY [SEP] 轴突###SY###CHV
C0004561	B细胞，淋巴细胞###PM###MSH [SEP] B淋巴细胞###PM###MSH [SEP] B淋巴细胞###PM###MSH [SEP] B细胞，淋巴细胞###PM###MSH [SEP] B细胞，淋巴细胞###ET###MSH [SEP] B淋巴细胞###ET###MSH [SEP] B淋巴细胞###MH###MSH [SEP] B淋巴细胞###PN###MTH [SEP] 囊依赖性淋巴细胞###PM###MSH [SEP] 囊依赖性淋巴细胞###PM###MSH [SEP] 囊依赖性淋巴细胞###ET###MSH [SEP] 淋巴细胞B细胞###PM###MSH [SEP] 淋巴细胞B细胞###PM###MSH [SEP] 淋巴细胞，囊依赖###PM###MSH [SEP] 淋巴细胞，囊依赖性###PM###MSH [SEP] b细胞###PT###CHV [SEP] B细胞###SY###NCI [SEP] B细胞###SY###SNOMEDCT_US [SEP] B细胞###PT###LCH_NW [SEP] b细胞###SY###CHV [SEP] B细胞###SY###NCI [SEP] B淋巴细胞###PT###SNOMEDCT_US [SEP] B淋巴细胞###LPDN###LNC [SEP] B淋巴细胞###SY###NCI [SEP] b细胞###SY###CHV [SEP] B细胞###SY###NCI [SEP] B细胞###SY###SNOMEDCT_US [SEP] b细胞###SY###CHV [SEP] B细胞###SY###NCI [SEP] B淋巴细胞###SY###FMA [SEP] B淋巴细胞###SY###NCI_caDSR [SEP] B淋巴细胞###SY###NCI
C0004827	嗜碱性细胞###PM###MSH [SEP] 嗜碱性粒细胞###MH###MSH [SEP] 嗜碱性粒细胞###PN###MTH [SEP] 嗜碱性细胞###SY###CHV [SEP] 嗜碱性粒细胞###PT###CHV [SEP] 嗜碱性粒细胞###SY###NCI
