P00734	['凝血酶原', '3.4.21.5', '凝血因子II']
P00533	['2.7.10.1', '受体酪氨酸蛋白激酶erbB-1', 'ERBB', '她', '原癌基因c-ErbB-1', '表皮生长因子受体', 'ERBB1']
O75015	['IgG Fc受体III-1', 'FCGR3', 'Fc伽马RIII贝塔', 'Fc伽马RIII', 'FcR-10', '低亲和力免疫球蛋白γFc区受体III-B', 'FCG3', 'FcRIIIb', 'Fc伽马RIIIb', 'FcRIII', 'CD16B', 'IGFR3']
P02745	['补体C1q亚单位A', '补体C1q亚单位A前体']
P02746	['补体C1q亚单位B', '补体C1q亚单位B前体']
P02747	['C1QG', '补体C1q亚单位C']
P08637	['IgG Fc受体III-2', 'Fc伽马RIII阿尔法', '低亲和力免疫球蛋白γFc区受体III-A', 'FCGR3', 'Fc伽马RIII', 'FcR-10', 'FcRIIIa', 'FCG3', 'Fc gamma RIIIa', 'FcRIII', 'CD16A', 'IGFR3', 'CD16a抗原']
P12314	['高亲和力免疫球蛋白γFc受体I', 'FcRI', 'IgG Fc受体I', 'FcgammaRIa', 'Fc伽马RI', 'FCGR1', 'IGFR1', 'Fc伽马放射免疫分析', 'FCG1']
P12318	['CDw32', 'IGFR2', '低亲和力免疫球蛋白γFc区受体II-a', 'CD32', 'IgG Fc受体II-a', 'Fc gamma RIIa', 'FCGR2A1', 'Fc伽马RII-a', 'FcRII-a', 'FCG2']
P01589	['白细胞介素-2受体亚单位α', 'TAC抗原', 'p55', 'IL-2受体亚单位α']
P14784	['p70-75', 'IL-2受体β亚单位', '高亲和力IL-2受体β亚单位', 'p75', '白细胞介素-2受体β亚单位']
P31785	['IL-2RG', 'gammaC', 'IL-2受体亚单位γ', '细胞因子受体共同亚单位γ', 'IL-2R亚单位γ', '白细胞介素-2受体亚单位γ', 'p64']
P01375	['肿瘤坏死因子', '肿瘤坏死因子配体超家族成员2', 'TNFA', '恶病质', '肿瘤坏死因子', '肿瘤坏死因子', 'TNFSF2']
P31994	['CDw32', 'Fc伽马RII-b', 'FcRII-b', 'IGFR2', 'CD32', '低亲和力免疫球蛋白γFc区受体II-b', 'Fc伽马里布', 'IgG Fc受体II-b', 'FCG2']
P31995	['CDw32', 'Fc伽马RII-c', 'IGFR2', '低亲和力免疫球蛋白γFc区受体II-c', 'CD32', 'IgG Fc受体II-c', 'Fc伽马RIIc', 'FcRII-c', 'FCG2']
P01374	['阿尔法中尉', 'TNFB', '肿瘤坏死因子配体超家族成员1', 'TNFSF1', '淋巴毒素', '淋巴毒素α']
P30968	['促性腺激素释放激素受体', '促性腺激素释放激素受体', 'GRHR']
P48551	['伊夫纳布', '干扰素α\\/β受体2', '干扰素-R-2', 'I型干扰素受体2', '伊夫纳布', '干扰素α结合蛋白']
P17181	['细胞因子受体II类成员1', '细胞因子受体家族2成员1', '干扰素α\\/β受体1', '伊夫纳', '干扰素-R-1', 'CRF2-1', 'I型干扰素受体1']
P00747	['3.4.21.7', '纤溶酶原']
P02671	['纤维蛋白原α链前体', '纤维蛋白原α链']
Q03405	['单核细胞活化抗原Mo3', '乌帕', 'MO3', '标准杆', '尿激酶纤溶酶原激活物表面受体']
P05121	['纤溶酶原激活物抑制剂1', '计划1', '个人事故保险', 'Serpin E1', '内皮型纤溶酶原激活物抑制剂', 'PAI1']
Q02643	['GHRH受体', 'GRFR', 'GRF受体', '生长激素释放激素受体', '生长激素释放因子受体']
P19235	['EPO-R', '促红细胞生成素受体']
P05120	['计划2', '尿激酶抑制剂', 'PAI-2', '胎盘纤溶酶原激活物抑制剂', '单核细胞精氨酸丝氨酸蛋白酶', 'PAI2', '纤溶酶原激活物抑制剂2', 'Serpin B2']
P05154	['PAI3', 'Serpin A5', '普罗西', '计划3', 'PCI', '纤溶酶原激活物抑制剂3', 'PAI-3', '顶体丝氨酸蛋白酶抑制剂', '蛋白C抑制剂', '血浆丝氨酸蛋白酶抑制剂']
P98164	['糖蛋白330', 'gp330', '低密度脂蛋白受体相关蛋白2', '梅加林', 'LRP-2']
Q9Y5Y6	['PRSS14', '丝氨酸蛋白酶TADG-15', '3.4.21.109', 'MT-SP1', '膜型丝氨酸蛋白酶1', '前列素', 'SNC19', '肿瘤相关差异表达基因15蛋白', '丝氨酸蛋白酶14', '蛋白裂解酶', 'TADG15', '致瘤抑制蛋白14']
P14543	['恩塔克汀', 'NID-1', '巢蛋白-1', '奈德']
P22888	['LCGR', 'LHR', '左\\/右', '促尿激素绒毛膜促性腺激素受体', 'LGR2', 'LSH-R', '黄体生成素受体', 'LHRHR']
P30988	['降钙素受体', 'CT-R']
Q99062	['粒细胞集落刺激因子受体', 'G-CSF受体', 'GCSFR']
P15509	['粒细胞巨噬细胞集落刺激因子受体亚单位α', 'CSF2R', 'CDw116', 'GM-CSF-R-alpha', 'CSF2RY']
P26951	['IL3R', '白细胞介素-3受体亚单位α', 'IL-3受体亚单位α']
