C0000886	棘细胞###FN###SNOMEDCT_US [SEP] 棘细胞###PM###MSH [SEP] 棘红细胞###MH###MSH [SEP] 棘红细胞###PN###MTH [SEP] 棘细胞###SY###CHV [SEP] 棘红细胞###PT###CHV [SEP] 刺激细胞###SY###CHV
C0001216	顶体帽###SY###FMA [SEP] 顶体###MH###MSH [SEP] 顶体###PM###MSH [SEP] 顶体囊泡###PT###GO [SEP] 顶体###SY###GO [SEP] 顶体###SY###SNOMEDCT_US
C0001280	活化巨噬细胞###PT###CHV [SEP] 活化巨噬细胞###SY###SNOMEDCT_US [SEP] 活化巨噬细胞###PTCS###OMIM [SEP] 激活巨噬细胞###SY###CHV
C0002449	成釉细胞###PM###MSH [SEP] 成釉质细胞###MH###MSH [SEP] 成釉细胞###PT###CSP [SEP] 成釉细胞###PT###UWDA [SEP] 成釉质细胞###SY###NCI
C0003154	前角细胞###PM###MSH [SEP] 前角细胞###MH###MSH [SEP] 前角细胞###PN###MTH [SEP] 前角神经元###PM###MSH [SEP] 前角神经元###ET###MSH [SEP] 前角细胞###PM###MSH [SEP] 腹角细胞###PM###MSH [SEP] 前角细胞###PM###MSH [SEP] 腹角细胞###PM###MSH [SEP] 前角神经元###PM###MSH [SEP] 腹角神经元###PM###MSH [SEP] 前角神经元###ET###MSH [SEP] 腹角神经元###ET###MSH [SEP] 腹角细胞###PM###MSH [SEP] 腹角细胞###ET###MSH [SEP] 腹角神经元###PM###MSH [SEP] 腹角神经元###ET###MSH [SEP] 前角细胞###PT###CHV [SEP] 前角细胞###SY###CHV
C0003273	抗体产生细胞###PM###MSH [SEP] 抗体产生细胞###PM###MSH [SEP] 抗体产生细胞###ET###MSH [SEP] 抗体产生细胞###MH###MSH [SEP] 产生抗体的细胞###PM###MSH [SEP] 产生免疫球蛋白的细胞###PM###MSH [SEP] 产生抗体的细胞###PM###MSH [SEP] 产生免疫球蛋白的细胞###PM###MSH [SEP] 免疫球蛋白产生细胞###PM###MSH [SEP] 免疫球蛋白产生细胞###PM###MSH [SEP] 免疫球蛋白产生细胞###ET###MSH
C0003315	免疫辅助细胞###ET###MSH [SEP] 免疫辅助细胞###ET###MSH [SEP] 抗原提呈细胞###PM###MSH [SEP] 抗原提呈细胞###PM###MSH [SEP] 抗原提呈细胞###ET###MSH [SEP] 抗原提呈细胞###MH###MSH [SEP] 抗原提呈细胞###PN###MTH [SEP] 细胞，抗原呈递###PM###MSH [SEP] 免疫辅助细胞###ET###MSH [SEP] 细胞，抗原呈递###PM###MSH [SEP] 免疫辅助细胞###ET###MSH [SEP] 免疫辅助细胞###ET###MSH [SEP] 免疫辅助细胞###ET###MSH [SEP] 副细胞###ET###CSP [SEP] 抗原提呈细胞###PT###NCI [SEP] 抗原提呈细胞###SY###CHV [SEP] 抗原提呈细胞###SY###FMA [SEP] 抗原提呈细胞###SY###CHV [SEP] 抗原提呈细胞###SY###NCI [SEP] 抗原提呈细胞（APC）###PT###CHV [SEP] 抗原提呈细胞###PT###FMA [SEP] 抗原提呈细胞###SY###CHV [SEP] 抗原提呈细胞###SY###CHV [SEP] 抗原提呈细胞###SY###NCI [SEP] apc###SY###CHV [SEP] 树突状细胞###SY###FMA
C0003649	胺前体摄取和脱羧细胞群###PT###UWDA [SEP] 胺前体摄取和脱羧细胞###ET###MSH [SEP] APUD细胞###PM###MSH [SEP] APUD细胞###MH###MSH [SEP] 牢房，阿普德###PM###MSH [SEP] 细胞，APUD###PM###MSH
C0004112	星形胶质细胞（细胞）###FN###SNOMEDCT_US [SEP] 星形胶质细胞###PM###MSH [SEP] 星形细胞###MH###MSH [SEP] 星形细胞###PN###MTH [SEP] 星形胶质细胞###PM###MSH [SEP] 星形胶质细胞###ET###MSH [SEP] 星形胶质细胞###ET###MSH [SEP] 星形胶质细胞###PM###MSH [SEP] 星形胶质细胞###ET###MSH [SEP] 星形胶质细胞###PM###MSH [SEP] 星形胶质细胞###PM###MSH [SEP] 星形胶质细胞###PM###MSH [SEP] 星形胶质细胞###SY###CHV [SEP] 星形胶质细胞###SY###CHV [SEP] 星形胶质细胞###SY###NCI_caDSR [SEP] 星形胶质细胞###PT###CHV [SEP] 星形细胞###SY###NCI [SEP] 星形胶质细胞###SY###CHV [SEP] 星形胶质细胞###SY###NCI
C0004461	轴突结构（细胞结构）###FN###SNOMEDCT_US [SEP] 轴突###PM###MSH [SEP] 轴突###PN###MTH [SEP] 轴突###MH###MSH [SEP] 轴突###PT###GO [SEP] 轴突###SY###SNOMEDCT_US [SEP] 轴突###SY###CHV [SEP] 轴突###PT###PSY [SEP] 轴突###SY###CHV
C0004561	B细胞淋巴细胞###PT###CPM [SEP] B细胞，淋巴细胞###PM###MSH [SEP] B淋巴细胞###PM###MSH [SEP] B淋巴细胞###PM###MSH [SEP] B细胞，淋巴细胞###PM###MSH [SEP] B细胞，淋巴细胞###ET###MSH [SEP] B淋巴细胞###ET###MSH [SEP] B淋巴细胞###MH###MSH [SEP] B淋巴细胞###PN###MTH [SEP] 囊依赖性淋巴细胞###PM###MSH [SEP] 囊依赖性淋巴细胞###PM###MSH [SEP] 囊依赖性淋巴细胞###ET###MSH [SEP] 淋巴细胞B细胞###PM###MSH [SEP] 淋巴细胞B细胞###PM###MSH [SEP] 淋巴细胞，囊依赖###PM###MSH [SEP] 淋巴细胞，囊依赖性###PM###MSH [SEP] b细胞###PT###CHV [SEP] B细胞###SY###NCI [SEP] B细胞###SY###SNOMEDCT_US [SEP] B细胞###PT###LCH_NW [SEP] b细胞###SY###CHV [SEP] B细胞###SY###NCI [SEP] B淋巴细胞###PT###SNOMEDCT_US [SEP] B淋巴细胞###LPDN###LNC [SEP] B淋巴细胞###SY###NCI [SEP] b细胞###SY###CHV [SEP] B细胞###SY###NCI [SEP] B细胞###SY###SNOMEDCT_US [SEP] b细胞###SY###CHV [SEP] B细胞###SY###NCI [SEP] B淋巴细胞###SY###FMA [SEP] B淋巴细胞###SY###NCI_caDSR [SEP] B淋巴细胞###SY###NCI
C0004827	嗜碱性粒细胞###SY###FMA [SEP] 嗜碱性细胞###PM###MSH [SEP] 嗜碱性粒细胞###MH###MSH [SEP] 嗜碱性粒细胞###PN###MTH [SEP] 嗜碱性细胞###SY###CHV [SEP] 嗜碱性粒细胞###PT###CHV [SEP] 嗜碱性粒细胞###SY###NCI
C0005773	血细胞###FN###SNOMEDCT_US [SEP] 血细胞###PM###MSH [SEP] 血细胞###MH###MSH [SEP] 血细胞###PN###MTH [SEP] 血细胞###PM###MSH [SEP] 血细胞###ET###MSH [SEP] 细胞，血液###PM###MSH [SEP] 细胞，血液###PM###MSH [SEP] 血球###PM###MSH [SEP] 小体、血液###PM###MSH [SEP] 血细胞###PT###CSP [SEP] 血细胞###PT###UWDA [SEP] 血细胞###PT###LCH_NW [SEP] 血细胞###PT###PSY [SEP] 血细胞###SY###CHV [SEP] 外周血细胞###PT###FMA [SEP] 外周血细胞###PT###NCI
C0005821	血小板###PM###MSH [SEP] 血小板###MH###MSH [SEP] 血小板###PN###MTH [SEP] 血小板###PM###MSH [SEP] 血小板###PM###MSH [SEP] 血小板###ET###MSH [SEP] 血小板、血液###PM###MSH [SEP] 血小板###PM###MSH [SEP] 血小板###ET###MSH [SEP] 血小板###PT###CHV [SEP] 血小板###SY###FMA [SEP] 血小板###SY###CHV [SEP] 血小板###PT###NCI_CDISC [SEP] 血小板###SY###CHV [SEP] 血小板###SY###NCI_caDSR [SEP] 血小板###SY###CHV [SEP] 血小板###SY###SNOMEDCT_US [SEP] 血小板###SY###CHV [SEP] 血小板###SY###UWDA [SEP] 血小板###SY###CHV [SEP] 血小板###SY###NCI
C0005955	骨髓细胞###SY###CHV [SEP] 骨髓细胞###PM###MSH [SEP] 骨髓细胞###MH###MSH [SEP] 细胞，骨髓###PM###MSH [SEP] 细胞，骨髓###PM###MSH [SEP] 骨髓细胞###PM###MSH [SEP] 骨髓细胞###PM###MSH [SEP] 骨髓细胞###PT###CPM [SEP] 骨髓细胞###PT###FMA [SEP] 骨髓细胞###SY###CHV [SEP] 骨髓细胞###PT###CHV [SEP] 骨髓细胞###PT###LCH_NW
C0007592	细胞提取物###ET###MSH [SEP] 细胞提取物###MH###MSH [SEP] 提取液，细胞###PM###MSH [SEP] 提取液，细胞###PM###MSH
C0007600	细胞系###MH###MSH [SEP] 细胞系###PM###MSH [SEP] 培养细胞系###PN###MTH [SEP] 电话线###PM###MSH [SEP] 细胞，细胞###PM###MSH [SEP] 细胞系###PT###CSP [SEP] 细胞系###SY###NCI_caDSR [SEP] 细胞系###PT###LCH_NW [SEP] 细胞系###SY###CHV [SEP] 细胞系###SY###NCI_GDC [SEP] 细胞衬里###SY###CHV [SEP] 细胞系###PT###NCI_GDC [SEP] 细胞系###SY###CHV [SEP] 细胞系###SY###CHV [SEP] 细胞衬里###SY###CHV [SEP] 培养细胞系###PT###NCI_NCI-GLOSS
C0007601	转化细胞系###MH###MSH [SEP] 细胞系，转化###PM###MSH [SEP] 转化细胞系###ET###MSH [SEP] 转化细胞系###PM###MSH
C0007603	细胞膜（细胞结构）###FN###SNOMEDCT_US [SEP] 细胞膜###MH###MSH [SEP] 细胞膜###PM###MSH [SEP] 细胞质膜###ET###MSH [SEP] 细胞质膜###PM###MSH [SEP] 细胞膜###PM###MSH [SEP] 细胞质膜###PM###MSH [SEP] 膜，血浆###PM###MSH [SEP] 细胞膜###PM###MSH [SEP] 细胞质膜###PM###MSH [SEP] 膜、血浆###PM###MSH [SEP] 质膜###ET###MSH [SEP] 质膜###PN###MTH [SEP] 质膜###PM###MSH [SEP] 细胞膜###SY###GO [SEP] 细胞膜###SY###UWDA [SEP] 细胞膜###PT###LCH_NW [SEP] 细胞膜###SY###CHV [SEP] 细胞膜###SY###CHV [SEP] 细胞膜###SY###FMA [SEP] 细胞膜###SY###GO [SEP] 细胞质膜###SY###GO [SEP] 膜细胞###SY###CHV [SEP] 膜质体###SY###CHV [SEP] 质膜###PT###NCI [SEP] 质膜###SY###CHV [SEP] 质膜###SY###SNOMEDCT_US [SEP] 质膜###SY###CHV [SEP] 质膜###SY###GO [SEP] 质膜###SY###UWDA
C0007609	细胞核仁###ET###MSH [SEP] 细胞核仁###MH###MSH [SEP] 核仁，细胞###PM###MSH [SEP] 核仁，细胞###PM###MSH [SEP] 质体###ET###MSH [SEP] 质体###PM###MSH [SEP] 核仁###PT###GO [SEP] 核仁###PT###UWDA
C0007610	细胞核###ET###MSH [SEP] 细胞核###MH###MSH [SEP] 细胞核###PN###MTH [SEP] 细胞核###PM###MSH [SEP] 细胞核###PM###MSH [SEP] 细胞核###PT###LCH_NW [SEP] 细胞核###SY###CHV [SEP] 细胞核###SY###GO [SEP] 细胞核###SY###NCI_CDISC [SEP] 核的###AD###NCI [SEP] 核###SY###CHV [SEP] 核###SY###NCI_caDSR
C0007623	细胞壁###MH###MSH [SEP] 细胞壁###PM###MSH [SEP] 墙，牢房###PM###MSH [SEP] 墙，牢房###PM###MSH [SEP] 细胞壁###PT###GO [SEP] 细胞壁###SY###CHV
C0007625	无细胞系统###PM###MSH [SEP] 无细胞系统###MH###MSH [SEP] 无细胞系统###PM###MSH [SEP] 无细胞系统###ET###MSH [SEP] 无细胞系统###PM###MSH [SEP] 系统，无细胞###PM###MSH [SEP] 系统，无手机###PM###MSH [SEP] 系统，无细胞###PM###MSH [SEP] 系统，无手机###PM###MSH [SEP] 无细胞系统###PT###CSP
C0007634	细胞结构（细胞结构）###FN###SNOMEDCT_US [SEP] 单间牢房###PM###MSH [SEP] 细胞###MH###MSH [SEP] 细胞###PN###MTH [SEP] 细胞结构###PT###SNOMEDCT_US [SEP] 细胞类型###SY###NCI [SEP] 细胞类型###DN###NCI [SEP] 单间牢房###PT###NCI_NCI-GLOSS [SEP] 单间牢房###SY###SNOMEDCT_US [SEP] 细胞###SY###CHV [SEP] 细胞###SY###NCI [SEP] 赛璐珞###SY###UWDA [SEP] 细胞的###AD###NCI [SEP] 正常细胞###SY###NCI [SEP] 牢房###SY###CHV
C0007635	细胞培养###PM###MSH [SEP] 培养细胞###MH###MSH [SEP] 培养细胞###PM###MSH [SEP] 培养细胞###ET###MSH [SEP] 培养细胞###PN###MTH [SEP] 细胞培养###SY###CHV [SEP] 细胞株###PT###NCI [SEP] 培养细胞###SY###CHV [SEP] 培养细胞###PT###NCI_NCI-GLOSS [SEP] 培养细胞###PT###CHV [SEP] 培养细胞###PT###SNOMEDCT_US
C0007637	身体，包容###PM###MSH [SEP] 身体，包涵体###PM###MSH [SEP] 细胞包涵体###PM###MSH [SEP] 细胞内含物###ET###MSH [SEP] 包涵体###MH###MSH [SEP] 包涵体###PN###MTH [SEP] 包涵体###PM###MSH [SEP] 细胞包涵体###PM###MSH [SEP] 细胞内含物###PM###MSH [SEP] 细胞包涵体###ET###GO [SEP] 细胞内含物###ET###CSP [SEP] 包涵体###SY###CHV [SEP] 包涵体###PT###GO [SEP] 内含物###PTCS###OMIM
C0007708	中心粒（细胞）###FN###SNOMEDCT_US [SEP] 中心粒###ET###MSH [SEP] 中心粒###MH###MSH [SEP] 中心粒###PT###GO [SEP] 中心粒###PT###UWDA [SEP] 中心粒###PT###LCH_NW [SEP] 中心体###SY###CHV
C0007709	着丝粒（细胞结构）###FN###SNOMEDCT_US [SEP] 着丝粒###MH###MSH [SEP] 着丝粒###PN###MTH [SEP] 着丝粒###PM###MSH [SEP] 着丝粒###PT###CSP [SEP] 着丝粒###SY###NCI_caDSR [SEP] 着丝粒###SY###CHV
C0008010	化学感受性细胞###PM###MSH [SEP] 细胞，化学受体###PM###MSH [SEP] 化学感受性细胞###PM###MSH [SEP] 细胞，化学受体###PM###MSH [SEP] 化学感受细胞###PM###MSH [SEP] 化学感受细胞###ET###MSH [SEP] 化学感受细胞###PM###MSH [SEP] 化学受体细胞###MH###MSH [SEP] 化学受体细胞###PN###MTH [SEP] 化学感受器###PT###FMA [SEP] 化学感受器###SY###CHV [SEP] 化学感受器###PT###CHV [SEP] 化学受体###PT###PSY
C0008266	叶绿体###ET###MSH [SEP] 叶绿体###MH###MSH [SEP] 叶绿体###PT###GO [SEP] 叶绿体###PT###NCI [SEP] 叶绿体###PT###LCH_NW [SEP] 叶绿体###SY###CHV
C0008422	胆碱能纤维###PM###MSH [SEP] 胆碱能纤维###MH###MSH [SEP] 胆碱能纤维###PM###MSH [SEP] 胆碱能纤维###PM###MSH
C0008537	嗜铬颗粒###PM###MSH [SEP] 嗜铬颗粒###PN###MTH [SEP] 嗜铬颗粒###MH###MSH [SEP] 嗜铬颗粒###PM###MSH
C0008545	染色单体（细胞结构）###FN###SNOMEDCT_US [SEP] 染色单体###PM###MSH [SEP] 染色单体###MH###MSH [SEP] 染色单体###PT###CHV [SEP] 染色单体###PT###SNOMEDCT_US [SEP] 染色单体###SY###CHV
C0008572	色素细胞###PM###MSH [SEP] 色素细胞###PN###MTH [SEP] 色素细胞###MH###MSH [SEP] 色素细胞###PT###CSP
C0008633	染色体###PM###MSH [SEP] 染色体###MH###MSH [SEP] 染色体###PN###MTH [SEP] 染色体###AD###NCI [SEP] 染色体###PT###NCI_NCI-GLOSS [SEP] 染色体###PT###NCI_PCDC [SEP] 染色体###SY###NCI_caDSR [SEP] 染色体###PT###PSY [SEP] 染色体###SY###CHV
C0008641	细菌染色体###ET###MSH [SEP] 细菌染色体###ET###MSH [SEP] 细菌染色体###ET###MSH [SEP] 细菌染色体###MH###MSH
C0008642	真菌染色体###PM###MSH [SEP] 真菌染色体###MH###MSH [SEP] 真菌染色体###PM###MSH [SEP] 真菌染色体###PM###MSH
