P00734	['Prothrombin', '3.4.21.5', 'Coagulation factor II']
P00533	['2.7.10.1', 'Receptor tyrosine-protein kinase erbB-1', 'ERBB', 'HER1', 'Proto-oncogene c-ErbB-1', 'Epidermal growth factor receptor', 'ERBB1']
O75015	['IgG Fc receptor III-1', 'FCGR3', 'Fc-gamma RIII-beta', 'Fc-gamma RIII', 'FcR-10', 'Low affinity immunoglobulin gamma Fc region receptor III-B', 'FCG3', 'FcRIIIb', 'Fc-gamma RIIIb', 'FcRIII', 'CD16B', 'IGFR3']
P02745	['Complement C1q subcomponent subunit A', 'Complement C1q subcomponent subunit A precursor']
P02746	['Complement C1q subcomponent subunit B', 'Complement C1q subcomponent subunit B precursor']
P02747	['C1QG', 'Complement C1q subcomponent subunit C']
P08637	['IgG Fc receptor III-2', 'Fc-gamma RIII-alpha', 'Low affinity immunoglobulin gamma Fc region receptor III-A', 'FCGR3', 'Fc-gamma RIII', 'FcR-10', 'FcRIIIa', 'FCG3', 'Fc-gamma RIIIa', 'FcRIII', 'CD16A', 'IGFR3', 'CD16a antigen']
P12314	['High affinity immunoglobulin gamma Fc receptor I', 'FcRI', 'IgG Fc receptor I', 'FcgammaRIa', 'Fc-gamma RI', 'FCGR1', 'IGFR1', 'Fc-gamma RIA', 'FCG1']
P12318	['CDw32', 'IGFR2', 'Low affinity immunoglobulin gamma Fc region receptor II-a', 'CD32', 'IgG Fc receptor II-a', 'Fc-gamma-RIIa', 'FCGR2A1', 'Fc-gamma RII-a', 'FcRII-a', 'FCG2']
P01589	['Interleukin-2 receptor subunit alpha', 'TAC antigen', 'p55', 'IL-2 receptor subunit alpha']
P14784	['p70-75', 'IL-2 receptor subunit beta', 'High affinity IL-2 receptor subunit beta', 'p75', 'Interleukin-2 receptor subunit beta']
P31785	['IL-2RG', 'gammaC', 'IL-2 receptor subunit gamma', 'Cytokine receptor common subunit gamma', 'IL-2R subunit gamma', 'Interleukin-2 receptor subunit gamma', 'p64']
P01375	['Tumor necrosis factor', 'Tumor necrosis factor ligand superfamily member 2', 'TNFA', 'Cachectin', 'TNF-a', 'TNF-alpha', 'TNFSF2']
P31994	['CDw32', 'Fc-gamma RII-b', 'FcRII-b', 'IGFR2', 'CD32', 'Low affinity immunoglobulin gamma Fc region receptor II-b', 'Fc-gamma-RIIb', 'IgG Fc receptor II-b', 'FCG2']
P31995	['CDw32', 'Fc-gamma RII-c', 'IGFR2', 'Low affinity immunoglobulin gamma Fc region receptor II-c', 'CD32', 'IgG Fc receptor II-c', 'Fc-gamma-RIIc', 'FcRII-c', 'FCG2']
P01374	['LT-alpha', 'TNFB', 'Tumor necrosis factor ligand superfamily member 1', 'TNFSF1', 'TNF-beta', 'Lymphotoxin-alpha']
P30968	['Gonadotropin-releasing hormone receptor', 'GnRH receptor', 'GRHR']
P48551	['IFNABR', 'Interferon alpha/beta receptor 2', 'IFN-R-2', 'Type I interferon receptor 2', 'IFNARB', 'Interferon alpha binding protein']
P17181	['Cytokine receptor class-II member 1', 'Cytokine receptor family 2 member 1', 'Interferon alpha/beta receptor 1', 'IFNAR', 'IFN-R-1', 'CRF2-1', 'Type I interferon receptor 1']
P00747	['3.4.21.7', 'Plasminogen']
P02671	['Fibrinogen alpha chain precursor', 'Fibrinogen alpha chain']
Q03405	['Monocyte activation antigen Mo3', 'UPAR', 'MO3', 'U-PAR', 'Urokinase plasminogen activator surface receptor']
P05121	['Plasminogen activator inhibitor 1', 'PLANH1', 'PAI', 'Serpin E1', 'Endothelial plasminogen activator inhibitor', 'PAI1']
Q02643	['GHRH receptor', 'GRFR', 'GRF receptor', 'Growth hormone-releasing hormone receptor', 'Growth hormone-releasing factor receptor']
P19235	['EPO-R', 'Erythropoietin receptor']
P05120	['PLANH2', 'Urokinase inhibitor', 'PAI-2', 'Placental plasminogen activator inhibitor', 'Monocyte Arg-serpin', 'PAI2', 'Plasminogen activator inhibitor 2', 'Serpin B2']
P05154	['PAI3', 'Serpin A5', 'PROCI', 'PLANH3', 'PCI', 'Plasminogen activator inhibitor 3', 'PAI-3', 'Acrosomal serine protease inhibitor', 'Protein C inhibitor', 'Plasma serine protease inhibitor']
P98164	['Glycoprotein 330', 'gp330', 'Low-density lipoprotein receptor-related protein 2', 'Megalin', 'LRP-2']
Q9Y5Y6	['PRSS14', 'Serine protease TADG-15', '3.4.21.109', 'MT-SP1', 'Membrane-type serine protease 1', 'Prostamin', 'SNC19', 'Tumor-associated differentially-expressed gene 15 protein', 'Serine protease 14', 'Matriptase', 'TADG15', 'Suppressor of tumorigenicity 14 protein']
P14543	['Entactin', 'NID-1', 'Nidogen-1', 'NID']
P22888	['LCGR', 'LHR', 'LH/CG-R', 'Lutropin-choriogonadotropic hormone receptor', 'LGR2', 'LSH-R', 'Luteinizing hormone receptor', 'LHRHR']
P30988	['Calcitonin receptor', 'CT-R']
Q99062	['Granulocyte colony-stimulating factor receptor', 'G-CSF receptor', 'GCSFR']
P15509	['Granulocyte-macrophage colony-stimulating factor receptor subunit alpha', 'CSF2R', 'CDw116', 'GM-CSF-R-alpha', 'CSF2RY']
P26951	['IL3R', 'Interleukin-3 receptor subunit alpha', 'IL-3 receptor subunit alpha']
P32927	['CDw131', 'IL3RB', 'GM-CSF/IL-3/IL-5 receptor common beta subunit', 'IL5RB', 'Cytokine receptor common subunit beta']
P34741	['HSPG1', 'Heparan sulfate proteoglycan core protein', 'SYND2', 'Syndecan-2', 'Fibroglycan', 'HSPG']
P13727	['Bone marrow proteoglycan', 'MBP', 'BMPG', 'Proteoglycan 2']
P16473	['Thyroid-stimulating hormone receptor', 'TSH-R', 'Thyrotropin receptor', 'LGR3']
P00742	['3.4.21.6', 'Stuart-Prower factor', 'Coagulation factor X', 'Stuart factor']
P00740	['3.4.21.22', 'Plasma thromboplastin component', 'PTC', 'Christmas factor', 'Coagulation factor IX']
P04275	['von Willebrand factor', 'vWF', 'F8VWF']
O14832	['PAHX', 'Phytanoyl-CoA dioxygenase, peroxisomal', 'PhyH', 'Phytanoyl-CoA alpha-hydroxylase', '1.14.11.18', 'Phytanic acid oxidase']
P07307	['HL-2', 'Asialoglycoprotein receptor 2', 'ASGP-R 2', 'Hepatic lectin H2', 'CLEC4H2', 'C-type lectin domain family 4 member H2']
P11021	['BiP', 'GRP-78', 'Immunoglobulin heavy chain-binding protein', '78 kDa glucose-regulated protein', 'Heat shock 70 kDa protein 5', 'GRP78', 'Endoplasmic reticulum lumenal Ca(2+)-binding protein grp78']
P27797	['HACBP', 'CRTC', 'grp60', 'Calreticulin', 'ERp60', 'CRP55', 'Calregulin', 'Endoplasmic reticulum resident protein 60']
P27824	['IP90', 'Calnexin', 'p90', 'Major histocompatibility complex class I antigen-binding protein p88']
P49257	['Gp58', 'F5F8D', 'Intracellular mannose-specific lectin MR60', 'ERGIC53', 'Protein ERGIC-53', 'Lectin mannose-binding 1', 'ER-Golgi intermediate compartment 53 kDa protein']
Q07954	['APOER', 'Apolipoprotein E receptor', 'LRP-1', 'Alpha-2-macroglobulin receptor', 'A2MR', 'APR', 'Prolow-density lipoprotein receptor-related protein 1']
Q8NI22	['Multiple coagulation factor deficiency protein 2', 'SDNSF', 'Neural stem cell-derived neuronal survival protein']
P14778	['Interleukin-1 receptor type I', 'IL-1R-1', 'IL1RT1', 'p80', 'CD121 antigen-like family member A', 'IL1R', 'IL-1R-alpha', 'Interleukin-1 receptor type 1', 'Interleukin-1 receptor alpha', 'IL1RA']
Q92637	['IgG Fc receptor IB', 'FcRIB', 'hFcgammaRIB', 'Fc-gamma RIB', 'High affinity immunoglobulin gamma Fc receptor IB', 'IGFRB']
P01024	['CPAMD1', 'Complement C3', 'C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1']
P0C0L4	['Complement C4-A', 'C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2', 'CO4', 'Acidic complement C4', 'CPAMD2']
P0C0L5	['Basic complement C4', 'C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3', 'CO4', 'Complement C4-B', 'CPAMD3']
P01031	['Complement C5', 'C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4', 'CPAMD4']
P06213	['Insulin receptor', '2.7.10.1', 'IR']
P08069	['Insulin-like growth factor 1 receptor', 'Insulin-like growth factor I receptor', '2.7.10.1', 'IGF-I receptor']
